virtus : 2714 documents
{0.218354, 0.290526, 0.216306, 0.274814,
 0.253447,  0.25548, 0.248144, 0.242929} 

{0.217906, 0.292557, 0.216023, 0.273513,
 0.252682, 0.255347, 0.248031,  0.24394} 

{0.215569, 0.294637, 0.217229, 0.272564,
 0.253094, 0.255546, 0.247894, 0.243466} 

{0.216826, 0.294162, 0.216339, 0.272673,
 0.253006, 0.255874, 0.247381,  0.24374} 

{0.216774, 0.294886, 0.215829, 0.272511,
 0.253421,  0.25584, 0.247605, 0.243134} 

{0.217825,  0.29232, 0.217063, 0.272792,
 0.253527, 0.255599, 0.247759, 0.243115} 

{0.219225, 0.290928,  0.21801, 0.271837,
 0.253782, 0.256014, 0.247029, 0.243174} 

{0.219849, 0.291554, 0.216887, 0.271711,
 0.253805, 0.256509, 0.246172, 0.243514} 

{0.220878, 0.290726, 0.216736, 0.271659,
 0.252507, 0.257445,  0.24631, 0.243739} 

{0.222233, 0.290973, 0.214794, 0.272001,
 0.252486, 0.256445, 0.246313, 0.244755} 

{0.223112, 0.291068, 0.214114, 0.271706,
 0.252993, 0.256171, 0.246491, 0.244345} 

{ 0.22394, 0.287367,  0.21476, 0.273933,
 0.253157, 0.256725, 0.245911, 0.244207} 

{0.224064, 0.288129, 0.211904, 0.275902,
 0.252662, 0.257715, 0.245369, 0.244254} 

{0.224532, 0.285889, 0.213344, 0.276235,
 0.252294, 0.257566,  0.24495,  0.24519} 

{0.226376, 0.285868,  0.20982, 0.277936,
 0.251843, 0.257189,  0.24553, 0.245438} 

{0.225191, 0.286579, 0.209832, 0.278398,
 0.250648, 0.257994,  0.24548, 0.245879} 

{0.225651, 0.287491, 0.206285, 0.280573,
 0.250453,  0.25842, 0.245455, 0.245672} 

{0.227195, 0.288596, 0.204464, 0.279746,
 0.250369, 0.258349, 0.245753, 0.245529} 

{0.226195, 0.289514, 0.203766, 0.280525,
 0.250058, 0.258213, 0.245573, 0.246156} 

{0.226148, 0.288977,  0.20293, 0.281945,
 0.249977, 0.257988, 0.245636, 0.246399} 

{0.226184, 0.291373, 0.201517, 0.280926,
 0.250154,  0.25767, 0.245719, 0.246457} 

{0.232499, 0.289906, 0.198995,   0.2786,
 0.250485, 0.257837, 0.245846, 0.245833} 

{0.229323, 0.290972,  0.19982, 0.279885,
 0.249464, 0.256857, 0.248586, 0.245092} 

{0.230212, 0.293843, 0.196835,  0.27911,
 0.249586,  0.25684, 0.248725, 0.244849} 

{0.229338, 0.292585, 0.194401, 0.283676,
 0.249572, 0.257245, 0.248028, 0.245155} 

{0.231851, 0.293533, 0.193352, 0.281264,
 0.248665, 0.257072, 0.248936, 0.245326} 

{0.231396, 0.293884, 0.193603, 0.281118,
 0.248223, 0.257292, 0.248964, 0.245521} 

{0.229932, 0.294307,  0.19302, 0.282741,
  0.24788, 0.257107, 0.249746, 0.245267} 

{ 0.22909, 0.294366, 0.192863, 0.283681,
 0.247955, 0.257013, 0.249891, 0.245142} 

{0.229994, 0.295868,  0.19078, 0.283358,
 0.247738, 0.256903,  0.25028,  0.24508} 

{0.230049, 0.295532, 0.190726, 0.283693,
 0.247417, 0.256662,  0.25029, 0.245632} 

{0.230149, 0.294173, 0.190834, 0.284844,
 0.247544, 0.256133, 0.250611, 0.245712} 

{0.228324, 0.292846, 0.191414, 0.287416,
 0.248208, 0.256345, 0.250248, 0.245199} 

{0.229237,  0.29099, 0.193752, 0.286021,
  0.24901,  0.25589, 0.250226, 0.244875} 

{0.232246, 0.289177,  0.19133, 0.287247,
 0.248938, 0.255967, 0.249912, 0.245184} 

{0.229204, 0.290534,  0.19089, 0.289372,
 0.249848, 0.255807, 0.249822, 0.244524} 

{ 0.22866, 0.289153, 0.194294, 0.287893,
 0.250463, 0.256251, 0.251101, 0.242185} 

{0.227623, 0.288189, 0.193062, 0.291125,
 0.250621,  0.25723, 0.250337, 0.241812} 

{0.228045, 0.287877, 0.192718,  0.29136,
 0.250983,  0.25724, 0.250351, 0.241426} 

{0.224956, 0.285786,  0.19698, 0.292277,
   0.2509, 0.257222, 0.250566, 0.241311} 

{0.224307, 0.286858, 0.196452, 0.292384,
 0.250869, 0.257866, 0.250473, 0.240793} 

{0.224071, 0.287809, 0.196025, 0.292095,
 0.250887, 0.257867, 0.251006,  0.24024} 

{0.222213, 0.289528, 0.198031, 0.290228,
 0.251103, 0.257236, 0.251304, 0.240357} 

{0.221979, 0.288667, 0.198609, 0.290746,
 0.250959, 0.256857, 0.251254,  0.24093} 

{0.221804, 0.288594, 0.198383, 0.291219,
 0.251535, 0.257075, 0.251418, 0.239971} 

{0.220732,  0.28647, 0.203474, 0.289325,
 0.250544, 0.258034, 0.251177, 0.240244} 

{0.220221, 0.287464, 0.202523, 0.289793,
  0.25208, 0.257334, 0.250503, 0.240083} 

{0.219939, 0.288452, 0.200823, 0.290786,
 0.252335, 0.257249, 0.250195, 0.240221} 

{0.223472, 0.287162, 0.200708, 0.288659,
 0.252791, 0.256336, 0.250461, 0.240412} 

{0.222722, 0.287628, 0.200174, 0.289476,
 0.253481, 0.255952, 0.250748, 0.239819} 

{0.222646, 0.289079, 0.197563, 0.290713,
 0.253753, 0.256213, 0.249073, 0.240961} 

{0.222569, 0.291318, 0.197252, 0.288862,
 0.254621, 0.255945,  0.24889, 0.240544} 

{0.223233, 0.290522,  0.19601, 0.290235,
 0.254244, 0.255569, 0.249738,  0.24045} 

{0.221983, 0.296976, 0.193933, 0.287108,
 0.253836, 0.255305, 0.250073, 0.240785} 

{ 0.22054,  0.30009, 0.194604, 0.284766,
 0.254486, 0.254948, 0.251309, 0.239258} 

{0.219917, 0.298117, 0.195583, 0.286383,
 0.254697, 0.254848, 0.251621, 0.238834} 

{0.221521, 0.294917, 0.197307, 0.286255,
 0.254302, 0.255409, 0.251609, 0.238679} 

{0.220175, 0.294618, 0.194489, 0.290718,
 0.254706, 0.256627, 0.250374, 0.238293} 

{0.218536, 0.294296, 0.197038, 0.290129,
 0.254842, 0.256313,  0.25072, 0.238124} 

{0.218673,  0.29388, 0.197711, 0.289737,
 0.254109, 0.256642, 0.250998, 0.238252} 

{0.217773,  0.29392, 0.197996, 0.290311,
 0.254247, 0.256703, 0.250799,  0.23825} 

{0.215199, 0.296093, 0.197732, 0.290976,
 0.254444, 0.256933, 0.250357, 0.238265} 

{0.214999, 0.294935, 0.199034, 0.291032,
 0.254581, 0.256519, 0.250812, 0.238088} 

{0.216946,  0.29663, 0.200603, 0.285822,
 0.255416, 0.255875, 0.250666, 0.238043} 

{0.215003, 0.294697, 0.198637, 0.291663,
 0.256082,  0.25522, 0.249746, 0.238951} 

{0.213696, 0.300621, 0.196238, 0.289446,
 0.256262, 0.254932, 0.249653, 0.239154} 

{0.214327, 0.298606, 0.197137, 0.289931,
 0.256583, 0.255779,  0.25049, 0.237149} 

{  0.2132, 0.297806,  0.19821, 0.290784,
 0.255854, 0.256674, 0.249795, 0.237677} 

{0.214221, 0.297475, 0.197691, 0.290613,
 0.255895, 0.256837,  0.24998, 0.237288} 

{0.216453, 0.296325,  0.19539, 0.291831,
 0.254917, 0.257371, 0.250653, 0.237059} 

{0.216868,   0.2983, 0.192119, 0.292713,
 0.254143, 0.258753, 0.249995, 0.237109} 

{0.217129, 0.296082, 0.194643, 0.292146,
 0.254203, 0.258602, 0.249197, 0.237999} 

{0.218378, 0.294896, 0.193096,  0.29363,
 0.253822, 0.257988, 0.248429, 0.239762} 

{0.219885, 0.294402, 0.193174, 0.292539,
  0.25398, 0.257933, 0.248286,   0.2398} 

{0.219513, 0.293917, 0.191844, 0.294726,
 0.253754, 0.256662, 0.248206, 0.241378} 

{0.219371, 0.296141, 0.191823, 0.292666,
 0.254451, 0.256563, 0.247972, 0.241014} 

{0.218585, 0.296099, 0.191523, 0.293793,
 0.254833, 0.256307, 0.247364, 0.241497} 

{ 0.21898, 0.295226, 0.190541, 0.295253,
 0.255065, 0.255777, 0.247504, 0.241654} 

{0.219056, 0.295096, 0.189894, 0.295954,
 0.254519, 0.257566, 0.247107, 0.240808} 

{0.220339, 0.292077, 0.189775, 0.297808,
 0.254707, 0.257986, 0.246031, 0.241276} 

{0.221157, 0.292565, 0.189056, 0.297223,
  0.25476,   0.2577, 0.245865, 0.241675} 

{0.221765, 0.293097, 0.187617, 0.297521,
 0.254593, 0.257496, 0.246954, 0.240957} 

{0.217536, 0.296314, 0.188997, 0.297154,
  0.25516,  0.25773, 0.246086, 0.241024} 

{0.218894, 0.295046, 0.189518, 0.296542,
 0.254931, 0.257855, 0.246405, 0.240808} 

{0.219103, 0.295248, 0.189185, 0.296463,
 0.255627, 0.257788, 0.246004, 0.240581} 

{0.220784,  0.29441, 0.188607,   0.2962,
 0.255631, 0.257871, 0.246109, 0.240389} 

{0.220073, 0.295848, 0.187137, 0.296943,
 0.254363,  0.25887, 0.246789, 0.239979} 

{0.218279, 0.295768, 0.188235, 0.297717,
 0.254249, 0.259308, 0.245749, 0.240693} 

{0.217842, 0.295865, 0.188003,  0.29829,
 0.255323, 0.258715, 0.245581, 0.240381} 

{0.219231, 0.298477, 0.186935, 0.295357,
 0.255098, 0.259516, 0.245615, 0.239772} 

{0.220286, 0.296312, 0.186766, 0.296636,
 0.254472, 0.259002, 0.246111, 0.240416} 

{0.220452, 0.295992, 0.186496, 0.297061,
 0.254101, 0.259424,  0.24595, 0.240526} 

{0.221739, 0.295013, 0.187028, 0.296221,
 0.253571, 0.260068, 0.245404, 0.240957} 

{0.220686, 0.296283, 0.187194, 0.295836,
 0.253661, 0.259942, 0.244953, 0.241444} 

{0.219011,  0.29659, 0.187557, 0.296842,
 0.253455, 0.260335, 0.244696, 0.241513} 

{0.218181, 0.294798, 0.188134, 0.298888,
 0.252596, 0.261442, 0.244633, 0.241329} 

{0.218893, 0.295886,  0.18756, 0.297661,
 0.251553,  0.26256, 0.244765, 0.241123} 

{0.219058, 0.294869, 0.187103,  0.29897,
 0.252003, 0.261976, 0.244843, 0.241178} 

{0.219309, 0.295339, 0.185907, 0.299446,
 0.251938, 0.261562, 0.243993, 0.242506} 

{0.219568,  0.29573, 0.184687, 0.300014,
 0.251944, 0.261894, 0.243275, 0.242887} 

{ 0.21918, 0.296561, 0.184195, 0.300064,
 0.251644, 0.261502, 0.243313, 0.243542} 

{0.218425, 0.297119, 0.186002, 0.298454,
 0.251854, 0.261832, 0.242554,  0.24376} 

{0.218907, 0.296307, 0.187361, 0.297425,
 0.252132, 0.262558, 0.241502, 0.243808} 

{0.219063, 0.295197, 0.187716, 0.298024,
 0.253257,  0.26033, 0.242091, 0.244322} 

{0.218961, 0.297272, 0.186911, 0.296856,
 0.252966,  0.26099,   0.2417, 0.244345} 

{ 0.22158, 0.294843,  0.18698, 0.296597,
 0.254478, 0.260049, 0.241422, 0.244052} 

{0.217235, 0.297937, 0.187312, 0.297517,
 0.252981, 0.264148, 0.240378, 0.242492} 

{0.218331, 0.298897, 0.187519, 0.295254,
 0.253478, 0.264244, 0.240378, 0.241899} 

{0.219378, 0.299505, 0.186874, 0.294243,
 0.253392, 0.264429, 0.240351, 0.241828} 

{0.220917, 0.299781,  0.18594, 0.293362,
 0.254156, 0.264648, 0.239586,  0.24161} 

{0.221419, 0.300828, 0.184983,  0.29277,
 0.254171, 0.264969,  0.23901,  0.24185} 

{0.216953, 0.300283, 0.187775, 0.294989,
 0.255102, 0.263546,  0.23926, 0.242091} 

{0.213818, 0.302723, 0.189221, 0.294239,
 0.255608, 0.262334, 0.239634, 0.242424} 

{0.214056, 0.301984, 0.189488, 0.294472,
 0.255241, 0.261358, 0.241307, 0.242094} 

{0.213773, 0.301925, 0.190749, 0.293553,
  0.25526, 0.261162, 0.240879, 0.242699} 

{0.214852, 0.299549,  0.19281, 0.292788,
 0.254692, 0.262234, 0.240495, 0.242579} 

{0.214909, 0.299598,  0.19346, 0.292033,
 0.253838, 0.262851, 0.240473, 0.242837} 

{0.212874, 0.301014, 0.193756, 0.292356,
 0.252787, 0.263093, 0.241467, 0.242653} 

{ 0.21404, 0.300884, 0.191861, 0.293215,
  0.25289, 0.262883, 0.241691, 0.242535} 

{0.215058, 0.302471, 0.186875, 0.295595,
 0.252935, 0.263605, 0.241844, 0.241617} 

{0.215397, 0.301467, 0.186908, 0.296228,
 0.252528, 0.264006, 0.241989, 0.241476} 

{0.215122, 0.301084,   0.1884, 0.295394,
 0.252557, 0.264657,  0.24192, 0.240865} 

{0.215032, 0.300893, 0.187888, 0.296186,
 0.252486, 0.264001, 0.242057, 0.241456} 

{0.217509, 0.295795,  0.18672, 0.299976,
 0.250438,  0.26504, 0.242405, 0.242118} 

{0.216636, 0.294708,  0.18893, 0.299727,
 0.250127, 0.265125, 0.242369, 0.242379} 

{0.215137, 0.294625, 0.189434, 0.300804,
 0.249673, 0.265292, 0.242645,  0.24239} 

{0.213922, 0.294113, 0.188935, 0.303029,
 0.250278, 0.265858, 0.241923, 0.241942} 

{0.216352, 0.291719, 0.188751, 0.303178,
 0.250615, 0.265637, 0.242248,   0.2415} 

{0.216658, 0.290563, 0.189143, 0.303636,
 0.250522, 0.265063, 0.242191, 0.242224} 

{0.216903, 0.289896, 0.189502, 0.303699,
 0.250796, 0.264955, 0.241956, 0.242293} 

{0.217547, 0.290136, 0.189634, 0.302683,
 0.250661, 0.265034, 0.242424, 0.241881} 

{0.219086, 0.287511, 0.189968, 0.303436,
 0.250379, 0.265253, 0.242074, 0.242294} 

{0.218429, 0.281607, 0.195025, 0.304938,
 0.250102, 0.264724, 0.243097, 0.242077} 

{0.218314, 0.279894, 0.196033, 0.305759,
 0.249988, 0.265102, 0.242939, 0.241972} 

{0.219022, 0.280657,  0.19485, 0.305471,
 0.250228, 0.264775, 0.242825, 0.242172} 

{0.218924, 0.279382, 0.195831, 0.305863,
 0.250955, 0.264434, 0.242611,    0.242} 

{0.217959,  0.27935, 0.196878, 0.305813,
 0.249803, 0.264477, 0.244325, 0.241395} 

{0.215493, 0.279679, 0.196831, 0.307997,
  0.25036, 0.263795, 0.244969, 0.240875} 

{0.217594, 0.280249, 0.194913, 0.307244,
 0.250396, 0.263805, 0.245173, 0.240627} 

{0.219263, 0.279931, 0.194619, 0.306187,
 0.250429, 0.264297, 0.245037, 0.240237} 

{0.220434, 0.276891,   0.1943, 0.308375,
 0.249916, 0.265796, 0.244454, 0.239834} 

{0.218055, 0.278164, 0.195288, 0.308493,
 0.249051, 0.265635, 0.245417, 0.239898} 

{0.214706, 0.278895, 0.196567, 0.309832,
 0.249709, 0.265366, 0.244977, 0.239947} 

{0.215224, 0.276301, 0.195189, 0.313286,
 0.249562, 0.265275, 0.245447, 0.239716} 

{0.216044, 0.275856, 0.194708, 0.313392,
 0.247362, 0.266243, 0.246701, 0.239694} 

{0.215821, 0.274944, 0.195725,  0.31351,
 0.247787, 0.265932, 0.246448, 0.239833} 

{0.219272, 0.274042, 0.193732, 0.312954,
  0.24777, 0.266291,   0.2456, 0.240339} 

{0.218313, 0.273399, 0.195019,  0.31327,
 0.247363, 0.266621, 0.246286, 0.239731} 

{0.220784, 0.272124, 0.193866, 0.313225,
 0.247568, 0.266276, 0.246015, 0.240141} 

{0.219763, 0.274507, 0.192675, 0.313055,
  0.24815, 0.265505, 0.245658, 0.240687} 

{0.218798, 0.274089, 0.193521, 0.313592,
 0.248334, 0.265692, 0.245313, 0.240661} 

{0.217816, 0.271947, 0.193702, 0.316535,
 0.248257, 0.266712, 0.244547, 0.240484} 

{0.220086, 0.274944, 0.195208, 0.309762,
 0.248115, 0.266702, 0.244627, 0.240556} 

{0.220526, 0.273124, 0.196238, 0.310112,
 0.248523, 0.267414, 0.243323,  0.24074} 

{0.220819, 0.273171, 0.195948, 0.310062,
 0.248993, 0.266305, 0.243902,   0.2408} 

{0.220849, 0.273805,  0.19514, 0.310206,
 0.249361, 0.266618, 0.242949, 0.241072} 

{0.220682, 0.274978, 0.195739, 0.308601,
 0.248564,  0.26538, 0.244244, 0.241812} 

{0.221101, 0.275224, 0.196539, 0.307136,
 0.248323, 0.265542, 0.244402, 0.241733} 

{ 0.22058, 0.276321, 0.195887, 0.307212,
 0.248214, 0.265979, 0.244296, 0.241512} 

{0.218123, 0.277591, 0.197196,  0.30709,
 0.248283, 0.266161, 0.244342, 0.241214} 

{0.215545, 0.284064,  0.19565, 0.304741,
 0.247462, 0.267492, 0.243934, 0.241112} 

{0.215478, 0.285205, 0.194873, 0.304445,
 0.247372, 0.268214, 0.243203, 0.241211} 

{0.216535, 0.282768, 0.195861, 0.304836,
 0.247438, 0.267588,  0.24349, 0.241484} 

{ 0.22002, 0.282671, 0.193472, 0.303837,
 0.248523,  0.26804, 0.242229, 0.241208} 

{0.220896, 0.283091, 0.194584,  0.30143,
 0.249919, 0.267923, 0.241623, 0.240534} 

{  0.2213, 0.280981, 0.194638, 0.303082,
 0.249534,  0.26802, 0.242029, 0.240417} 

{0.221007, 0.280831, 0.194652, 0.303509,
  0.24963, 0.267893, 0.242187, 0.240289} 

{0.217348, 0.284864, 0.193685, 0.304104,
 0.250607,  0.26734, 0.241458, 0.240595} 

{0.216491,  0.28873, 0.192417, 0.302363,
 0.251148, 0.266882, 0.241275, 0.240695} 

{ 0.22184, 0.280734, 0.191815, 0.305611,
 0.250859, 0.266747, 0.241079, 0.241315} 

{0.222679, 0.280793, 0.191883, 0.304644,
 0.251019, 0.267118,  0.24145, 0.240413} 

{0.221723, 0.282276, 0.190542, 0.305459,
 0.249685, 0.267344, 0.242045, 0.240925} 

{0.222483, 0.281879, 0.190152, 0.305486,
 0.249777, 0.267037,  0.24167, 0.241516} 

{0.223047, 0.281656, 0.191146, 0.304152,
 0.249719, 0.267224, 0.241565, 0.241492} 

{0.222951, 0.281993, 0.190985,  0.30407,
  0.25008, 0.267044, 0.241729, 0.241146} 

{0.225215, 0.283887, 0.192566, 0.298332,
 0.250728, 0.267288, 0.240766, 0.241218} 

{0.225927, 0.282651, 0.193103, 0.298319,
 0.251093, 0.266277, 0.241436, 0.241195} 

{0.223611,  0.28145, 0.197666, 0.297273,
 0.250965, 0.266337, 0.241512, 0.241186} 

{0.222559,  0.28259, 0.197749, 0.297101,
 0.250652, 0.266245, 0.241555, 0.241548} 

{  0.2237, 0.282465, 0.195029, 0.298807,
 0.250553, 0.266339, 0.241385, 0.241722} 

{0.223415, 0.282932, 0.193641, 0.300012,
 0.250819, 0.266004, 0.241115, 0.242062} 

{0.224934,  0.28399, 0.191834, 0.299241,
 0.251214, 0.266163, 0.240695, 0.241928} 

{0.225512, 0.284737,  0.19143, 0.298321,
 0.251933, 0.265608, 0.240892, 0.241566} 

{0.226726, 0.281824, 0.189274, 0.302176,
 0.252101, 0.265221, 0.240796, 0.241882} 

{0.228612, 0.280989, 0.189074, 0.301326,
 0.252696, 0.265312, 0.240525, 0.241467} 

{0.229566, 0.280663, 0.187278, 0.302493,
 0.252001, 0.264463,   0.2408, 0.242736} 

{0.228503, 0.284216, 0.187271, 0.300011,
 0.251614, 0.264142, 0.241413, 0.242832} 

{0.225371, 0.285316, 0.188132, 0.301181,
 0.251132, 0.263736, 0.242156, 0.242976} 

{0.225713, 0.287661, 0.187925, 0.298701,
 0.251316, 0.263893, 0.242203, 0.242588} 

{0.225526, 0.287001, 0.189218, 0.298254,
  0.25226, 0.262265, 0.242773, 0.242702} 

{0.225603, 0.288817,  0.18779,  0.29779,
 0.252263, 0.261877, 0.242816, 0.243044} 

{0.225043, 0.288471, 0.187918, 0.298569,
 0.252365, 0.261892, 0.242367, 0.243376} 

{0.224517, 0.288169, 0.189283, 0.298031,
 0.252374, 0.262081, 0.242391, 0.243153} 

{ 0.22577, 0.290127, 0.189236, 0.294868,
 0.251836, 0.263216, 0.241821, 0.243127} 

{0.227233, 0.287377, 0.189517, 0.295873,
 0.251836, 0.263215, 0.241699,  0.24325} 

{0.227422, 0.287264,  0.18915, 0.296163,
 0.251647,  0.26264, 0.242121, 0.243593} 

{0.226796, 0.287552, 0.188985, 0.296668,
 0.251586, 0.262297, 0.242495, 0.243623} 

{0.225407, 0.287546, 0.190425, 0.296623,
 0.251216, 0.262131, 0.242899, 0.243753} 

{0.224463, 0.286245, 0.192961,  0.29633,
 0.252607, 0.261523, 0.243131,  0.24274} 

{0.221814, 0.287339, 0.192365, 0.298482,
 0.252723, 0.261643, 0.243109, 0.242525} 

{0.221156, 0.288021, 0.191811, 0.299012,
 0.252773, 0.261839, 0.242458, 0.242931} 

{0.219853, 0.289452, 0.194132, 0.296563,
 0.253527, 0.262652, 0.243723, 0.240097} 

{0.222968, 0.289283, 0.192426, 0.295323,
 0.253816, 0.261694, 0.244118, 0.240372} 

{0.223119, 0.290606, 0.193255,  0.29302,
 0.253985, 0.261075, 0.244321, 0.240619} 

{ 0.22356, 0.290552, 0.193216, 0.292671,
 0.254319,  0.26042, 0.244754, 0.240506} 

{0.224846, 0.289915, 0.193335, 0.291903,
 0.254342, 0.260785, 0.244557, 0.240316} 

{0.223641, 0.290705, 0.193028, 0.292627,
 0.254707, 0.260819, 0.244073, 0.240402} 

{0.222712, 0.291772, 0.193309, 0.292208,
 0.254885, 0.259968, 0.244225, 0.240923} 

{ 0.22315, 0.293072, 0.191858,  0.29192,
 0.254921, 0.259881, 0.244378, 0.240821} 

{0.220876,   0.2938, 0.192175, 0.293149,
 0.255182, 0.259044,  0.24488, 0.240894} 

{0.220742, 0.295562, 0.190338, 0.293358,
 0.256551, 0.258672, 0.244346, 0.240431} 

{ 0.22137, 0.295092,  0.18997, 0.293568,
 0.256349, 0.259682, 0.243607, 0.240362} 

{0.221935, 0.297078,  0.18813, 0.292857,
 0.257053, 0.259454, 0.243095, 0.240398} 

{0.216955,  0.29904, 0.189906, 0.294098,
 0.257084, 0.260737, 0.241845, 0.240333} 

{0.216902, 0.298995, 0.189818, 0.294285,
 0.257486, 0.260395, 0.241945, 0.240173} 

{0.216034, 0.298848, 0.189476, 0.295642,
 0.257524, 0.260487, 0.241999, 0.239991} 

{0.216241,   0.2991, 0.190236, 0.294423,
 0.257295, 0.260451, 0.241889, 0.240365} 

{0.216983, 0.299597, 0.188997, 0.294423,
 0.256921, 0.260565, 0.241907, 0.240607} 

{0.217888, 0.301874, 0.188472, 0.291766,
 0.257252, 0.260538, 0.240872, 0.241338} 

{0.215803, 0.299816, 0.195801,  0.28858,
 0.256968, 0.260917, 0.241256, 0.240859} 

{0.214197, 0.302283, 0.195264, 0.288257,
 0.256857, 0.260886, 0.241432, 0.240824} 

{0.214299, 0.301663, 0.196508,  0.28753,
 0.257804, 0.260047, 0.241239, 0.240911} 

{ 0.21332, 0.300401, 0.195532, 0.290747,
 0.257493,  0.26055, 0.241253, 0.240704} 

{0.213107, 0.301321, 0.197576, 0.287996,
 0.258028, 0.260353, 0.240831, 0.240788} 

{0.212672, 0.301465,  0.19605, 0.289813,
 0.257571, 0.259071, 0.242924, 0.240435} 

{0.212317, 0.300875, 0.195743, 0.291065,
 0.257366, 0.258653, 0.243304, 0.240677} 

{0.211439, 0.300295, 0.196926, 0.291339,
 0.257312, 0.258047, 0.243589, 0.241052} 

{0.211691, 0.298728, 0.195697, 0.293884,
 0.257624, 0.258078, 0.243326, 0.240971} 

