96 documents , 1 concepts , 613 context features (17483) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
4.3110382997196484e-05   T=0,K=0:  65552 (0.031) ; 58429 (0.030) ; nlsj59172 (0.024) ; 104421 (0.024) ; 22943 (0.023) ; 102736 (0.023) ; 109757 (0.021) ; 102000 (0.021) ; 106974 (0.020) ; 73277 (0.019) ; 
0.004406103934537005   T=0,K=1:  15038 (0.090) ; 22100 (0.068) ; 80891 (0.060) ; 100957 (0.044) ; 80327 (0.043) ; nlsj33192 (0.034) ; 35417 (0.031) ; 73277 (0.030) ; 72321 (0.027) ;  (0.022) ; 
2.4926544908743274e-10   T=1,K=1:  22100 (0.095) ; 15038 (0.088) ; 80891 (0.057) ; 100957 (0.048) ; nlsj33192 (0.040) ; 80327 (0.039) ; 73277 (0.036) ; 72321 (0.028) ; 35417 (0.026) ; 93471 (0.026) ; 
3.501642670326167e-12   T=2,K=1:  15038 (0.098) ; nlsj33192 (0.056) ; 80891 (0.054) ; 73277 (0.048) ; 100957 (0.045) ; 22100 (0.043) ; 72321 (0.038) ; 35417 (0.029) ; 93471 (0.029) ; 98914 (0.028) ; 
2.551122941424542e-09   T=3,K=1:  15038 (0.066) ; nlsj33192 (0.058) ; 72321 (0.048) ; 100957 (0.043) ; 35417 (0.034) ; 73277 (0.034) ; 61791 (0.032) ; 98914 (0.025) ; 80891 (0.024) ; 22100 (0.023) ; 
0.10750268110265833   T=4,K=1:  15038 (0.074) ; 73277 (0.037) ; 100957 (0.034) ; 61791 (0.033) ; nlsj33192 (0.032) ; 72321 (0.030) ; 22209 (0.029) ; 98914 (0.029) ; 35417 (0.028) ; 80891 (0.022) ; 
0.0037677207181436214   T=5,K=1:  61791 (0.060) ; 15038 (0.054) ; nlsj33192 (0.043) ; 22209 (0.034) ; 100957 (0.029) ; 35417 (0.028) ; 8909 (0.027) ; 80891 (0.025) ; 110639 (0.025) ; 73277 (0.025) ; 
1.3097926779061502e-05   T=6,K=1:  61791 (0.093) ; 15038 (0.036) ; nlsj33192 (0.030) ; 110639 (0.030) ; 98914 (0.026) ; 35417 (0.026) ; 100957 (0.024) ; 93471 (0.024) ; 22100 (0.023) ; 80891 (0.021) ; 
0.0932295196626637   T=7,K=1:  61791 (0.045) ; 15038 (0.042) ; 35417 (0.034) ; 3630 (0.027) ; 22209 (0.025) ; 22100 (0.025) ; 5360 (0.023) ; 73277 (0.023) ; 93471 (0.022) ; 8909 (0.022) ; 
0.17080300064365528   T=8,K=1:  61791 (0.045) ; 15038 (0.028) ; 72321 (0.025) ; 3630 (0.024) ; 35417 (0.022) ; 67762 (0.022) ; 73277 (0.022) ; 100957 (0.021) ; 22100 (0.021) ; 5360 (0.020) ; 
0.04920308837841868   T=9,K=1:  22209 (0.040) ; 3630 (0.032) ; 61791 (0.030) ; 110639 (0.027) ; 21920 (0.025) ; nlsj114757 (0.025) ; 72321 (0.024) ; 35417 (0.024) ; 22100 (0.022) ; 100957 (0.021) ; 
0.47097842007885254   T=10,K=1:  22209 (0.039) ; 61791 (0.039) ; 72321 (0.032) ; nlsj114757 (0.030) ; 21920 (0.026) ; 110639 (0.024) ; 8909 (0.022) ; 3630 (0.022) ; 67762 (0.022) ; 114553 (0.020) ; 
0.57812098285482   T=11,K=1:  61791 (0.047) ; 22209 (0.044) ; 21920 (0.034) ; nlsj114757 (0.032) ; 72321 (0.025) ; 67762 (0.024) ; 3630 (0.023) ; 103440 (0.022) ; 110727 (0.021) ; 110639 (0.020) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  15038 (0.052) ; 61791 (0.038) ; 22100 (0.032) ; 100957 (0.030) ; 72321 (0.028) ; nlsj33192 (0.028) ; 80891 (0.028) ; 73277 (0.027) ; 35417 (0.025) ; 22209 (0.025) ; 

0.00022010099008707093   T=0,K=2:  97108 (0.067) ; 114753 (0.039) ; 16430 (0.037) ; 39299 (0.032) ; 66173 (0.032) ; 97048 (0.030) ; 21872 (0.028) ; 21861 (0.025) ; 30866 (0.023) ; 111462 (0.021) ; 
1.1568627588373629e-09   T=1,K=2:  97108 (0.073) ; 30866 (0.028) ; 57165 (0.028) ; 114753 (0.026) ; 16430 (0.026) ; 66173 (0.025) ; 39299 (0.025) ; 97048 (0.024) ; 21872 (0.023) ; 76530 (0.023) ; 
1.195407471689199e-09   T=2,K=2:  97108 (0.052) ; 19972 (0.035) ; 57165 (0.033) ; 30866 (0.028) ; 76530 (0.028) ; 21872 (0.025) ; 39299 (0.024) ; 16430 (0.023) ; 66173 (0.023) ; 97048 (0.022) ; 
6.772796965389627e-07   T=3,K=2:  21872 (0.059) ; 39299 (0.049) ; 97108 (0.034) ; 19972 (0.030) ; 16430 (0.027) ; 76530 (0.024) ; 30866 (0.022) ; nlsj32160 (0.021) ; 85306 (0.021) ; 102000 (0.020) ; 
0.09011801611979244   T=4,K=2:  39299 (0.080) ; 21872 (0.052) ; nlsj32160 (0.031) ; 85306 (0.029) ; 16430 (0.028) ; 19972 (0.024) ; 30866 (0.023) ; 97108 (0.022) ; 26408 (0.022) ; 76530 (0.022) ; 
0.03179895339420194   T=5,K=2:  39299 (0.085) ; 21872 (0.066) ; nlsj32160 (0.044) ; 85306 (0.030) ; 16430 (0.025) ; 109871 (0.023) ; 76530 (0.022) ; 30866 (0.019) ; 57165 (0.019) ; 97108 (0.019) ; 
4.5918728843608056e-05   T=6,K=2:  39299 (0.055) ; 21872 (0.054) ; 85306 (0.049) ; nlsj32160 (0.039) ; 16430 (0.031) ; 109871 (0.028) ; 260 (0.028) ; 64866 (0.023) ; 66173 (0.022) ; 73064 (0.020) ; 
0.4203526947688257   T=7,K=2:  39299 (0.060) ; nlsj32160 (0.041) ; 85306 (0.035) ; 109871 (0.034) ; 21872 (0.029) ; 84494 (0.026) ; 57165 (0.026) ; 260 (0.025) ; 97048 (0.024) ; 64866 (0.021) ; 
0.05863054938351503   T=8,K=2:  109871 (0.061) ; 39299 (0.047) ; nlsj32160 (0.036) ; 21872 (0.031) ; 85306 (0.027) ; 73064 (0.026) ; 26408 (0.025) ; 84494 (0.024) ; 64866 (0.023) ; 44964 (0.023) ; 
0.03604389561509738   T=9,K=2:  109871 (0.046) ; 64866 (0.042) ; 21872 (0.037) ; 39299 (0.036) ; 26408 (0.029) ; 21861 (0.025) ; 44964 (0.023) ; 65295 (0.023) ; nlsj32160 (0.023) ; 102000 (0.021) ; 
0.016169340755034213   T=10,K=2:  64866 (0.045) ; 109871 (0.044) ; 39299 (0.044) ; 21872 (0.032) ; 21861 (0.032) ; 102000 (0.029) ; 44964 (0.028) ; 65295 (0.027) ; 26408 (0.025) ; nlsj89132 (0.023) ; 
0.2640892395928213   T=11,K=2:  64866 (0.066) ; 21861 (0.056) ; 39299 (0.046) ; 109871 (0.033) ; 85306 (0.031) ; 26408 (0.029) ; 44964 (0.028) ; 84494 (0.027) ; 260 (0.022) ; 102000 (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  39299 (0.049) ; 21872 (0.038) ; 97108 (0.028) ; 109871 (0.028) ; 64866 (0.027) ; nlsj32160 (0.025) ; 85306 (0.024) ; 21861 (0.021) ; 16430 (0.020) ; 26408 (0.020) ; 

1.8117507994114735e-20   T=0,K=3:  8575 (0.114) ; 47513 (0.094) ; 19546 (0.077) ; 32105 (0.060) ; 84234 (0.053) ; 66594 (0.043) ; 6549 (0.040) ; 65552 (0.030) ; 97908 (0.027) ; 103701 (0.025) ; 
6.194174465459368e-23   T=1,K=3:  8575 (0.147) ; 19546 (0.115) ; 47513 (0.107) ; 32105 (0.050) ; 84234 (0.048) ; 66594 (0.048) ; 6549 (0.036) ;  (0.026) ; 97908 (0.025) ; 90122 (0.022) ; 
7.494172513425972e-15   T=2,K=3:  47513 (0.142) ; 19546 (0.096) ; 8575 (0.072) ; 6549 (0.057) ; 32105 (0.045) ; 66594 (0.042) ; 84234 (0.041) ; 90122 (0.024) ; 76588 (0.023) ; 65552 (0.021) ; 
1.1232411182422703e-09   T=3,K=3:  19546 (0.111) ; 47513 (0.077) ; 6549 (0.073) ; 32105 (0.064) ; 8575 (0.051) ; 84234 (0.030) ; 76588 (0.029) ; 90122 (0.024) ;  (0.024) ; 66594 (0.023) ; 
1.4774130390521818e-10   T=4,K=3:  19546 (0.092) ; 32105 (0.062) ; 47513 (0.057) ; 6549 (0.054) ; 8575 (0.049) ; 84234 (0.046) ; 66594 (0.032) ; 76588 (0.030) ; 98914 (0.028) ; 90122 (0.026) ; 
2.2348459814299863e-09   T=5,K=3:  32105 (0.068) ; 19546 (0.067) ; 47513 (0.053) ; 84234 (0.052) ; 8575 (0.038) ; 6549 (0.037) ; 76588 (0.036) ;  (0.032) ; 66594 (0.032) ; 98914 (0.026) ; 
8.963141978968284e-09   T=6,K=3:  32105 (0.093) ; 84234 (0.052) ; 47513 (0.051) ; 19546 (0.047) ; 8575 (0.046) ;  (0.037) ; 76588 (0.037) ; 66594 (0.033) ; 6549 (0.026) ; 103975 (0.025) ; 
0.013033023313640481   T=7,K=3:  84234 (0.052) ; 19546 (0.050) ; 47513 (0.048) ; 32105 (0.039) ; 103975 (0.037) ; 66594 (0.036) ;  (0.033) ; 8575 (0.032) ; 76588 (0.031) ; 6549 (0.029) ; 
0.17495821323071564   T=8,K=3:  103975 (0.069) ; 32105 (0.051) ; 6549 (0.049) ; 66594 (0.042) ; 84234 (0.040) ; 47513 (0.037) ; 19546 (0.035) ; 76588 (0.035) ;  (0.030) ; 110855 (0.029) ; 
0.0295810313231984   T=9,K=3:  103975 (0.067) ; 6549 (0.056) ; 32105 (0.052) ; 84234 (0.045) ; 66594 (0.043) ; 47513 (0.034) ; 98914 (0.034) ;  (0.032) ; 19546 (0.031) ; 90122 (0.029) ; 
4.421871175556455e-06   T=10,K=3:  84234 (0.080) ; 103975 (0.059) ; 66594 (0.054) ; 6549 (0.052) ; 19546 (0.050) ; 47513 (0.044) ; 32105 (0.036) ; 110855 (0.033) ; 98914 (0.032) ; 8575 (0.028) ; 
8.786557365760128e-09   T=11,K=3:  66594 (0.085) ; 19546 (0.059) ; 47513 (0.058) ; 84234 (0.044) ; 98914 (0.042) ; 8575 (0.036) ; 6549 (0.034) ; 32105 (0.034) ; 110855 (0.032) ; 103975 (0.032) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  19546 (0.069) ; 47513 (0.067) ; 8575 (0.055) ; 32105 (0.054) ; 84234 (0.049) ; 6549 (0.045) ; 66594 (0.043) ; 103975 (0.029) ;  (0.027) ; 76588 (0.026) ; 

8.719280890067167e-13   T=0,K=4:  35417 (0.076) ; 97115 (0.069) ; 15893 (0.065) ; nlsj104814 (0.051) ;  (0.051) ; 90504 (0.028) ; 65295 (0.027) ; 61265 (0.026) ; 5607 (0.023) ; 115193 (0.022) ; 
1.7195809279356503e-18   T=1,K=4:  97115 (0.102) ; 35417 (0.092) ; nlsj104814 (0.052) ;  (0.049) ; 15893 (0.042) ; 90504 (0.029) ; 61265 (0.025) ; 115193 (0.024) ; 65295 (0.022) ; 5607 (0.022) ; 
3.1620460451078145e-16   T=2,K=4:  97115 (0.105) ; nlsj104814 (0.075) ; 35417 (0.047) ; 15893 (0.045) ;  (0.041) ; 90504 (0.028) ; 65295 (0.027) ; 84234 (0.027) ; 110727 (0.026) ; 61265 (0.026) ; 
9.53413771540237e-10   T=3,K=4:  nlsj104814 (0.123) ; 97115 (0.093) ; 110722 (0.043) ; 35417 (0.038) ; 84234 (0.032) ;  (0.031) ; 15893 (0.028) ; 65295 (0.027) ; 90504 (0.026) ; 110400 (0.026) ; 
0.06071578061902169   T=4,K=4:  nlsj104814 (0.152) ; 97115 (0.103) ;  (0.037) ; 65295 (0.036) ; 64866 (0.031) ; 35417 (0.028) ; 110400 (0.027) ; 110722 (0.027) ; 90504 (0.026) ; 15893 (0.025) ; 
0.015329245431613247   T=5,K=4:  nlsj104814 (0.178) ; 97115 (0.115) ; 64866 (0.044) ;  (0.034) ; 110400 (0.029) ; 65295 (0.027) ; 35417 (0.025) ; 84234 (0.024) ; 110722 (0.023) ; 90504 (0.022) ; 
0.0019345148350852787   T=6,K=4:  nlsj104814 (0.174) ; 97115 (0.092) ; 64866 (0.044) ; 84234 (0.038) ; 35417 (0.038) ; 110400 (0.038) ;  (0.035) ; 110722 (0.020) ; 80327 (0.019) ; 110727 (0.018) ; 
0.06389488671177967   T=7,K=4:  nlsj104814 (0.118) ; 64866 (0.061) ; 84234 (0.059) ; 97115 (0.039) ; 35417 (0.032) ; 110400 (0.029) ;  (0.028) ; 15893 (0.027) ; 65295 (0.021) ; 61791 (0.019) ; 
0.08974680487873966   T=8,K=4:  nlsj104814 (0.094) ; 64866 (0.056) ; 84234 (0.048) ; 97115 (0.046) ; 65295 (0.036) ; 110400 (0.033) ; 35417 (0.033) ;  (0.026) ; 37726 (0.024) ; 15893 (0.023) ; 
0.1536587299252088   T=9,K=4:  nlsj104814 (0.100) ; 84234 (0.094) ; 64866 (0.044) ; 110400 (0.043) ; 97115 (0.039) ; 65295 (0.036) ; 15893 (0.032) ; 35417 (0.029) ; 115193 (0.024) ; 20046 (0.020) ; 
0.08795764206617207   T=10,K=4:  nlsj104814 (0.095) ; 84234 (0.069) ; 110400 (0.056) ; 64866 (0.044) ; 97115 (0.041) ; 65295 (0.030) ; 15893 (0.029) ; 37726 (0.028) ; 80327 (0.025) ; 35417 (0.024) ; 
0.00013851526632074703   T=11,K=4:  84234 (0.073) ; nlsj104814 (0.068) ; 97115 (0.037) ; 110400 (0.036) ; 31861 (0.035) ; 65295 (0.034) ; 35417 (0.031) ; 64866 (0.029) ; 37726 (0.027) ; 115193 (0.026) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  nlsj104814 (0.107) ; 97115 (0.073) ; 84234 (0.043) ; 35417 (0.041) ; 64866 (0.036) ;  (0.031) ; 110400 (0.031) ; 15893 (0.031) ; 65295 (0.028) ; 90504 (0.022) ; 

0.8216756787845885   T=0,K=5:  40083 (0.111) ; 79983 (0.090) ; 116416 (0.038) ; 84034 (0.036) ; 2018 (0.036) ; 24084 (0.033) ; nlsj87789 (0.031) ; 34451 (0.030) ; 1564 (0.029) ; 110012 (0.028) ; 
0.0001073975021449711   T=1,K=5:  40083 (0.090) ; 116416 (0.061) ; 84034 (0.054) ; 79983 (0.051) ; nlsj87789 (0.041) ; 24084 (0.036) ; 73672 (0.034) ; 1564 (0.032) ; 2018 (0.030) ; 110012 (0.030) ; 
0.006058906658036215   T=2,K=5:  40083 (0.056) ; 84034 (0.045) ; 24084 (0.043) ; 1564 (0.040) ; 79983 (0.038) ; 20836 (0.035) ; 116416 (0.031) ; 12485 (0.031) ; 73672 (0.031) ; 38901 (0.028) ; 
0.8734284490796622   T=3,K=5:  84034 (0.049) ; 1564 (0.047) ; 20836 (0.043) ; 40083 (0.041) ; 73672 (0.037) ; 24084 (0.034) ; nlsj87789 (0.031) ; 75636 (0.028) ; 103440 (0.027) ; 12485 (0.025) ; 
0.1904559032565572   T=4,K=5:  20836 (0.041) ; 2764 (0.040) ; 40083 (0.039) ; 84034 (0.037) ; 75636 (0.034) ; 1564 (0.034) ; 79983 (0.032) ; 73672 (0.029) ; 103440 (0.027) ; nlsj87789 (0.025) ; 
0.0007733928255671955   T=5,K=5:  1564 (0.055) ; 40083 (0.046) ; 37720 (0.039) ; 84034 (0.038) ; 2764 (0.032) ; nlsj87789 (0.032) ; 75595 (0.031) ; 20836 (0.031) ; 2018 (0.029) ; 103440 (0.026) ; 
3.504407818906069e-05   T=6,K=5:  1564 (0.071) ; 40083 (0.052) ; 37720 (0.048) ; 84034 (0.041) ; 2018 (0.032) ; nlsj87789 (0.032) ; 103440 (0.028) ; 43206 (0.028) ; 2764 (0.026) ; 75636 (0.024) ; 
0.017359272023626946   T=7,K=5:  40083 (0.053) ; 84034 (0.047) ; 43206 (0.046) ; 1564 (0.040) ; nlsj87789 (0.040) ; 37720 (0.039) ; 39544 (0.036) ; 34451 (0.030) ; 103440 (0.030) ; 2764 (0.027) ; 
0.0001608999867414457   T=8,K=5:  1564 (0.060) ; 37720 (0.049) ; 43206 (0.048) ; 39544 (0.043) ; 2764 (0.039) ; 38901 (0.039) ; 40083 (0.037) ; nlsj87789 (0.034) ; 84034 (0.030) ; 34451 (0.028) ; 
0.002670547639631564   T=9,K=5:  43206 (0.067) ; 1564 (0.060) ; 39544 (0.048) ; 37720 (0.048) ; 2764 (0.042) ; 2018 (0.035) ; 75636 (0.033) ; 38901 (0.033) ; 116416 (0.030) ; 84234 (0.029) ; 
0.12540107357376726   T=10,K=5:  1564 (0.092) ; 43206 (0.061) ; 2018 (0.050) ; 116416 (0.045) ; 37720 (0.041) ; 39544 (0.037) ; 47598 (0.033) ; 2764 (0.029) ; 75595 (0.026) ; 75636 (0.024) ; 
0.004181092316792208   T=11,K=5:  1564 (0.092) ; 2018 (0.057) ; 43206 (0.055) ; 47598 (0.048) ; 37720 (0.045) ; 84234 (0.030) ; 75595 (0.028) ; 39544 (0.027) ; 75636 (0.026) ; 64319 (0.026) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  1564 (0.054) ; 40083 (0.049) ; 84034 (0.035) ; 2018 (0.032) ; 37720 (0.032) ; 43206 (0.031) ; nlsj87789 (0.029) ; 79983 (0.029) ; 116416 (0.027) ; 2764 (0.027) ; 

2.975507386457712e-08   T=0,K=6:  76530 (0.060) ; 22209 (0.054) ; 34219 (0.042) ; 106601 (0.041) ; 91041 (0.038) ; nlsj80958 (0.031) ; nlsj5627 (0.029) ; 22210 (0.028) ; 28569 (0.028) ; nlsj2087 (0.025) ; 
4.0835732328826496e-10   T=1,K=6:  34219 (0.047) ; 112769 (0.040) ; 76530 (0.038) ; 92384 (0.036) ; 22209 (0.035) ; 49817 (0.032) ; 91041 (0.030) ; nlsj2087 (0.026) ; nlsj80958 (0.024) ; 74378 (0.023) ; 
3.929858366895615e-09   T=2,K=6:  22209 (0.048) ; 76530 (0.046) ; 91041 (0.035) ; 106267 (0.035) ; 112769 (0.033) ; 34219 (0.032) ; 79983 (0.029) ; nlsj80958 (0.025) ; 49817 (0.024) ; 63845 (0.024) ; 
6.951206906862565e-08   T=3,K=6:  22209 (0.082) ; 112769 (0.046) ; 91041 (0.041) ; nlsj5627 (0.039) ; 106267 (0.035) ; 29698 (0.030) ; 76530 (0.028) ; nlsj80958 (0.026) ; 92384 (0.023) ; 63845 (0.023) ; 
0.00027088372950593355   T=4,K=6:  112769 (0.059) ; 22209 (0.051) ; 106267 (0.039) ; 49817 (0.035) ; nlsj5627 (0.030) ; 64598 (0.029) ; 76530 (0.027) ; 91041 (0.027) ; 64836 (0.023) ; 42827 (0.023) ; 
0.005054415807055453   T=5,K=6:  112769 (0.051) ; 49817 (0.044) ; 64598 (0.038) ; nlsj80958 (0.034) ; 91041 (0.034) ; 22209 (0.032) ; 92384 (0.030) ; 64836 (0.028) ; 79983 (0.027) ; 106267 (0.025) ; 
0.11177060067658387   T=6,K=6:  49817 (0.062) ; 112769 (0.047) ; 64598 (0.040) ; 106267 (0.039) ; 79983 (0.037) ; 92384 (0.033) ; nlsj80958 (0.033) ; 48676 (0.032) ; 91041 (0.032) ; 64836 (0.031) ; 
0.024573554360713668   T=7,K=6:  112769 (0.046) ; 49817 (0.044) ; 92384 (0.041) ; 64598 (0.039) ; 79983 (0.032) ; 64836 (0.030) ; 91041 (0.029) ; 34219 (0.028) ; 76530 (0.025) ; nlsj80958 (0.024) ; 
0.09227837241158991   T=8,K=6:  91041 (0.050) ; 64836 (0.045) ; 79983 (0.042) ; 26039 (0.040) ; 112769 (0.037) ; 34219 (0.034) ; 92384 (0.033) ; 49817 (0.032) ; 31333 (0.028) ; 29698 (0.027) ; 
0.00015076872120218206   T=9,K=6:  79983 (0.066) ; 112769 (0.052) ; 91041 (0.048) ; 26039 (0.035) ; 92384 (0.031) ; 116224 (0.027) ; 31333 (0.026) ; 34219 (0.026) ; 29698 (0.024) ; 64836 (0.024) ; 
0.007077055849845891   T=10,K=6:  79983 (0.051) ; 91041 (0.044) ; 26039 (0.042) ; 104891 (0.039) ; 112769 (0.039) ; 92384 (0.029) ; 28569 (0.028) ; 64836 (0.028) ; 106601 (0.026) ; nlsj80958 (0.025) ; 
0.1143829383900433   T=11,K=6:  112769 (0.049) ; 26039 (0.042) ; 91041 (0.041) ; 104891 (0.040) ; 79983 (0.040) ; 112720 (0.036) ; nlsj80958 (0.035) ; 64598 (0.030) ; 106267 (0.027) ; 116224 (0.027) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  112769 (0.044) ; 91041 (0.038) ; 79983 (0.033) ; 49817 (0.032) ; 22209 (0.032) ; 92384 (0.028) ; 34219 (0.027) ; nlsj80958 (0.027) ; 76530 (0.027) ; 106267 (0.027) ; 

0.13823040309719892   T=0,K=7:  102930 (0.084) ; 96662 (0.076) ; 97786 (0.048) ; 31192 (0.038) ; 33160 (0.031) ; 45996 (0.029) ; nlsj54945 (0.027) ; 34270 (0.026) ; 87413 (0.023) ; 115193 (0.022) ; 
0.0001429275411040736   T=1,K=7:  102930 (0.062) ; 96662 (0.058) ; 45996 (0.046) ; 97786 (0.046) ; 63772 (0.043) ; 31192 (0.041) ; 33160 (0.040) ; nlsj54945 (0.025) ; 115193 (0.024) ; 112703 (0.019) ; 
0.4403023591347256   T=2,K=7:  102930 (0.060) ; 63772 (0.057) ; 96662 (0.055) ; nlsj54945 (0.049) ; 97786 (0.048) ; 31192 (0.033) ; 33160 (0.030) ; 19722 (0.028) ; 45996 (0.024) ; 85306 (0.022) ; 
2.331851749537716e-06   T=3,K=7:  96662 (0.060) ; 31192 (0.041) ; 45996 (0.041) ; nlsj54945 (0.036) ; 19722 (0.036) ; 63772 (0.034) ; 22209 (0.030) ; 102930 (0.025) ; 33160 (0.020) ; 85306 (0.020) ; 
0.0025144341318567285   T=4,K=7:  96662 (0.061) ; 19722 (0.040) ; 31192 (0.039) ; 102930 (0.035) ; 45996 (0.029) ; 63772 (0.027) ; 22209 (0.024) ; nlsj54945 (0.023) ; 112703 (0.019) ; 34270 (0.018) ; 
0.5508986693763581   T=5,K=7:  96662 (0.042) ; 102930 (0.038) ; 31192 (0.037) ; 19722 (0.035) ; 45996 (0.030) ; 63772 (0.029) ; 33160 (0.020) ; 34270 (0.020) ; 72254 (0.019) ; 61791 (0.019) ; 
0.127303795693849   T=6,K=7:  31192 (0.079) ; 19722 (0.041) ; 102930 (0.033) ; 96662 (0.031) ; 61791 (0.026) ; 33160 (0.022) ; 45996 (0.021) ; 72254 (0.020) ; 85306 (0.019) ; 112703 (0.018) ; 
0.039730628992446546   T=7,K=7:  31192 (0.072) ; 96662 (0.042) ; 85306 (0.033) ; 61791 (0.030) ; 7607 (0.024) ; 102930 (0.024) ; 45996 (0.024) ; 19722 (0.023) ; 22209 (0.020) ; 72254 (0.019) ; 
0.20365494793467337   T=8,K=7:  31192 (0.056) ; 7607 (0.049) ; 61791 (0.043) ; 85306 (0.040) ; 96662 (0.038) ; 104698 (0.022) ; 19722 (0.019) ; 45996 (0.016) ; 102930 (0.015) ; 114753 (0.015) ; 
0.40907493539564044   T=9,K=7:  61791 (0.065) ; 7607 (0.056) ; 31192 (0.048) ; 96662 (0.031) ; 102930 (0.030) ; 85306 (0.028) ; 104698 (0.024) ; nlsj32167 (0.020) ; 78297 (0.019) ; 72254 (0.018) ; 
0.0001016993410935366   T=10,K=7:  102930 (0.059) ; 31192 (0.058) ; 7607 (0.037) ; 61791 (0.036) ; 19722 (0.030) ; 85306 (0.026) ; 13813 (0.023) ; 96662 (0.021) ; 47828 (0.021) ; 72254 (0.020) ; 
