207 documents , 1 concepts , 985 context features (15281) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
1.5254816749105387e-06   T=0,K=0:  nlsj61372 (0.108) ; 115887 (0.032) ; 49780 (0.023) ; 15281 (0.023) ; 90504 (0.022) ; 114684 (0.022) ; 92783 (0.021) ; 15274 (0.020) ; 12485 (0.020) ; 19412 (0.019) ; 
3.5044189097031523e-06   T=11,K=0:  75595 (0.044) ; nlsj61372 (0.044) ; 14023 (0.027) ; 115887 (0.026) ; 74621 (0.021) ; 89376 (0.021) ; 74602 (0.021) ; 30040 (0.020) ; 48535 (0.020) ; 15281 (0.019) ; 
3.0151883948295434e-06   T=12,K=0:  74621 (0.043) ; nlsj61372 (0.037) ; 115887 (0.034) ; 75595 (0.032) ; 30040 (0.026) ; 15274 (0.024) ; 83797 (0.021) ; 19563 (0.019) ; 14023 (0.018) ; 59098 (0.018) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  nlsj61372 (0.064) ; 92783 (0.028) ; 115887 (0.022) ; 75595 (0.021) ; 15274 (0.020) ; 15281 (0.019) ; 49780 (0.015) ; 65975 (0.014) ; 14023 (0.014) ; 112832 (0.013) ; 

0.0006489712486533594   T=0,K=1:  48479 (0.083) ; 115887 (0.044) ; 48291 (0.031) ; 90504 (0.031) ; 102096 (0.030) ; 31945 (0.026) ; 114413 (0.024) ; 73277 (0.022) ; 24340 (0.022) ; 66295 (0.019) ; 
0.0006527384204202943   T=1,K=1:  48479 (0.081) ; 115887 (0.039) ; 114413 (0.028) ; 73277 (0.026) ; 31945 (0.026) ; 24340 (0.022) ; 102000 (0.021) ; 34855 (0.021) ; 90504 (0.020) ; 14181 (0.019) ; 
0.0006262587009918534   T=2,K=1:  48479 (0.040) ; 115887 (0.038) ; 14181 (0.026) ; 114413 (0.025) ; 102096 (0.022) ; 24340 (0.022) ; 102000 (0.021) ; 73277 (0.020) ; 31945 (0.020) ; 48291 (0.019) ; 
0.0009577904966293114   T=3,K=1:  14181 (0.055) ; 48479 (0.031) ; 102000 (0.026) ; 115887 (0.026) ; 73277 (0.022) ; 101538 (0.019) ; 66494 (0.019) ; 102436 (0.018) ; 24340 (0.018) ; 114413 (0.016) ; 
0.001235119294232816   T=4,K=1:  115887 (0.046) ; 14181 (0.036) ; 48479 (0.030) ; 101538 (0.025) ; 102000 (0.024) ; 73277 (0.022) ; 24340 (0.020) ; 59660 (0.018) ; 34855 (0.017) ; nlsj61372 (0.016) ; 
0.0013349036906262427   T=5,K=1:  14181 (0.079) ; 48479 (0.030) ; 115887 (0.024) ; 102000 (0.022) ; 62204 (0.021) ; 114413 (0.021) ; 42214 (0.020) ; 101538 (0.019) ; 66494 (0.018) ; 73277 (0.018) ; 
0.0014480605619809424   T=6,K=1:  14181 (0.044) ; 48479 (0.033) ; 115887 (0.032) ; 42214 (0.026) ; 24350 (0.025) ; nlsj61372 (0.022) ; 102000 (0.022) ; 65295 (0.019) ; 30078 (0.018) ; 66494 (0.018) ; 
0.0016634648206206165   T=7,K=1:  14181 (0.044) ; 48479 (0.040) ; 42214 (0.031) ; 31945 (0.021) ; 101538 (0.020) ; 65295 (0.020) ; 115887 (0.020) ; 24350 (0.020) ; 30078 (0.019) ; 102000 (0.017) ; 
0.001807430922406417   T=8,K=1:  14181 (0.047) ; 62204 (0.029) ; 48479 (0.025) ; 73277 (0.024) ; 56723 (0.023) ; 42214 (0.022) ; 11106 (0.021) ; 115887 (0.020) ; 59660 (0.020) ; 30078 (0.019) ; 
0.0020892361575851662   T=9,K=1:  14181 (0.047) ; 30078 (0.029) ; 59660 (0.025) ; 115887 (0.024) ; 42214 (0.023) ; 56723 (0.022) ; 48479 (0.022) ; 31945 (0.019) ; 73277 (0.018) ; 114413 (0.016) ; 
0.002808853786860617   T=10,K=1:  14181 (0.050) ; 115887 (0.035) ; 42214 (0.031) ; 48479 (0.025) ; 59660 (0.025) ; 62204 (0.024) ; 56723 (0.022) ; 30078 (0.020) ; nlsj61372 (0.019) ; 21920 (0.019) ; 
0.002910857932158328   T=11,K=1:  14181 (0.037) ; 115887 (0.034) ; 59660 (0.033) ; 62204 (0.032) ; 48479 (0.030) ; 42214 (0.028) ; 56723 (0.028) ; 66494 (0.026) ; 21920 (0.025) ; 31945 (0.022) ; 
0.0023314827031427577   T=12,K=1:  59660 (0.050) ; 48479 (0.045) ; 66494 (0.040) ; 115887 (0.040) ; 42214 (0.033) ; 56723 (0.030) ; 14181 (0.029) ; 21920 (0.022) ; 62204 (0.020) ; 31945 (0.020) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  14181 (0.041) ; 48479 (0.040) ; 115887 (0.032) ; 42214 (0.021) ; 59660 (0.019) ; 73277 (0.019) ; 31945 (0.018) ; 62204 (0.018) ; 66494 (0.018) ; 30078 (0.017) ; 

0.0004061391796554229   T=0,K=2:  114684 (0.039) ; 52571 (0.036) ; 11144 (0.035) ; 46425 (0.032) ; 100589 (0.030) ; 26447 (0.030) ; 63724 (0.025) ; 29974 (0.023) ; 22209 (0.021) ; 22425 (0.020) ; 
0.0005424126420438353   T=1,K=2:  46425 (0.047) ; 52571 (0.041) ; 22209 (0.031) ; 11144 (0.029) ; 114684 (0.028) ; 29974 (0.027) ; 63724 (0.023) ; 26447 (0.022) ; 63772 (0.021) ; 100589 (0.020) ; 
0.0004486494021888296   T=2,K=2:  52571 (0.031) ; 22209 (0.030) ; 115887 (0.030) ; 46425 (0.029) ; 11144 (0.026) ; 63724 (0.025) ; 75954 (0.024) ; 76570 (0.023) ; 29974 (0.022) ; 69292 (0.020) ; 
0.0005456404087793958   T=3,K=2:  46425 (0.039) ; 52571 (0.036) ; 115887 (0.033) ; 76570 (0.033) ; 63724 (0.032) ; 75954 (0.025) ; 22209 (0.022) ; 69292 (0.021) ; 11144 (0.020) ; 29974 (0.016) ; 
0.0007422370976110276   T=4,K=2:  46425 (0.047) ; 75954 (0.034) ; 115887 (0.034) ; 22209 (0.027) ; 52571 (0.026) ; 63724 (0.022) ; 76570 (0.020) ; 29974 (0.019) ; 114684 (0.018) ; 69292 (0.015) ; 
0.0006955987840628057   T=5,K=2:  115887 (0.040) ; 75954 (0.031) ; 46425 (0.028) ; 70922 (0.026) ; 63724 (0.023) ; 29974 (0.023) ; 52571 (0.023) ; 22209 (0.019) ; 76570 (0.016) ; 69292 (0.015) ; 
0.000838073004660896   T=6,K=2:  115887 (0.036) ; 52571 (0.028) ; 46425 (0.026) ; 63772 (0.025) ; 22209 (0.022) ; 70922 (0.019) ; 63724 (0.017) ; 29974 (0.017) ; 112070 (0.016) ; 100589 (0.014) ; 
0.0005640330644117097   T=7,K=2:  115887 (0.047) ; 63772 (0.032) ; 52571 (0.031) ; 46425 (0.029) ; 70922 (0.025) ; 63724 (0.021) ; 77613 (0.016) ; 1564 (0.014) ; 100589 (0.013) ; 15047 (0.013) ; 
0.0005543462968715904   T=8,K=2:  115887 (0.037) ; 63772 (0.032) ; 52571 (0.023) ; 77613 (0.021) ; 15047 (0.020) ; 63724 (0.020) ; 70922 (0.018) ; 1564 (0.018) ; 91349 (0.015) ; 46425 (0.015) ; 
0.0005650524854590606   T=9,K=2:  63772 (0.051) ; 52571 (0.027) ; 63724 (0.026) ; 70922 (0.023) ; 25733 (0.022) ; 77613 (0.020) ; 1564 (0.018) ; 15047 (0.018) ; 98982 (0.015) ; 102736 (0.015) ; 
0.0008848542082977673   T=10,K=2:  63772 (0.037) ; 115887 (0.023) ; 52571 (0.022) ; 63724 (0.022) ; 25733 (0.021) ; 77613 (0.021) ; 70922 (0.020) ; 115055 (0.020) ; 1564 (0.019) ; 29974 (0.017) ; 
0.000715332071291897   T=11,K=2:  63772 (0.048) ; 52571 (0.038) ; 115887 (0.031) ; nlsj39496 (0.028) ; 91349 (0.027) ; 70922 (0.022) ; 115055 (0.018) ; 1564 (0.016) ; 24648 (0.016) ; 75954 (0.016) ; 
0.0006250628175459799   T=12,K=2:  63772 (0.058) ; 52571 (0.042) ; 91349 (0.027) ; 115887 (0.025) ; 115055 (0.022) ; 25733 (0.021) ; 22209 (0.020) ; 24648 (0.019) ; nlsj39496 (0.018) ; 75954 (0.016) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  52571 (0.031) ; 115887 (0.029) ; 63772 (0.029) ; 46425 (0.025) ; 63724 (0.021) ; 22209 (0.019) ; 75954 (0.018) ; 70922 (0.018) ; 29974 (0.017) ; 114684 (0.015) ; 

0.00014456092047713823   T=0,K=3:  67014 (0.058) ; 97779 (0.053) ; nlsj4677 (0.040) ; 101739 (0.031) ; 112833 (0.030) ; 74735 (0.030) ; 76490 (0.028) ; 74378 (0.028) ; 8575 (0.022) ; 74126 (0.022) ; 
0.00013234059844130795   T=1,K=3:  67014 (0.056) ; nlsj4677 (0.034) ; 76490 (0.033) ; 112833 (0.033) ; 97779 (0.032) ; 101739 (0.032) ; 74378 (0.031) ; 8575 (0.030) ; 110734 (0.024) ; 4845 (0.023) ; 
0.00013356774148201136   T=2,K=3:  74378 (0.051) ; 67014 (0.045) ; 112833 (0.036) ; 97779 (0.035) ; 76490 (0.031) ; 28139 (0.027) ; 64137 (0.026) ; 4845 (0.025) ; 8575 (0.025) ; 74735 (0.023) ; 
0.00014297826273646752   T=3,K=3:  74378 (0.061) ; 112833 (0.056) ; 64137 (0.039) ; 76490 (0.031) ; 97779 (0.026) ; 74126 (0.025) ; 28139 (0.024) ; 67014 (0.024) ; 110734 (0.023) ; 9014 (0.021) ; 
0.00016734741825033805   T=4,K=3:  74378 (0.064) ; 97779 (0.031) ; 76490 (0.028) ; 112833 (0.027) ; 74126 (0.026) ; 4602 (0.026) ; 64137 (0.025) ; 9014 (0.023) ; 28139 (0.020) ; 74735 (0.020) ; 
0.0001843621019460355   T=5,K=3:  74378 (0.039) ; 112833 (0.035) ; 64137 (0.032) ; 74735 (0.029) ; 67014 (0.027) ; 97779 (0.024) ; 115055 (0.024) ; 110734 (0.022) ; 76490 (0.022) ; 4602 (0.021) ; 
0.00020096002033255067   T=6,K=3:  4845 (0.044) ; 74378 (0.033) ; 76490 (0.031) ; 74126 (0.029) ; 64137 (0.026) ; 4602 (0.025) ; 62383 (0.022) ; 74735 (0.022) ; 45996 (0.021) ; 97779 (0.021) ; 
0.00017919944991238638   T=7,K=3:  110734 (0.047) ; 115055 (0.031) ; 104421 (0.026) ; 74126 (0.026) ; 64137 (0.024) ; 62383 (0.024) ; 74378 (0.021) ; 67014 (0.021) ; 45996 (0.020) ; 76490 (0.020) ; 
0.00015800308146003654   T=8,K=3:  115055 (0.059) ; 110734 (0.038) ; 45996 (0.035) ; 67014 (0.028) ; 104421 (0.027) ; 74378 (0.025) ; 74126 (0.025) ; 28139 (0.022) ; 4845 (0.020) ; 64137 (0.020) ; 
0.00019147359362315487   T=9,K=3:  115055 (0.061) ; 110734 (0.058) ; 45996 (0.056) ; 112833 (0.033) ; 104421 (0.032) ; nlsj107632 (0.024) ; 28139 (0.023) ; 64137 (0.023) ; 4845 (0.022) ; 74126 (0.022) ; 
0.00031332582448163085   T=10,K=3:  110734 (0.057) ; 115055 (0.056) ; 67014 (0.043) ; 104421 (0.034) ; 64137 (0.029) ; 4845 (0.027) ; nlsj107632 (0.024) ; 112833 (0.024) ; 74126 (0.023) ; 45996 (0.021) ; 
0.00036998346250325206   T=11,K=3:  110734 (0.074) ; 67014 (0.046) ; 115055 (0.031) ; 104421 (0.031) ; 64137 (0.029) ; 45996 (0.029) ; 62383 (0.027) ; 74126 (0.024) ; nlsj107632 (0.023) ; 112833 (0.020) ; 
0.0004139060129569014   T=12,K=3:  110734 (0.096) ; 67014 (0.055) ; nlsj107632 (0.028) ; 104421 (0.026) ; 74126 (0.025) ; 45996 (0.024) ; 64137 (0.023) ; 82483 (0.023) ; 62383 (0.022) ; 72627 (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  110734 (0.039) ; 67014 (0.036) ; 74378 (0.031) ; 115055 (0.028) ; 112833 (0.028) ; 64137 (0.026) ; 74126 (0.023) ; 4845 (0.022) ; 76490 (0.022) ; 97779 (0.021) ; 

9.090772489966376e-05   T=0,K=4:  63772 (0.057) ; 25733 (0.048) ; 61270 (0.041) ; 41018 (0.031) ; 70039 (0.031) ; 114404 (0.030) ; 98584 (0.027) ; 64165 (0.024) ; 13096 (0.023) ; 54165 (0.021) ; 
0.0001134082257676782   T=1,K=4:  63772 (0.052) ; 25733 (0.042) ; 114404 (0.033) ; 61270 (0.031) ; 98584 (0.030) ; 66574 (0.028) ; 54165 (0.027) ; 41018 (0.027) ; 64165 (0.025) ; 70039 (0.024) ; 
0.00013761503696739828   T=2,K=4:  63772 (0.042) ; 13096 (0.041) ; 114404 (0.033) ; 61270 (0.032) ; 70039 (0.032) ; 98584 (0.028) ; 64165 (0.028) ; 25733 (0.027) ; 66574 (0.025) ; 26233 (0.018) ; 
0.00020481998584515897   T=3,K=4:  13096 (0.046) ; 61270 (0.043) ; 64165 (0.034) ; 114404 (0.033) ; 70039 (0.032) ; 25733 (0.026) ; 63772 (0.023) ; 66574 (0.020) ; 26233 (0.018) ; 38371 (0.017) ; 
0.00023119234311445213   T=4,K=4:  13096 (0.064) ; 114404 (0.049) ; 64165 (0.044) ; 70039 (0.029) ; 26233 (0.028) ; 61270 (0.026) ; 66574 (0.024) ; 98584 (0.022) ; 12162 (0.019) ; 25733 (0.015) ; 
0.00031204191248788304   T=5,K=4:  13096 (0.083) ; 64165 (0.046) ; 114404 (0.042) ; 70039 (0.033) ; 66574 (0.024) ; 26233 (0.024) ; 98584 (0.023) ; 61270 (0.019) ; 63772 (0.019) ; 25733 (0.018) ; 
0.0004281678409834705   T=6,K=4:  64165 (0.051) ; 13096 (0.045) ; 114404 (0.034) ; 63772 (0.034) ; 70039 (0.030) ; 25733 (0.026) ; 26233 (0.024) ; 66574 (0.018) ; 38371 (0.018) ; 98584 (0.017) ; 
0.0004513368550105887   T=7,K=4:  70039 (0.045) ; 64165 (0.039) ; 13096 (0.035) ; 63772 (0.029) ; 26233 (0.026) ; 114404 (0.024) ; 51148 (0.019) ; 38371 (0.017) ; 66574 (0.017) ; 61270 (0.016) ; 
0.0004094608022695398   T=8,K=4:  70039 (0.038) ; 13096 (0.034) ; 64165 (0.030) ; 63772 (0.029) ; 26233 (0.025) ; 25733 (0.021) ; 51148 (0.019) ; 38371 (0.018) ; 84234 (0.018) ; 11072 (0.016) ; 
0.0004929417986735201   T=9,K=4:  13096 (0.038) ; 70039 (0.030) ; 64165 (0.027) ; 51148 (0.023) ; 114404 (0.023) ; 84234 (0.022) ; 12162 (0.021) ; 25733 (0.021) ; 26233 (0.020) ; 63772 (0.019) ; 
0.0005748490686720062   T=10,K=4:  70039 (0.039) ; 64165 (0.039) ; 13096 (0.037) ; 51148 (0.022) ; 114404 (0.021) ; 25733 (0.021) ; 26233 (0.021) ; 63772 (0.020) ; 12162 (0.016) ; 84905 (0.016) ; 
0.0008937275676455682   T=11,K=4:  64165 (0.043) ; 70039 (0.039) ; 13096 (0.033) ; 51148 (0.023) ; 84234 (0.021) ; 16664 (0.020) ; 114404 (0.019) ; 63772 (0.019) ; 44462 (0.017) ; 12162 (0.017) ; 
0.000588556999238348   T=12,K=4:  13096 (0.052) ; 64165 (0.049) ; 51148 (0.033) ; 70039 (0.028) ; 16664 (0.022) ; 114404 (0.021) ; 12162 (0.020) ; 60535 (0.017) ; 66574 (0.017) ; 62633 (0.016) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  13096 (0.042) ; 64165 (0.037) ; 70039 (0.033) ; 114404 (0.029) ; 63772 (0.028) ; 25733 (0.023) ; 61270 (0.021) ; 26233 (0.019) ; 66574 (0.019) ; 98584 (0.016) ; 

0.0006331539968792753   T=0,K=5:  95384 (0.067) ; 59660 (0.059) ; 3507 (0.057) ; 39192 (0.057) ; 99744 (0.047) ; 57340 (0.045) ; 92323 (0.041) ; 95661 (0.034) ; 40001 (0.032) ; 25160 (0.031) ; 
0.0007127513661037856   T=1,K=5:  59660 (0.062) ; 3507 (0.060) ; 92323 (0.059) ; 95384 (0.054) ; 39192 (0.045) ; 99744 (0.042) ; 57340 (0.039) ; 27219 (0.036) ; 25160 (0.029) ; 40001 (0.026) ; 
0.0007916536144125961   T=2,K=5:  92323 (0.072) ; 99744 (0.053) ; 59660 (0.052) ; 39192 (0.047) ; 95384 (0.040) ; 47913 (0.039) ; 27219 (0.037) ; 102000 (0.037) ; 40001 (0.032) ; 3507 (0.031) ; 
0.0009223838330447222   T=3,K=5:  39192 (0.072) ; 59660 (0.051) ; 92323 (0.050) ; 99744 (0.046) ; 27219 (0.041) ; 95384 (0.039) ; 40001 (0.034) ; 47913 (0.032) ; 102000 (0.031) ; 22720 (0.028) ; 
0.0012630845200716084   T=4,K=5:  39192 (0.066) ; 99744 (0.058) ; 92323 (0.055) ; 59660 (0.043) ; 47913 (0.042) ; 40001 (0.037) ; 95384 (0.034) ; 102000 (0.034) ; 3507 (0.033) ; 22720 (0.029) ; 
0.001132090180446029   T=5,K=5:  92323 (0.074) ; 47913 (0.053) ; 99744 (0.051) ; 39192 (0.044) ; 95384 (0.043) ; 102000 (0.039) ; 27219 (0.032) ; 40001 (0.031) ; 22720 (0.028) ; 95661 (0.026) ; 
0.0011858319145452172   T=6,K=5:  92323 (0.097) ; 99744 (0.044) ; 3507 (0.039) ; 47913 (0.038) ; 47687 (0.038) ; 39192 (0.036) ; 102000 (0.033) ; 95384 (0.033) ; 55595 (0.031) ; 40001 (0.029) ; 
0.0013031748868948042   T=7,K=5:  92323 (0.077) ; 99744 (0.048) ; 95384 (0.044) ; 3507 (0.041) ; 55595 (0.039) ; 47687 (0.037) ; 102000 (0.034) ; 40001 (0.034) ; 39192 (0.033) ; 47913 (0.027) ; 
0.001026992348472232   T=8,K=5:  92323 (0.084) ; 99744 (0.053) ; 95384 (0.050) ; 47687 (0.047) ; 39192 (0.038) ; 59660 (0.035) ; 55595 (0.032) ; 102000 (0.029) ; 3507 (0.025) ; 47913 (0.025) ; 
0.001102604427314471   T=9,K=5:  92323 (0.080) ; 47687 (0.059) ; 39192 (0.056) ; 99744 (0.053) ; 102000 (0.050) ; 95384 (0.048) ; 6330 (0.027) ; 47913 (0.026) ; 59660 (0.025) ; nlsj68228 (0.024) ; 
0.001336769430428066   T=10,K=5:  95384 (0.071) ; 39192 (0.070) ; 47687 (0.067) ; 102000 (0.061) ; 99744 (0.051) ; 92323 (0.037) ; 40983 (0.037) ; 6330 (0.031) ; 59660 (0.024) ; 47913 (0.021) ; 
0.0018465947176303447   T=11,K=5:  47687 (0.079) ; 99744 (0.073) ; 95384 (0.069) ; 39192 (0.059) ; 102000 (0.052) ; 6330 (0.048) ; 92323 (0.037) ; 40983 (0.034) ; 59660 (0.026) ; 49955 (0.022) ; 
0.001885139827688635   T=12,K=5:  95384 (0.093) ; 47687 (0.084) ; 39192 (0.081) ; 102000 (0.073) ; 6330 (0.066) ; 99744 (0.042) ; 49955 (0.032) ; 40983 (0.028) ; 47913 (0.024) ; 15571 (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  92323 (0.060) ; 39192 (0.054) ; 95384 (0.053) ; 99744 (0.051) ; 47687 (0.040) ; 102000 (0.040) ; 59660 (0.036) ; 3507 (0.031) ; 47913 (0.030) ; 40001 (0.025) ; 

0.6086835084381991   T=0,K=6:  36180 (0.140) ; 77837 (0.049) ; 84505 (0.044) ; 52332 (0.041) ; 98234 (0.039) ; 103805 (0.033) ; 77699 (0.031) ; 85306 (0.029) ; 64591 (0.028) ; 4076 (0.025) ; 
0.6035122112621204   T=1,K=6:  36180 (0.117) ; 98234 (0.053) ; 84505 (0.047) ; 77837 (0.044) ; 77699 (0.039) ; 103805 (0.033) ; 85306 (0.029) ; 52332 (0.026) ; 4076 (0.024) ; 61245 (0.023) ; 
0.531996238734632   T=2,K=6:  36180 (0.084) ; 98234 (0.051) ; 84505 (0.044) ; 61245 (0.042) ; 77699 (0.040) ; 103805 (0.038) ; 85306 (0.032) ; 64591 (0.027) ; 77837 (0.026) ; 110598 (0.023) ; 
0.5997796438520335   T=3,K=6:  36180 (0.107) ; 84505 (0.053) ; 98234 (0.040) ; 103805 (0.035) ; 61245 (0.032) ; 77699 (0.030) ; 64591 (0.029) ; 69776 (0.025) ; 85306 (0.024) ; 77837 (0.023) ; 
0.6544499950403889   T=4,K=6:  36180 (0.160) ; 84505 (0.045) ; 77699 (0.035) ; 61245 (0.031) ; 103805 (0.029) ; 69776 (0.028) ; 64591 (0.024) ; 85306 (0.023) ; 4076 (0.022) ; 98234 (0.020) ; 
0.6860160836704081   T=5,K=6:  36180 (0.159) ; 84505 (0.042) ; 77699 (0.031) ; 61245 (0.029) ; 69776 (0.028) ; 98234 (0.024) ; 103805 (0.023) ; 4076 (0.023) ; 77837 (0.023) ; 47030 (0.021) ; 
0.7099181642497513   T=6,K=6:  36180 (0.126) ; 61245 (0.045) ; 77699 (0.042) ; 77837 (0.036) ; 84505 (0.034) ; 69776 (0.029) ; 110598 (0.023) ; nlsj99242 (0.022) ; 47030 (0.022) ; 4076 (0.018) ; 
0.7306292958472222   T=7,K=6:  36180 (0.124) ; 61245 (0.045) ; 77699 (0.045) ; 77837 (0.033) ; 84505 (0.028) ; 85306 (0.025) ; 110598 (0.022) ; 69776 (0.022) ; 98234 (0.018) ; 57347 (0.016) ; 
0.7503919874832581   T=8,K=6:  36180 (0.086) ; 77699 (0.055) ; 61245 (0.052) ; 77837 (0.044) ; 110598 (0.023) ; 84505 (0.021) ; 103805 (0.020) ; 57347 (0.019) ; 69776 (0.019) ; 55215 (0.018) ; 
0.736279586359298   T=9,K=6:  36180 (0.106) ; 61245 (0.067) ; 77699 (0.046) ; 77837 (0.035) ; 69776 (0.029) ; 110598 (0.022) ; 55215 (0.021) ; 103805 (0.020) ; 112703 (0.019) ; 84505 (0.018) ; 
0.7041244977061094   T=10,K=6:  36180 (0.086) ; 61245 (0.069) ; 77837 (0.045) ; 69776 (0.044) ; 77699 (0.037) ; 110598 (0.032) ; 112703 (0.021) ; 103805 (0.019) ; 47735 (0.017) ; 52332 (0.017) ; 
0.6767616395583355   T=11,K=6:  61245 (0.102) ; 36180 (0.051) ; 77837 (0.048) ; 69776 (0.032) ; 77699 (0.032) ; 64591 (0.025) ; 55215 (0.022) ; 110598 (0.022) ; 85306 (0.020) ; 112703 (0.019) ; 
0.7216036278735333   T=12,K=6:  61245 (0.079) ; 77837 (0.064) ; 69776 (0.058) ; 77699 (0.043) ; 64591 (0.039) ; 36180 (0.032) ; 112703 (0.023) ; 57347 (0.021) ; 90385 (0.018) ; 80011 (0.017) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  36180 (0.106) ; 61245 (0.048) ; 77699 (0.039) ; 77837 (0.038) ; 84505 (0.031) ; 69776 (0.028) ; 98234 (0.026) ; 103805 (0.023) ; 64591 (0.022) ; 85306 (0.021) ; 

0.0010142730529936347   T=0,K=7:  98414 (0.088) ; 61245 (0.071) ; 76029 (0.068) ; 44964 (0.068) ; 41024 (0.062) ; 48051 (0.045) ; 35611 (0.040) ; 92329 (0.027) ; 88464 (0.021) ; 84245 (0.018) ; 
0.0011544215575591415   T=1,K=7:  41024 (0.087) ; 76029 (0.081) ; 98414 (0.081) ; 44964 (0.075) ; 61245 (0.069) ; 92329 (0.037) ; 48051 (0.035) ; 35611 (0.025) ; 4845 (0.018) ; 17381 (0.016) ; 
0.0015264725707110473   T=2,K=7:  41024 (0.078) ; 98414 (0.075) ; 44964 (0.068) ; 61245 (0.066) ; 76029 (0.052) ; 48051 (0.040) ; 92329 (0.030) ; 35611 (0.026) ; 113469 (0.021) ; 88464 (0.020) ; 
0.0021107849758937986   T=3,K=7:  41024 (0.102) ; 44964 (0.061) ; 61245 (0.054) ; 98414 (0.046) ; 76029 (0.043) ; 48051 (0.039) ; 88464 (0.027) ; 17381 (0.021) ; 35611 (0.021) ; 113469 (0.021) ; 
0.002385074953909333   T=4,K=7:  41024 (0.130) ; 44964 (0.046) ; 61245 (0.046) ; 48051 (0.043) ; 76029 (0.036) ; 113469 (0.027) ; 92329 (0.026) ; 114615 (0.023) ; 84245 (0.021) ; 98414 (0.021) ; 
