1265 documents , 1 concepts , 3956 context features (23726) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.1547021957812151   T=0,K=0:  52332 (0.009) ; nlsj561 (0.008) ; nlsj8802 (0.005) ; 51241 (0.005) ; 61177 (0.004) ; nlsj76696 (0.003) ; 103701 (0.003) ; 2244 (0.003) ; 51424 (0.003) ; 112559 (0.002) ; 
0.1261530079008508   T=2,K=1:  45996 (0.013) ; 62204 (0.011) ; 22209 (0.007) ; 23726 (0.005) ; 114624 (0.005) ; 33956 (0.005) ; 59227 (0.004) ; 22502 (0.004) ; 79223 (0.004) ; 26886 (0.003) ; 
0.1274376669015755   T=3,K=1:  62204 (0.034) ; 45996 (0.016) ; 22502 (0.012) ; 22209 (0.012) ; 33956 (0.010) ; 79983 (0.010) ; 79223 (0.009) ; 23726 (0.007) ; 98925 (0.006) ;  (0.005) ; 
0.08354322529866756   T=4,K=1:  22209 (0.041) ; 79983 (0.026) ; 86219 (0.018) ;  (0.014) ; 45996 (0.014) ; 20885 (0.006) ; 62204 (0.006) ; 26886 (0.005) ; 8665 (0.005) ; 114624 (0.005) ; 
0.1842954098132268   T=5,K=1:   (0.033) ; 79983 (0.027) ; 22209 (0.016) ; 86219 (0.011) ; 45996 (0.010) ; 110114 (0.006) ; 8665 (0.006) ; 27847 (0.005) ; 63772 (0.004) ; 26886 (0.004) ; 
0.10086617278180096   T=6,K=1:   (0.034) ; 79983 (0.025) ; 22209 (0.020) ; 11583 (0.014) ; 110114 (0.011) ; 86219 (0.010) ; 63772 (0.009) ; 45996 (0.008) ; 27847 (0.008) ; 43977 (0.006) ; 
0.06228752165530291   T=7,K=1:   (0.034) ; 11583 (0.019) ; 79983 (0.018) ; 22209 (0.018) ; 27847 (0.017) ; 57457 (0.011) ; 63772 (0.010) ; 85306 (0.010) ; 110114 (0.010) ; 86219 (0.008) ; 
0.07541718850632646   T=8,K=1:   (0.056) ; 79983 (0.031) ; 86112 (0.027) ; 85306 (0.020) ; 27847 (0.014) ; 8665 (0.012) ; 84234 (0.011) ; 22209 (0.011) ; 8909 (0.010) ; 20598 (0.007) ; 
0.10125905777468247   T=9,K=1:  79983 (0.021) ;  (0.016) ; 86112 (0.012) ; 8909 (0.011) ; 84234 (0.009) ; 85306 (0.009) ; 42214 (0.008) ; 8665 (0.008) ; 22209 (0.007) ; 4602 (0.007) ; 
0.123493707121288   T=10,K=1:  42214 (0.018) ; 8909 (0.013) ;  (0.012) ; 86112 (0.009) ; 79983 (0.006) ; 46804 (0.005) ; 72610 (0.005) ; 85306 (0.005) ; 84234 (0.005) ; 76028 (0.005) ; 
0.16686602841326842   T=11,K=1:   (0.008) ; 42214 (0.008) ; 46804 (0.007) ; 8909 (0.006) ; 76028 (0.006) ; 18107 (0.005) ; 84434 (0.005) ; 86112 (0.005) ; 52030 (0.004) ; 47876 (0.004) ; 
0.05044481894261593   T=12,K=1:  42214 (0.011) ; 18107 (0.009) ;  (0.008) ; 76028 (0.008) ; 46804 (0.006) ; 29883 (0.006) ; 72627 (0.005) ; 86112 (0.005) ; 84434 (0.004) ; 52030 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.017) ; 79983 (0.013) ; 22209 (0.011) ; 45996 (0.007) ; 62204 (0.005) ; 86112 (0.005) ; 27847 (0.005) ; 8665 (0.005) ; 85306 (0.005) ; 42214 (0.005) ; 

0.015485405829695327   T=0,K=2:  79983 (0.002) ; 112332 (0.002) ; 43309 (0.001) ; 99097 (0.001) ; 111544 (0.001) ; 1899 (0.001) ; 54345 (0.001) ; 46804 (0.001) ; 39718 (0.001) ; 21226 (0.001) ; 
0.014142692825991371   T=1,K=2:  79983 (0.002) ; 21226 (0.002) ; 46804 (0.002) ; 55483 (0.002) ; 43309 (0.002) ; nlsj40132 (0.002) ; 75538 (0.002) ; 1899 (0.002) ; 20621 (0.001) ; 114553 (0.001) ; 
0.023544441174069876   T=2,K=2:  79983 (0.004) ; 43309 (0.003) ; 20621 (0.003) ; 45996 (0.003) ; 46804 (0.003) ; 1899 (0.002) ; 84494 (0.002) ; nlsj40132 (0.002) ; 75538 (0.002) ; 21226 (0.002) ; 
0.05052339113829165   T=3,K=2:  84494 (0.011) ; 45996 (0.007) ;  (0.006) ; 20621 (0.006) ; 46804 (0.005) ; 43309 (0.004) ; 22209 (0.004) ; 43206 (0.004) ; 79983 (0.003) ; 33819 (0.003) ; 
0.07010402710779425   T=4,K=2:  45996 (0.031) ; 84494 (0.030) ; 22209 (0.022) ;  (0.021) ; 46613 (0.009) ; 43206 (0.006) ; 20621 (0.005) ; 79983 (0.004) ; nlsj40132 (0.003) ; 43309 (0.003) ; 
0.041121877096208896   T=5,K=2:  84494 (0.030) ; 22209 (0.022) ; 45996 (0.015) ; 62204 (0.008) ;  (0.008) ; 43206 (0.008) ; 20621 (0.007) ; 110639 (0.005) ; 63772 (0.005) ; 79983 (0.005) ; 
0.047115601936105186   T=6,K=2:  84494 (0.038) ; 45996 (0.022) ; 22209 (0.021) ; 27847 (0.012) ; 62204 (0.011) ;  (0.011) ; 85306 (0.010) ; 63772 (0.009) ; 79983 (0.009) ; 8665 (0.008) ; 
0.11146049265890491   T=7,K=2:  84494 (0.028) ; 45996 (0.024) ; 27847 (0.019) ; 8665 (0.018) ; 63772 (0.018) ; 79983 (0.014) ; 22209 (0.013) ;  (0.012) ; 85306 (0.010) ; 114548 (0.010) ; 
0.11801675374249435   T=8,K=2:   (0.033) ; 27847 (0.032) ; 65552 (0.032) ; 45996 (0.030) ; 62204 (0.021) ; 8665 (0.020) ; 22209 (0.019) ; 86112 (0.018) ; 68641 (0.012) ; 84494 (0.010) ; 
0.11693399754859488   T=9,K=2:   (0.032) ; 22209 (0.018) ; 62204 (0.014) ; 47735 (0.011) ; 45996 (0.011) ; 65552 (0.009) ; 110407 (0.009) ; 27847 (0.008) ; 8665 (0.008) ; 37210 (0.007) ; 
0.09426413573017921   T=10,K=2:  47735 (0.020) ;  (0.008) ; 62204 (0.006) ; 37210 (0.006) ; 115887 (0.005) ; 66173 (0.005) ; 85306 (0.005) ; 22209 (0.005) ; 27847 (0.004) ; 45996 (0.004) ; 
0.05637722778883574   T=11,K=2:  47735 (0.021) ; 37210 (0.006) ; 115887 (0.006) ; 85306 (0.005) ;  (0.005) ; 57457 (0.004) ; 85665 (0.004) ; 23726 (0.004) ; 66173 (0.004) ; 116416 (0.004) ; 
0.0734901842514631   T=12,K=2:  47735 (0.037) ; 37210 (0.010) ; 115887 (0.006) ; 84064 (0.005) ; 23726 (0.005) ; 116416 (0.005) ;  (0.005) ; 104421 (0.004) ; 22209 (0.004) ; 85306 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  84494 (0.012) ; 45996 (0.012) ;  (0.011) ; 22209 (0.010) ; 47735 (0.007) ; 27847 (0.007) ; 62204 (0.006) ; 65552 (0.005) ; 8665 (0.005) ; 85306 (0.004) ; 

0.10439204540371616   T=0,K=3:  48291 (0.018) ;  (0.016) ; 116293 (0.013) ; 62816 (0.008) ; 85696 (0.007) ; 21053 (0.006) ; 75306 (0.006) ; 109918 (0.006) ; 21056 (0.005) ; 14751 (0.005) ; 
0.14228029088445673   T=1,K=3:   (0.009) ; 85696 (0.007) ; 23726 (0.007) ; 116293 (0.007) ; 74735 (0.005) ; 21056 (0.004) ; 48291 (0.004) ; 88971 (0.004) ; 27847 (0.004) ; 21053 (0.003) ; 
0.16599195276942574   T=2,K=3:  23726 (0.012) ; 74735 (0.007) ; 8909 (0.006) ; 85696 (0.006) ;  (0.005) ; 65552 (0.005) ; 27847 (0.005) ; 22209 (0.004) ; 85306 (0.004) ; 16051 (0.004) ; 
0.10054224958996137   T=3,K=3:  23726 (0.023) ; 85306 (0.014) ; 22209 (0.010) ; 8909 (0.009) ; 98234 (0.006) ; 45996 (0.006) ; 1379 (0.006) ; 65552 (0.005) ; 27847 (0.005) ; 85696 (0.004) ; 
0.10972180983734646   T=4,K=3:  22209 (0.040) ; 98234 (0.014) ; 1379 (0.010) ; 23726 (0.007) ; 85306 (0.006) ; 45996 (0.006) ; 27847 (0.005) ; 65552 (0.004) ; 8909 (0.004) ; 16051 (0.004) ; 
0.07630845114509312   T=5,K=3:  22209 (0.018) ; 98234 (0.008) ; 26886 (0.007) ; 23726 (0.007) ; 85306 (0.006) ; 65552 (0.006) ; 8909 (0.005) ; 63772 (0.005) ; 1379 (0.005) ; 27847 (0.005) ; 
0.10344951511688574   T=6,K=3:  22209 (0.022) ; 85306 (0.011) ; 65552 (0.009) ; 90504 (0.009) ; 26886 (0.009) ; 84494 (0.009) ; 42214 (0.008) ; 62204 (0.007) ; 63772 (0.007) ; 110639 (0.007) ; 
0.06889298875642755   T=7,K=3:  84494 (0.025) ; 114553 (0.017) ; 42214 (0.016) ; 62204 (0.012) ; 65552 (0.011) ; 22209 (0.011) ; 85306 (0.011) ; 45996 (0.011) ; 110639 (0.010) ; 63772 (0.007) ; 
0.09543741874888322   T=8,K=3:  45996 (0.042) ; 42214 (0.033) ; 84494 (0.018) ; 79223 (0.017) ; 65552 (0.015) ; 47876 (0.013) ; 85306 (0.012) ; 11583 (0.010) ; 62204 (0.009) ; 84234 (0.007) ; 
0.04579254459293106   T=9,K=3:  65552 (0.047) ; 45996 (0.019) ; 42214 (0.018) ; 47876 (0.012) ; 11583 (0.012) ; 62204 (0.011) ; 31161 (0.010) ; 84234 (0.009) ; 85306 (0.008) ; 90166 (0.008) ; 
0.061108748908761806   T=10,K=3:  65552 (0.017) ;  (0.016) ; 11583 (0.009) ; 62204 (0.009) ; 114548 (0.007) ; 84234 (0.007) ; 48291 (0.006) ; 42214 (0.006) ; 116416 (0.005) ; 47876 (0.005) ; 
0.1302493948050487   T=11,K=3:  65552 (0.011) ; 114548 (0.008) ; 11583 (0.006) ;  (0.006) ; 62204 (0.006) ; 84234 (0.004) ; 116416 (0.004) ; 28360 (0.004) ; 42214 (0.004) ; 48291 (0.004) ; 
0.19824368601326142   T=12,K=3:  11583 (0.009) ; 65552 (0.009) ; 114548 (0.006) ; 84234 (0.006) ;  (0.006) ; 116416 (0.005) ; 62204 (0.004) ; 90504 (0.004) ; 48291 (0.004) ; 42214 (0.003) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  65552 (0.011) ; 22209 (0.009) ; 45996 (0.008) ; 42214 (0.007) ;  (0.006) ; 85306 (0.006) ; 23726 (0.006) ; 84494 (0.005) ; 62204 (0.005) ; 11583 (0.004) ; 

0.05827669685168287   T=0,K=4:  2032 (0.002) ; 66288 (0.001) ; 101595 (0.001) ; nlsj36741 (0.001) ; 32976 (0.001) ; nlsj56179 (0.001) ; 62816 (0.001) ; nlsj112815 (0.001) ; 66494 (0.001) ; 60574 (0.001) ; 
0.052974397620189045   T=1,K=4:  101595 (0.002) ; 72627 (0.002) ; 86112 (0.002) ; 52332 (0.001) ; 85306 (0.001) ; 57457 (0.001) ; nlsj9629 (0.001) ; 79526 (0.001) ; nlsj11198 (0.001) ; 22209 (0.001) ; 
0.05852710964993573   T=2,K=4:  72627 (0.004) ; 57457 (0.004) ; 22209 (0.004) ; 85306 (0.003) ; nlsj11198 (0.002) ; 26447 (0.002) ; 101595 (0.002) ; 58429 (0.002) ; 79526 (0.002) ; 93963 (0.002) ; 
0.06587241640891135   T=3,K=4:  22209 (0.008) ; 26447 (0.008) ; 85306 (0.008) ; 72627 (0.007) ; 57457 (0.005) ; 84234 (0.004) ; 79526 (0.004) ; 68641 (0.004) ; 46613 (0.004) ; 100597 (0.003) ; 
0.12815094130080354   T=4,K=4:  84234 (0.027) ; 26447 (0.015) ; 85306 (0.010) ; 22209 (0.007) ; 72627 (0.006) ; 68641 (0.006) ; 46613 (0.005) ; 79526 (0.004) ; 70958 (0.004) ; 47964 (0.004) ; 
0.07423269194954038   T=5,K=4:  84234 (0.026) ; 85306 (0.012) ; 68641 (0.010) ; 26447 (0.009) ; 45996 (0.006) ; 22209 (0.004) ; 62204 (0.004) ; 46613 (0.004) ; 86112 (0.004) ; 79983 (0.004) ; 
0.07925672119678384   T=6,K=4:  85306 (0.027) ; 62204 (0.011) ; 84234 (0.010) ; 45996 (0.010) ; 68641 (0.009) ; 22209 (0.007) ; 79983 (0.007) ; 86112 (0.006) ; 86219 (0.005) ; 102117 (0.005) ; 
0.09244814718866888   T=7,K=4:  85306 (0.036) ; 110639 (0.019) ; 62204 (0.017) ; 79983 (0.015) ; 45996 (0.012) ; 22209 (0.010) ; 86219 (0.008) ; 8665 (0.007) ; 68641 (0.006) ; 84234 (0.006) ; 
0.1138504020077703   T=8,K=4:  45996 (0.048) ; 79983 (0.033) ; 85306 (0.022) ; 22209 (0.022) ;  (0.018) ; 63772 (0.017) ; 65552 (0.011) ; 23726 (0.009) ; 8665 (0.009) ; 114753 (0.009) ; 
0.10513347341122449   T=9,K=4:  22209 (0.023) ; 65552 (0.020) ; 23726 (0.018) ;  (0.016) ; 79983 (0.015) ; 85306 (0.014) ; 45996 (0.012) ; 114753 (0.009) ; 48291 (0.009) ; 102096 (0.007) ; 
0.11564336787252409   T=10,K=4:  23726 (0.032) ; 65552 (0.029) ; 22209 (0.017) ; 85306 (0.012) ;  (0.006) ; 8665 (0.005) ; 48291 (0.005) ; 79983 (0.005) ; 114753 (0.005) ; 102096 (0.005) ; 
0.06372408093941243   T=11,K=4:  23726 (0.029) ; 22209 (0.013) ; 65552 (0.007) ; 85306 (0.007) ; 84434 (0.005) ; 8665 (0.005) ; nlsj107632 (0.005) ; 24292 (0.004) ;  (0.004) ; 114753 (0.004) ; 
0.05923562486157395   T=12,K=4:  23726 (0.033) ; 65552 (0.009) ; 22209 (0.008) ; 85306 (0.008) ; nlsj107632 (0.007) ; 84434 (0.006) ; 8665 (0.005) ; 86112 (0.004) ; 33539 (0.004) ; 112472 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  85306 (0.012) ; 23726 (0.011) ; 22209 (0.010) ; 45996 (0.008) ; 79983 (0.007) ; 65552 (0.006) ; 84234 (0.006) ;  (0.005) ; 68641 (0.004) ; 62204 (0.004) ; 

0.04999117383543884   T=0,K=5:  79983 (0.005) ; 2754 (0.003) ; 114362 (0.002) ; 37720 (0.002) ; 19546 (0.002) ; 61791 (0.002) ; nlsj67620 (0.001) ; 33539 (0.001) ; nlsj53326 (0.001) ; 1989 (0.001) ; 
0.043419353021841856   T=1,K=5:  79983 (0.006) ; 84234 (0.003) ; 2754 (0.003) ; 19546 (0.002) ; 61791 (0.002) ; 114548 (0.002) ; 33539 (0.002) ; nlsj53326 (0.002) ; 75898 (0.001) ; 102847 (0.001) ; 
0.017220144827097234   T=2,K=5:  79983 (0.011) ; 84234 (0.007) ; 55910 (0.005) ; 86305 (0.004) ; 2754 (0.003) ; 61791 (0.003) ; 114548 (0.003) ; 70958 (0.002) ; 14181 (0.002) ; 37097 (0.002) ; 
0.056528965366414205   T=3,K=5:  84234 (0.012) ; 79983 (0.007) ; 55910 (0.007) ; 14181 (0.006) ; 8665 (0.003) ; 86305 (0.003) ; 102676 (0.003) ; 70958 (0.003) ; 61791 (0.003) ; nlsj6372 (0.002) ; 
0.10781731860546509   T=4,K=5:  102676 (0.013) ; 8665 (0.008) ; 84234 (0.008) ; 79983 (0.007) ; 104421 (0.004) ; 55910 (0.003) ; 28360 (0.003) ; 70364 (0.003) ; 73277 (0.003) ; 80327 (0.003) ; 
0.1249752623149481   T=5,K=5:  8665 (0.025) ; 102676 (0.008) ; 84234 (0.006) ; 79983 (0.006) ; 62383 (0.005) ; 68641 (0.004) ; 45996 (0.004) ; 28360 (0.004) ; 85306 (0.004) ; 38547 (0.003) ; 
0.08549949619167106   T=6,K=5:  8665 (0.018) ; 79983 (0.013) ; 84234 (0.012) ; 45996 (0.012) ; 22209 (0.010) ; 102676 (0.009) ; 68641 (0.008) ; 1093 (0.007) ; 85306 (0.006) ; 86112 (0.005) ; 
0.07993417490281206   T=7,K=5:  85306 (0.024) ; 45996 (0.017) ; nlsj32167 (0.016) ; 22209 (0.015) ; 86112 (0.013) ; 108780 (0.012) ; 1093 (0.011) ; 79983 (0.011) ; 76530 (0.010) ;  (0.008) ; 
0.10173875066311314   T=8,K=5:  85306 (0.058) ; 45996 (0.027) ; 22209 (0.019) ; 79983 (0.015) ; 20195 (0.012) ; nlsj32167 (0.012) ; 111889 (0.011) ; 46646 (0.010) ; 62204 (0.010) ; 31161 (0.008) ; 
0.11943812670064494   T=9,K=5:  85306 (0.035) ; 22209 (0.024) ; 45996 (0.020) ; 65552 (0.020) ;  (0.014) ; 79983 (0.014) ; 46613 (0.012) ; 110639 (0.008) ; nlsj56179 (0.007) ; 20195 (0.007) ; 
0.09191442890236294   T=10,K=5:  22209 (0.020) ; 72627 (0.016) ;  (0.016) ; 45996 (0.013) ; 85306 (0.010) ; 79983 (0.006) ; 110598 (0.006) ; 110639 (0.006) ; 46613 (0.005) ; 65552 (0.005) ; 
0.09263295542379178   T=11,K=5:  45996 (0.020) ;  (0.018) ; 72627 (0.016) ; 22209 (0.010) ; 84494 (0.006) ; 85306 (0.006) ; 39489 (0.005) ; 110639 (0.005) ; 79828 (0.005) ; 112989 (0.005) ; 
0.07148676789297292   T=12,K=5:   (0.019) ; 45996 (0.011) ; 110598 (0.010) ; 72627 (0.009) ; 25120 (0.006) ; 112989 (0.006) ; 22209 (0.006) ; 84494 (0.006) ; 39489 (0.005) ; 4845 (0.005) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  85306 (0.012) ; 45996 (0.010) ; 22209 (0.008) ; 79983 (0.008) ;  (0.007) ; 8665 (0.005) ; 84234 (0.005) ; 72627 (0.004) ; 110598 (0.004) ; 110639 (0.003) ; 

0.011797810128372378   T=0,K=6:  27847 (0.002) ; 114548 (0.002) ; 20621 (0.002) ; 19719 (0.002) ; 260 (0.002) ; 74189 (0.002) ; 85306 (0.001) ; 42177 (0.001) ; 63772 (0.001) ; 72099 (0.001) ; 
0.019711741876378613   T=1,K=6:  27847 (0.005) ; 85306 (0.003) ; 260 (0.003) ; 114548 (0.003) ; 43206 (0.002) ; 46613 (0.002) ; 85760 (0.002) ; 42177 (0.002) ; 63772 (0.002) ; 28569 (0.002) ; 
0.033181843760467226   T=2,K=6:  84234 (0.008) ; 42827 (0.006) ; 46613 (0.005) ; 86219 (0.005) ; 43206 (0.004) ; 114548 (0.004) ; 20621 (0.004) ; 85306 (0.004) ; 42177 (0.004) ; 27847 (0.004) ; 
0.11822532439721517   T=3,K=6:  84234 (0.038) ; 76703 (0.011) ; 42827 (0.011) ; 19346 (0.009) ; 46613 (0.008) ; 79983 (0.008) ; 86219 (0.007) ; nlsj56179 (0.006) ; 33819 (0.005) ; 61791 (0.005) ; 
0.09885334118192807   T=4,K=6:  84234 (0.092) ; 61791 (0.016) ; 35541 (0.014) ; 19346 (0.007) ; 79983 (0.007) ; 86219 (0.006) ; 76703 (0.006) ; 42827 (0.005) ; 46613 (0.004) ; 27847 (0.004) ; 
0.12357011558206142   T=5,K=6:  84234 (0.051) ; 61791 (0.015) ; 27847 (0.011) ; 79983 (0.009) ; 86219 (0.007) ; 33819 (0.006) ; 90504 (0.006) ;  (0.006) ; 20621 (0.005) ; 85306 (0.005) ; 
0.20914096576754715   T=6,K=6:  84234 (0.045) ; 79983 (0.011) ; 85306 (0.011) ; 61791 (0.010) ; 33819 (0.009) ; 22209 (0.008) ; 27847 (0.007) ; 90504 (0.007) ; 76512 (0.007) ;  (0.007) ; 
0.18890292998517438   T=7,K=6:  79983 (0.041) ; 84234 (0.030) ;  (0.016) ; 76512 (0.015) ; 84494 (0.015) ; 33819 (0.013) ; 61791 (0.012) ; 22209 (0.012) ; 85306 (0.011) ; nlsj61372 (0.010) ; 
0.11737624919382723   T=8,K=6:   (0.039) ; 84494 (0.033) ; 22209 (0.026) ; 61791 (0.016) ; 74767 (0.013) ; 79983 (0.012) ; 84234 (0.010) ; 68641 (0.010) ; 43206 (0.009) ; 31161 (0.008) ; 
0.08000564353524305   T=9,K=6:  84494 (0.028) ;  (0.024) ; 22209 (0.023) ; 76703 (0.011) ; 63772 (0.009) ; 45996 (0.008) ; 86219 (0.008) ; 74767 (0.008) ; 85306 (0.007) ; 84234 (0.006) ; 
0.07473803766241202   T=10,K=6:  22209 (0.021) ; 84494 (0.013) ; 76703 (0.013) ; 63772 (0.010) ; 90166 (0.007) ;  (0.007) ; 85306 (0.006) ; 84234 (0.006) ; 86219 (0.006) ; 45996 (0.006) ; 
0.13147908997493646   T=11,K=6:  84494 (0.016) ; 22209 (0.012) ; 63772 (0.009) ; 45996 (0.007) ; nlsj71743 (0.006) ; 84234 (0.006) ; 76703 (0.005) ; 90166 (0.005) ;  (0.005) ; 85306 (0.004) ; 
0.06624399300936953   T=12,K=6:  84494 (0.014) ; 84234 (0.010) ; 22209 (0.010) ; nlsj71743 (0.007) ;  (0.007) ; 63772 (0.006) ; 45996 (0.006) ; 76703 (0.005) ; 85306 (0.004) ; 43206 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  84234 (0.023) ; 22209 (0.010) ; 84494 (0.010) ;  (0.009) ; 79983 (0.008) ; 61791 (0.007) ; 85306 (0.005) ; 76703 (0.005) ; 86219 (0.005) ; 43206 (0.004) ; 

0.19055278285840616   T=0,K=7:  nlsj39496 (0.021) ; nlsj57083 (0.019) ;  (0.018) ; 21401 (0.012) ; 80347 (0.011) ; 45996 (0.009) ; 21730 (0.007) ; 113963 (0.006) ; 76157 (0.004) ; 107742 (0.004) ; 
0.1278137715596248   T=1,K=7:  nlsj39496 (0.019) ;  (0.013) ; nlsj57083 (0.008) ; 80347 (0.006) ; 45996 (0.006) ; 21401 (0.005) ; 21730 (0.005) ; 113963 (0.004) ; 76157 (0.003) ; 46195 (0.003) ; 
0.06571850424886111   T=2,K=7:  nlsj39496 (0.012) ; 76703 (0.006) ;  (0.006) ; 62204 (0.004) ; 39482 (0.004) ; 45996 (0.004) ; nlsj57083 (0.004) ; 46195 (0.003) ; 2024 (0.003) ; 24292 (0.003) ; 
0.04793787632689896   T=3,K=7:  76703 (0.025) ; 39482 (0.012) ; 62204 (0.007) ; 86219 (0.007) ; 79983 (0.005) ; 45996 (0.005) ; 24292 (0.004) ; nlsj39496 (0.003) ; 27980 (0.003) ; 2024 (0.003) ; 
0.07745754159359583   T=4,K=7:  79983 (0.018) ; 76703 (0.007) ; 84234 (0.007) ; 86219 (0.005) ; 39482 (0.005) ; 24292 (0.005) ; 66173 (0.004) ; 19871 (0.004) ; 45996 (0.003) ; 62204 (0.003) ; 
0.09603592410261316   T=5,K=7:  24292 (0.012) ; 84234 (0.008) ; 86219 (0.006) ; 79983 (0.006) ; 66173 (0.005) ; 11072 (0.005) ;  (0.005) ; 62204 (0.004) ; 84422 (0.004) ; 8665 (0.004) ; 
0.09017884992143327   T=6,K=7:  24292 (0.015) ; 79983 (0.011) ; 66173 (0.011) ; 84234 (0.010) ; 8665 (0.009) ; 84422 (0.009) ; 62204 (0.006) ;  (0.005) ; 84494 (0.005) ; 11072 (0.005) ; 
