42 documents , 1 concepts , 257 context features (14967) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 5, max_docs_per_slice 2000, start -335, end 200, times 27, dT 20, I 100


map[]

===============  per type  ===============
0.37765597685000024   T=0,K=0:  260 (0.059) ; 72627 (0.034) ; nlsj9034 (0.034) ; 100990 (0.029) ; 70413 (0.026) ; 11583 (0.021) ; 14967 (0.019) ; 79013 (0.019) ; 46568 (0.018) ; unknown (0.018) ; 
0.48097621782597433   T=19,K=2:  65552 (0.051) ; 65469 (0.043) ; 24103 (0.030) ; 103701 (0.021) ; 67250 (0.020) ; 4962 (0.019) ; 102930 (0.019) ; 84434 (0.018) ; nlsj4709 (0.017) ; 90504 (0.013) ; 
0.3766829001178664   T=20,K=2:  24103 (0.046) ; 65552 (0.034) ; 4962 (0.031) ; 102930 (0.029) ; 65469 (0.024) ; 102841 (0.021) ; 45996 (0.017) ; 63772 (0.015) ; 72627 (0.015) ; 84434 (0.015) ; 
0.40996019724970756   T=21,K=2:  102930 (0.037) ; 4962 (0.036) ; 65552 (0.027) ; 24103 (0.023) ; 65469 (0.020) ; 84434 (0.020) ; 28566 (0.018) ; unknown (0.016) ; 102841 (0.015) ; 3261 (0.015) ; 
0.2818735037842224   T=22,K=2:  4962 (0.042) ; 24103 (0.026) ; 26602 (0.022) ; 28566 (0.021) ; 65552 (0.020) ; unknown (0.018) ; 102930 (0.018) ; 63772 (0.018) ; 65469 (0.018) ; 8431 (0.015) ; 
0.24735713242983315   T=23,K=2:  26602 (0.047) ; 4962 (0.038) ; 65552 (0.031) ; 24103 (0.026) ; 28566 (0.023) ; 8431 (0.016) ; unknown (0.016) ; 45996 (0.015) ; 31706 (0.015) ; 104698 (0.014) ; 
0.3182421118647279   T=24,K=2:  26602 (0.075) ; 4962 (0.047) ; 65552 (0.026) ; 28566 (0.023) ; 24103 (0.022) ; 45996 (0.020) ; 34694 (0.020) ; 104698 (0.018) ; 28569 (0.016) ; 22824 (0.015) ; 
0.09867570224167324   T=25,K=2:  26602 (0.082) ; 4962 (0.041) ; 45996 (0.029) ; 28566 (0.021) ; 24103 (0.021) ; 65552 (0.021) ; 28569 (0.020) ; 34694 (0.018) ; 104698 (0.017) ; unknown (0.014) ; 
0.1350164891013611   T=26,K=2:  26602 (0.073) ; 45996 (0.048) ; 28569 (0.042) ; 4962 (0.037) ; 34694 (0.020) ; 67250 (0.020) ; 63772 (0.020) ; nlsj7279 (0.020) ; 65552 (0.019) ; 28566 (0.017) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  4962 (0.028) ; 7915 (0.027) ; 24103 (0.025) ; 65469 (0.022) ; 65552 (0.021) ; 63772 (0.021) ; 26602 (0.014) ; 86122 (0.014) ; 45996 (0.013) ; 72627 (0.012) ; 

0.039913260382605356   T=0,K=3:  3591 (0.040) ; 25160 (0.037) ; 37212 (0.035) ; 65552 (0.033) ; 105344 (0.024) ; 109902 (0.022) ; 90504 (0.022) ; 100524 (0.020) ; 28002 (0.020) ; 71542 (0.018) ; 
0.04708723763335955   T=1,K=3:  37212 (0.048) ; 109902 (0.031) ; 3591 (0.030) ; 25160 (0.030) ; 65552 (0.026) ; 105344 (0.026) ; 90504 (0.024) ; 72627 (0.022) ; 79955 (0.022) ; 100524 (0.021) ; 
0.02595968161301771   T=2,K=3:  37212 (0.033) ; 72627 (0.031) ; 25160 (0.030) ; 100524 (0.026) ; 79955 (0.023) ; 105344 (0.022) ; 65552 (0.020) ; 28002 (0.018) ; 109902 (0.016) ; 23445 (0.016) ; 
0.019133325070823083   T=3,K=3:  100524 (0.033) ; 37212 (0.033) ; 25160 (0.023) ; 65552 (0.022) ; 72627 (0.021) ; 79955 (0.020) ; 109902 (0.020) ; 105344 (0.019) ; 101714 (0.019) ; 28002 (0.018) ; 
0.02299797414676436   T=4,K=3:  37212 (0.037) ; 105344 (0.027) ; 100524 (0.023) ; 79955 (0.023) ; 25160 (0.020) ; 56090 (0.019) ; 34694 (0.017) ; 109902 (0.016) ; 101714 (0.016) ; 110114 (0.014) ; 
0.021475297249516745   T=5,K=3:  37212 (0.056) ; 105344 (0.032) ; 79955 (0.024) ; 100524 (0.024) ; 44667 (0.019) ; 25160 (0.018) ; 56090 (0.017) ; 34694 (0.016) ; 109902 (0.016) ; 72627 (0.014) ; 
0.028933880427678728   T=6,K=3:  37212 (0.046) ; 100524 (0.032) ; 109902 (0.026) ; 105344 (0.026) ; 44667 (0.025) ; 79955 (0.019) ; 25160 (0.018) ; 56090 (0.017) ; 101714 (0.017) ; 34694 (0.014) ; 
0.03948883870379463   T=7,K=3:  37212 (0.067) ; 105344 (0.033) ; 109902 (0.024) ; 25160 (0.022) ; 100524 (0.021) ; 79955 (0.020) ; 75759 (0.015) ; 109918 (0.014) ; 101714 (0.014) ; 44667 (0.014) ; 
0.07103706347145675   T=8,K=3:  37212 (0.058) ; 105344 (0.044) ; 79955 (0.028) ; 100524 (0.021) ; 90504 (0.018) ; 45996 (0.017) ; 71542 (0.016) ; 109918 (0.016) ; 25160 (0.015) ; 75759 (0.013) ; 
0.05784857350636352   T=9,K=3:  37212 (0.053) ; 79955 (0.030) ; 105344 (0.029) ; 44667 (0.025) ; 25160 (0.017) ; 75759 (0.015) ; 109918 (0.015) ; 72627 (0.014) ; 45996 (0.014) ; 3591 (0.013) ; 
0.04782552093361822   T=10,K=3:  37212 (0.047) ; 44667 (0.035) ; 79955 (0.023) ; 45996 (0.020) ; 105344 (0.018) ; 109918 (0.018) ; 49875 (0.018) ; 33819 (0.015) ; 25160 (0.014) ; 65552 (0.014) ; 
0.07170309567892079   T=11,K=3:  49875 (0.034) ; 44667 (0.032) ; 79955 (0.032) ; 37212 (0.028) ; 45996 (0.021) ; 105344 (0.017) ; 109918 (0.017) ; 72627 (0.016) ; 33819 (0.016) ; 26761 (0.016) ; 
0.0730463602418189   T=12,K=3:  44667 (0.032) ; 79955 (0.027) ; 49875 (0.026) ; 37212 (0.024) ; 45996 (0.022) ; 109918 (0.021) ; 33819 (0.017) ; 65468 (0.017) ; 79763 (0.014) ; 26761 (0.014) ; 
0.08832955567754565   T=13,K=3:  65468 (0.029) ; 45996 (0.027) ; 79955 (0.025) ; 109918 (0.023) ; 49875 (0.022) ; 44667 (0.021) ; 79763 (0.018) ; 37212 (0.016) ; 65552 (0.016) ; 90504 (0.015) ; 
0.09201365354454673   T=14,K=3:  109918 (0.030) ; 45996 (0.023) ; 90504 (0.022) ; 65468 (0.021) ; 44667 (0.021) ; 102000 (0.019) ; 79955 (0.016) ; 26761 (0.015) ; 49875 (0.014) ; 105344 (0.014) ; 
0.15422844118711979   T=15,K=3:  102000 (0.027) ; 45996 (0.021) ; 109918 (0.020) ; 65468 (0.020) ; 65552 (0.019) ; 45321 (0.019) ; 105344 (0.017) ; 49875 (0.016) ; 44667 (0.016) ; 26761 (0.015) ; 
0.1504918837455882   T=16,K=3:  102000 (0.026) ; 109918 (0.022) ; 26761 (0.022) ; 45996 (0.022) ; 49875 (0.020) ; 81634 (0.017) ; 105344 (0.016) ; 113356 (0.016) ; 19972 (0.015) ; 79955 (0.015) ; 
0.1295143007762192   T=17,K=3:  109918 (0.032) ; 102000 (0.025) ; 81634 (0.025) ; 45996 (0.024) ; 71542 (0.022) ; 45321 (0.019) ; 26761 (0.018) ; nlsj183 (0.018) ; 49875 (0.016) ; 90504 (0.015) ; 
0.21136302099418264   T=18,K=3:  109918 (0.034) ; 45321 (0.031) ; 45996 (0.029) ; 81634 (0.024) ; 90504 (0.023) ; 71542 (0.018) ; 102000 (0.017) ; 65552 (0.016) ; 24103 (0.016) ; 19972 (0.014) ; 
