2392 documents , 1 concepts , 4562 context features (nlsj76838) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 10


map[]

===============  per type  ===============
0.1348281499426007   T=0,K=0:  22209 (0.063) ;  (0.044) ; nlsj76838 (0.029) ; 84234 (0.027) ; 61056 (0.025) ; 103922 (0.024) ; 98894 (0.022) ; 45996 (0.020) ; 21920 (0.018) ; 16051 (0.016) ; 
0.11110800013615575   T=1,K=2:  84234 (0.053) ; 62204 (0.025) ; 22209 (0.022) ; nlsj76838 (0.020) ; 26447 (0.019) ; 84494 (0.016) ;  (0.013) ; 22825 (0.012) ; 58429 (0.012) ; 103922 (0.012) ; 
0.11716816514531807   T=2,K=2:  84234 (0.060) ; 62204 (0.030) ; 84494 (0.022) ; 22209 (0.019) ; 26447 (0.019) ; nlsj76838 (0.018) ;  (0.014) ; 22825 (0.013) ; 11583 (0.012) ; 70991 (0.012) ; 
0.10161131504074043   T=3,K=2:  84234 (0.029) ; 62204 (0.019) ; nlsj76838 (0.018) ; 48291 (0.015) ; 22825 (0.013) ; 26447 (0.013) ; 22209 (0.012) ;  (0.011) ; 19546 (0.010) ; 65552 (0.009) ; 
0.10865175095309544   T=4,K=2:  nlsj76838 (0.032) ; 84234 (0.019) ; 48291 (0.019) ; 22209 (0.017) ;  (0.012) ; 65552 (0.012) ; 24358 (0.012) ; 22825 (0.009) ; 62204 (0.009) ; 8909 (0.008) ; 
0.0994490966398652   T=5,K=2:  84234 (0.026) ; nlsj76838 (0.025) ; 22209 (0.014) ; 48291 (0.013) ;  (0.012) ; 62204 (0.011) ; 11583 (0.010) ; 68641 (0.010) ; 15893 (0.010) ; 116416 (0.009) ; 
0.050592835954615493   T=6,K=2:  nlsj76838 (0.047) ; 84234 (0.018) ; 22209 (0.017) ;  (0.015) ; 11583 (0.011) ; 48291 (0.010) ; 80042 (0.010) ; 15893 (0.009) ; 116416 (0.008) ; 62204 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  84234 (0.037) ; nlsj76838 (0.025) ; 22209 (0.020) ; 62204 (0.016) ;  (0.013) ; 26447 (0.011) ; 84494 (0.011) ; 48291 (0.011) ; 22825 (0.010) ; 11583 (0.009) ; 

0.1179072317122862   T=0,K=3:  84494 (0.027) ; 90504 (0.023) ; 45996 (0.022) ; 84234 (0.021) ;  (0.021) ; 20621 (0.019) ; 75552 (0.016) ; 103922 (0.016) ; 61056 (0.015) ; 58429 (0.013) ; 
0.11717204297149185   T=1,K=3:  84494 (0.029) ; 45996 (0.027) ; 90504 (0.020) ; 84234 (0.019) ;  (0.019) ; 22209 (0.017) ; 75552 (0.016) ; 58429 (0.015) ; 103922 (0.015) ; 22825 (0.012) ; 
0.07388628067196301   T=2,K=3:  84494 (0.031) ; 45996 (0.026) ; 84234 (0.024) ; 22209 (0.023) ;  (0.020) ; 103922 (0.018) ; 42214 (0.013) ; 22825 (0.012) ; 90504 (0.012) ; 75552 (0.011) ; 
0.06718296573563191   T=3,K=3:  103922 (0.029) ;  (0.028) ; 84234 (0.025) ; 45996 (0.025) ; 84494 (0.022) ; 22209 (0.020) ; 26447 (0.015) ; 48291 (0.014) ; 42214 (0.011) ; 90504 (0.011) ; 
0.11040939009762427   T=4,K=3:  22209 (0.032) ;  (0.031) ; 48291 (0.023) ; 26447 (0.023) ; 103922 (0.022) ; 84234 (0.022) ; 45996 (0.021) ; 84494 (0.017) ; 27847 (0.014) ; 64866 (0.013) ; 
0.10917633648064501   T=5,K=3:  103922 (0.022) ; 26447 (0.019) ; 27847 (0.018) ; 84234 (0.016) ;  (0.016) ; 45996 (0.016) ; 22209 (0.016) ; 48291 (0.013) ; 84494 (0.013) ; 61056 (0.011) ; 
0.17625224596663405   T=6,K=3:  26447 (0.024) ; 45996 (0.021) ; 84234 (0.020) ; 27847 (0.017) ; 48291 (0.015) ; 84494 (0.013) ; 22209 (0.013) ; 103922 (0.012) ; 64866 (0.011) ;  (0.011) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  45996 (0.023) ; 84494 (0.022) ; 84234 (0.021) ;  (0.021) ; 103922 (0.019) ; 22209 (0.019) ; 26447 (0.015) ; 48291 (0.013) ; 27847 (0.012) ; 90504 (0.011) ; 

0.05770675199360339   T=0,K=4:  nlsj76838 (0.102) ;  (0.043) ; 22825 (0.038) ; 103922 (0.030) ; 45996 (0.027) ; 84234 (0.024) ; 48291 (0.018) ; 75552 (0.017) ; 16051 (0.017) ; 26886 (0.016) ; 
0.09356051553289028   T=1,K=4:  nlsj76838 (0.078) ;  (0.043) ; 22825 (0.035) ; 45996 (0.033) ; 103922 (0.033) ; 84234 (0.020) ; 48291 (0.018) ; 84494 (0.016) ; 16051 (0.015) ; 75552 (0.015) ; 
0.09438729232203269   T=2,K=4:  nlsj76838 (0.065) ;  (0.038) ; 45996 (0.025) ; 22825 (0.023) ; 84234 (0.021) ; 84494 (0.019) ; 103922 (0.018) ; 26886 (0.016) ; 22209 (0.015) ; 75552 (0.013) ; 
0.12163359221892549   T=3,K=4:  nlsj76838 (0.029) ; 45996 (0.025) ;  (0.021) ; 26886 (0.020) ; 22209 (0.018) ; 84494 (0.016) ; 48291 (0.015) ; 85306 (0.014) ; 75552 (0.014) ; 20621 (0.011) ; 
0.1103621351324928   T=4,K=4:  45996 (0.030) ; 22209 (0.028) ; nlsj76838 (0.026) ; 84494 (0.014) ;  (0.012) ; 48291 (0.011) ; 75552 (0.010) ; 11583 (0.010) ; 20621 (0.010) ; 27847 (0.009) ; 
0.09846046048623673   T=5,K=4:  45996 (0.028) ; 22209 (0.025) ; 75552 (0.013) ; 11583 (0.012) ; 20621 (0.012) ; nlsj76838 (0.011) ; 84494 (0.011) ; 24436 (0.011) ; 106974 (0.009) ; 8665 (0.009) ; 
0.0753303407065263   T=6,K=4:  75552 (0.028) ; 45996 (0.026) ; 11583 (0.020) ; 106974 (0.016) ; 84494 (0.015) ; 24436 (0.014) ; 22209 (0.012) ; 20621 (0.011) ; 112720 (0.010) ;  (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  nlsj76838 (0.046) ; 45996 (0.028) ;  (0.025) ; 22825 (0.018) ; 22209 (0.016) ; 103922 (0.016) ; 75552 (0.016) ; 84494 (0.015) ; 48291 (0.012) ; 84234 (0.012) ; 

0.04201414874695737   T=0,K=5:  45996 (0.044) ;  (0.034) ; 85306 (0.018) ; 26447 (0.014) ; 1211 (0.012) ; 84234 (0.011) ; nlsj32160 (0.011) ; 26886 (0.011) ; 80042 (0.010) ; 48291 (0.010) ; 
0.06784768403424704   T=1,K=5:   (0.049) ; 45996 (0.049) ; 84234 (0.023) ; 85306 (0.022) ; nlsj32160 (0.014) ; 106696 (0.013) ; 1211 (0.010) ; 22209 (0.010) ; 26447 (0.010) ; 26886 (0.010) ; 
0.10222009630395419   T=2,K=5:   (0.049) ; 84234 (0.030) ; 45996 (0.025) ; 85306 (0.014) ; 22209 (0.013) ; 26447 (0.012) ; nlsj76838 (0.012) ; 68641 (0.011) ; 26886 (0.011) ; 90504 (0.009) ; 
0.0814093533745826   T=3,K=5:   (0.030) ; 48291 (0.017) ; 84234 (0.012) ; 19546 (0.011) ; nlsj76838 (0.011) ; 45996 (0.011) ; 90504 (0.009) ; 63772 (0.009) ; 26886 (0.009) ; 68641 (0.008) ; 
0.0850440420281278   T=4,K=5:   (0.021) ; 48291 (0.019) ; 68641 (0.010) ; 63772 (0.009) ; 86219 (0.009) ; 19546 (0.008) ; 33819 (0.008) ; 90504 (0.008) ; 112720 (0.008) ; 84505 (0.007) ; 
0.07381911495392089   T=5,K=5:   (0.017) ; 48291 (0.016) ; 15893 (0.009) ; 68641 (0.008) ; 63772 (0.008) ; 112720 (0.008) ; 84434 (0.008) ; 86219 (0.008) ; 27847 (0.007) ; 11583 (0.007) ; 
0.05061196219946172   T=6,K=5:   (0.024) ; 48291 (0.017) ; 68641 (0.011) ; 12409 (0.010) ; 63772 (0.009) ; 27847 (0.009) ; 11583 (0.009) ; nlsj76838 (0.007) ; 86219 (0.007) ; 43206 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:   (0.032) ; 45996 (0.021) ; 84234 (0.013) ; 48291 (0.013) ; 85306 (0.011) ; 68641 (0.009) ; 26447 (0.009) ; nlsj76838 (0.008) ; 63772 (0.008) ; nlsj32160 (0.008) ; 

0.07885598264715929   T=0,K=6:  nlsj76838 (0.039) ;  (0.021) ; 26886 (0.019) ; 84234 (0.018) ; 22825 (0.016) ; 63772 (0.016) ; 104429 (0.015) ; 75552 (0.014) ; 84494 (0.014) ; 61056 (0.012) ; 
0.09795634171631075   T=1,K=6:   (0.033) ; nlsj76838 (0.030) ; 26886 (0.022) ; 22825 (0.016) ; 75552 (0.016) ; 104429 (0.015) ; 84234 (0.015) ; 63772 (0.014) ; 84494 (0.011) ; 22209 (0.010) ; 
0.09868742894761794   T=2,K=6:   (0.041) ; nlsj76838 (0.030) ; 22825 (0.022) ; 63772 (0.021) ; 22209 (0.016) ; 26886 (0.014) ; 45996 (0.014) ; 84234 (0.011) ; 90504 (0.010) ; 62204 (0.010) ; 
0.13547070209015988   T=3,K=6:   (0.038) ; 22825 (0.017) ; nlsj76838 (0.015) ; 45996 (0.015) ; 63772 (0.014) ; 84234 (0.014) ; 15893 (0.013) ; 22209 (0.013) ; 48291 (0.013) ; 75552 (0.013) ; 
0.12124879546482395   T=4,K=6:   (0.040) ; 48291 (0.015) ; nlsj76838 (0.015) ; 90504 (0.014) ; 15893 (0.014) ; 24436 (0.013) ; 22209 (0.013) ; 8909 (0.012) ; 84234 (0.012) ; 22825 (0.011) ; 
0.10215096540007239   T=5,K=6:   (0.019) ; nlsj76838 (0.017) ; 22209 (0.015) ; 84234 (0.013) ; 90504 (0.013) ; 8665 (0.012) ; 24436 (0.012) ; 8909 (0.011) ; 45996 (0.011) ; 15893 (0.009) ; 
0.03555895327560125   T=6,K=6:   (0.028) ; 24436 (0.020) ; 90504 (0.019) ; 84234 (0.016) ; 8665 (0.015) ; 8909 (0.013) ; 45996 (0.011) ; 110639 (0.011) ; 15893 (0.011) ; nlsj76838 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:   (0.031) ; nlsj76838 (0.022) ; 22825 (0.014) ; 84234 (0.014) ; 63772 (0.013) ; 22209 (0.012) ; 90504 (0.012) ; 26886 (0.011) ; 45996 (0.011) ; 75552 (0.010) ; 

0.06516337752013769   T=0,K=7:   (0.050) ; 26886 (0.035) ; 103922 (0.026) ; 84234 (0.024) ; 24436 (0.020) ; 85306 (0.020) ; 84494 (0.017) ; 260 (0.016) ; 61056 (0.014) ; 45996 (0.012) ; 
0.11017477169069696   T=1,K=7:   (0.034) ; 84234 (0.027) ; 103922 (0.025) ; 61056 (0.018) ; 26886 (0.016) ; 24436 (0.016) ; 84494 (0.015) ; 85306 (0.015) ; 22100 (0.014) ; 260 (0.012) ; 
0.10628962539339244   T=2,K=7:   (0.060) ; 84234 (0.041) ; 103922 (0.026) ; nlsj76838 (0.024) ; 61056 (0.017) ; 84494 (0.015) ; 45996 (0.014) ; 260 (0.012) ; 26886 (0.011) ; 24436 (0.010) ; 
0.09461298052846279   T=3,K=7:   (0.042) ; 84234 (0.021) ; 45996 (0.018) ; 26447 (0.016) ; 48291 (0.015) ; 22825 (0.015) ; 61056 (0.014) ; 103922 (0.012) ; nlsj76838 (0.011) ; 85306 (0.010) ; 
0.09551514266606742   T=4,K=7:  45996 (0.029) ; 90504 (0.018) ; 68641 (0.018) ; 85306 (0.016) ;  (0.015) ; nlsj76838 (0.013) ; 84234 (0.011) ; 48291 (0.010) ; 24436 (0.009) ; 26447 (0.009) ; 
0.10735783173737656   T=5,K=7:   (0.016) ; 85306 (0.015) ; 68641 (0.014) ; 45996 (0.014) ; 90504 (0.013) ; 15893 (0.013) ; 48291 (0.012) ; 84234 (0.010) ; 24436 (0.010) ; 76910 (0.008) ; 
0.1813261304516869   T=6,K=7:  48291 (0.016) ; 90504 (0.014) ; 68641 (0.012) ; 45996 (0.012) ;  (0.010) ; 76910 (0.010) ; 85306 (0.009) ; 15893 (0.009) ; 84234 (0.009) ; 11583 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:   (0.032) ; 84234 (0.020) ; 45996 (0.016) ; 103922 (0.015) ; 85306 (0.013) ; 26886 (0.012) ; 24436 (0.012) ; nlsj76838 (0.011) ; 61056 (0.011) ; 48291 (0.010) ; 

0.08955802520267883   T=0,K=8:  48291 (0.054) ; 84494 (0.052) ; 22825 (0.026) ; 63772 (0.024) ; nlsj76838 (0.021) ; 43206 (0.020) ;  (0.018) ; 62204 (0.015) ; 84234 (0.014) ; 45996 (0.014) ; 
0.05381960368683318   T=1,K=8:  84494 (0.039) ; 48291 (0.036) ;  (0.024) ; 63772 (0.023) ; 45996 (0.019) ; 22825 (0.019) ; 43206 (0.017) ; nlsj76838 (0.015) ; 62204 (0.011) ; nlsj32160 (0.010) ; 
0.09433743309181226   T=2,K=8:  84494 (0.032) ; 48291 (0.027) ; 63772 (0.025) ;  (0.023) ; 22825 (0.018) ; 84234 (0.016) ; 45996 (0.014) ; 43206 (0.013) ; 62204 (0.012) ; 90504 (0.011) ; 
0.05469588992619977   T=3,K=8:  63772 (0.021) ; 84234 (0.019) ;  (0.019) ; 45996 (0.018) ; 48291 (0.017) ; 84494 (0.017) ; 22825 (0.017) ; 22209 (0.012) ; nlsj76838 (0.012) ; 62204 (0.012) ; 
0.0960563308508772   T=4,K=8:   (0.030) ; 22209 (0.030) ; 84234 (0.022) ; 63772 (0.022) ; nlsj76838 (0.017) ; 45996 (0.016) ; 16051 (0.015) ; 22825 (0.012) ; 19546 (0.011) ; 84494 (0.011) ; 
0.1144458758900354   T=5,K=8:  22209 (0.022) ; nlsj76838 (0.021) ; 63772 (0.020) ;  (0.015) ; 45996 (0.014) ; 22825 (0.014) ; 84234 (0.013) ; 84494 (0.013) ; 65552 (0.010) ; 16051 (0.010) ; 
0.05878184544841373   T=6,K=8:   (0.020) ; 22825 (0.019) ; 22209 (0.019) ; nlsj76838 (0.018) ; 45996 (0.016) ; 63772 (0.014) ; 84494 (0.012) ; 16051 (0.012) ; 84234 (0.012) ; 103922 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  84494 (0.025) ; 48291 (0.022) ; 63772 (0.021) ;  (0.021) ; 22825 (0.018) ; 45996 (0.016) ; nlsj76838 (0.016) ; 84234 (0.015) ; 22209 (0.014) ; 43206 (0.011) ; 

0.07602588578686528   T=0,K=9:  26447 (0.027) ; 103922 (0.026) ; nlsj76838 (0.024) ; 90504 (0.020) ; 114753 (0.014) ; 22825 (0.013) ; 22209 (0.013) ; 15893 (0.013) ; 45996 (0.012) ; 56496 (0.011) ; 
0.1236877624500376   T=1,K=9:  nlsj76838 (0.028) ; 103922 (0.028) ; 26447 (0.024) ; 90504 (0.017) ; 61056 (0.013) ; 62204 (0.012) ; 114753 (0.012) ; 15893 (0.011) ; 114548 (0.011) ; 22209 (0.011) ; 
0.12408548481835657   T=2,K=9:  nlsj76838 (0.028) ; 90504 (0.024) ; 103922 (0.018) ; 61056 (0.016) ; 26447 (0.016) ; 114753 (0.015) ; 22209 (0.015) ; 56496 (0.013) ; 62204 (0.011) ; 45996 (0.011) ; 
0.11612131926050265   T=3,K=9:  22209 (0.020) ; 58429 (0.017) ; 90504 (0.016) ; 45996 (0.013) ; 26447 (0.013) ; 61056 (0.012) ;  (0.012) ; 85306 (0.010) ; nlsj76838 (0.010) ; 48291 (0.010) ; 
0.09310137509316982   T=4,K=9:  48291 (0.021) ; 84494 (0.018) ;  (0.016) ; 26447 (0.015) ; 45996 (0.015) ; 85306 (0.014) ; 58429 (0.013) ; 61056 (0.012) ; 114548 (0.011) ; 90504 (0.011) ; 
0.11302988912170599   T=5,K=9:  22209 (0.016) ; 84494 (0.013) ; 84511 (0.013) ; 26447 (0.013) ; 58429 (0.011) ; 85306 (0.011) ; 64866 (0.010) ; 45996 (0.010) ; 61056 (0.010) ;  (0.010) ; 
0.032600222902224286   T=6,K=9:  58429 (0.016) ; 22209 (0.013) ; 84511 (0.012) ; 26447 (0.011) ; 103922 (0.010) ;  (0.010) ; 114753 (0.010) ; 64866 (0.009) ; 15893 (0.009) ; 85306 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  26447 (0.017) ; nlsj76838 (0.015) ; 103922 (0.015) ; 22209 (0.014) ; 90504 (0.014) ; 61056 (0.012) ; 45996 (0.011) ; 114753 (0.011) ; 58429 (0.010) ;  (0.010) ; 

===============  per time  ===============
Time=0  
0.1348281499426007   T=0,K=0:  22209 (0.063) ;  (0.044) ; nlsj76838 (0.029) ; 84234 (0.027) ; 61056 (0.025) ; 103922 (0.024) ; 98894 (0.022) ; 45996 (0.020) ; 21920 (0.018) ; 16051 (0.016) ; 
0.1258201310823518   T=0,K=1:  45996 (0.072) ; 22209 (0.064) ; 24436 (0.029) ; 63772 (0.015) ; 110639 (0.013) ; 114615 (0.013) ; 20621 (0.011) ; 61072 (0.010) ; 84494 (0.010) ;  (0.009) ; 
0.2121203153653595   T=0,K=2:  84234 (0.056) ; 22209 (0.037) ; 84494 (0.021) ; 26447 (0.018) ; nlsj76838 (0.015) ; 56393 (0.014) ; 62204 (0.012) ;  (0.011) ; 58429 (0.011) ; 24292 (0.010) ; 
0.1179072317122862   T=0,K=3:  84494 (0.027) ; 90504 (0.023) ; 45996 (0.022) ; 84234 (0.021) ;  (0.021) ; 20621 (0.019) ; 75552 (0.016) ; 103922 (0.016) ; 61056 (0.015) ; 58429 (0.013) ; 
0.05770675199360339   T=0,K=4:  nlsj76838 (0.102) ;  (0.043) ; 22825 (0.038) ; 103922 (0.030) ; 45996 (0.027) ; 84234 (0.024) ; 48291 (0.018) ; 75552 (0.017) ; 16051 (0.017) ; 26886 (0.016) ; 
0.04201414874695737   T=0,K=5:  45996 (0.044) ;  (0.034) ; 85306 (0.018) ; 26447 (0.014) ; 1211 (0.012) ; 84234 (0.011) ; nlsj32160 (0.011) ; 26886 (0.011) ; 80042 (0.010) ; 48291 (0.010) ; 
0.07885598264715929   T=0,K=6:  nlsj76838 (0.039) ;  (0.021) ; 26886 (0.019) ; 84234 (0.018) ; 22825 (0.016) ; 63772 (0.016) ; 104429 (0.015) ; 75552 (0.014) ; 84494 (0.014) ; 61056 (0.012) ; 
0.06516337752013769   T=0,K=7:   (0.050) ; 26886 (0.035) ; 103922 (0.026) ; 84234 (0.024) ; 24436 (0.020) ; 85306 (0.020) ; 84494 (0.017) ; 260 (0.016) ; 61056 (0.014) ; 45996 (0.012) ; 
0.08955802520267883   T=0,K=8:  48291 (0.054) ; 84494 (0.052) ; 22825 (0.026) ; 63772 (0.024) ; nlsj76838 (0.021) ; 43206 (0.020) ;  (0.018) ; 62204 (0.015) ; 84234 (0.014) ; 45996 (0.014) ; 
0.07602588578686528   T=0,K=9:  26447 (0.027) ; 103922 (0.026) ; nlsj76838 (0.024) ; 90504 (0.020) ; 114753 (0.014) ; 22825 (0.013) ; 22209 (0.013) ; 15893 (0.013) ; 45996 (0.012) ; 56496 (0.011) ; 

Time=1  
0.1621176534559055   T=1,K=0:  22209 (0.095) ; 103922 (0.042) ;  (0.040) ; 61056 (0.031) ; nlsj76838 (0.031) ; 84234 (0.021) ; 114548 (0.017) ; 48291 (0.014) ; 22825 (0.014) ; 16051 (0.014) ; 
0.06255562432543126   T=1,K=1:  45996 (0.075) ; 22209 (0.034) ; 56496 (0.015) ; 24436 (0.015) ; 84494 (0.014) ; 84234 (0.014) ; 63772 (0.013) ; 61791 (0.010) ; 110639 (0.010) ; 85306 (0.010) ; 
0.11110800013615575   T=1,K=2:  84234 (0.053) ; 62204 (0.025) ; 22209 (0.022) ; nlsj76838 (0.020) ; 26447 (0.019) ; 84494 (0.016) ;  (0.013) ; 22825 (0.012) ; 58429 (0.012) ; 103922 (0.012) ; 
0.11717204297149185   T=1,K=3:  84494 (0.029) ; 45996 (0.027) ; 90504 (0.020) ; 84234 (0.019) ;  (0.019) ; 22209 (0.017) ; 75552 (0.016) ; 58429 (0.015) ; 103922 (0.015) ; 22825 (0.012) ; 
0.09356051553289028   T=1,K=4:  nlsj76838 (0.078) ;  (0.043) ; 22825 (0.035) ; 45996 (0.033) ; 103922 (0.033) ; 84234 (0.020) ; 48291 (0.018) ; 84494 (0.016) ; 16051 (0.015) ; 75552 (0.015) ; 
0.06784768403424704   T=1,K=5:   (0.049) ; 45996 (0.049) ; 84234 (0.023) ; 85306 (0.022) ; nlsj32160 (0.014) ; 106696 (0.013) ; 1211 (0.010) ; 22209 (0.010) ; 26447 (0.010) ; 26886 (0.010) ; 
0.09795634171631075   T=1,K=6:   (0.033) ; nlsj76838 (0.030) ; 26886 (0.022) ; 22825 (0.016) ; 75552 (0.016) ; 104429 (0.015) ; 84234 (0.015) ; 63772 (0.014) ; 84494 (0.011) ; 22209 (0.010) ; 
0.11017477169069696   T=1,K=7:   (0.034) ; 84234 (0.027) ; 103922 (0.025) ; 61056 (0.018) ; 26886 (0.016) ; 24436 (0.016) ; 84494 (0.015) ; 85306 (0.015) ; 22100 (0.014) ; 260 (0.012) ; 
0.05381960368683318   T=1,K=8:  84494 (0.039) ; 48291 (0.036) ;  (0.024) ; 63772 (0.023) ; 45996 (0.019) ; 22825 (0.019) ; 43206 (0.017) ; nlsj76838 (0.015) ; 62204 (0.011) ; nlsj32160 (0.010) ; 
0.1236877624500376   T=1,K=9:  nlsj76838 (0.028) ; 103922 (0.028) ; 26447 (0.024) ; 90504 (0.017) ; 61056 (0.013) ; 62204 (0.012) ; 114753 (0.012) ; 15893 (0.011) ; 114548 (0.011) ; 22209 (0.011) ; 

Time=2  
0.08576098031496542   T=2,K=0:  103922 (0.089) ; 22209 (0.071) ; 84234 (0.062) ;  (0.040) ; 61056 (0.022) ; 16051 (0.022) ; nlsj76838 (0.018) ; 22825 (0.016) ; 62204 (0.014) ; 84505 (0.012) ; 
0.10317721299058735   T=2,K=1:  45996 (0.033) ; 22209 (0.026) ; 84234 (0.016) ; 84494 (0.016) ; 24436 (0.013) ; 110639 (0.012) ; 61791 (0.012) ; 63772 (0.011) ; 26447 (0.011) ; 114615 (0.010) ; 
0.11716816514531807   T=2,K=2:  84234 (0.060) ; 62204 (0.030) ; 84494 (0.022) ; 22209 (0.019) ; 26447 (0.019) ; nlsj76838 (0.018) ;  (0.014) ; 22825 (0.013) ; 11583 (0.012) ; 70991 (0.012) ; 
0.07388628067196301   T=2,K=3:  84494 (0.031) ; 45996 (0.026) ; 84234 (0.024) ; 22209 (0.023) ;  (0.020) ; 103922 (0.018) ; 42214 (0.013) ; 22825 (0.012) ; 90504 (0.012) ; 75552 (0.011) ; 
