####################################################################################################
#   σχῆμα (101851)                                                                                 #
####################################################################################################

σχῆμα:K0 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K11 ~ G:Letters        -0.231455  0.446742
σχῆμα: K11 ~ G:Philosophy      0.174631  0.568263
σχῆμα: K11 ~ G:Tragedy         0.154303  0.614737
σχῆμα: K11 ~ G:Oratory         0.128426  0.675852
σχῆμα: K11 ~ G:Religion        0.033555  0.913344
σχῆμα: K11 ~ G:Essays          0.013422  0.965288


σχῆμα:K11 ~ correlation with subgenres

                                              Spearman's ρ         p
σχῆμα: K11 ~ SG:History                           0.806224  0.000872
σχῆμα: K11 ~ SG:Rhetoric, poetics, criticism      0.729838  0.004626
σχῆμα: K11 ~ SG:Bucolic                           0.462910  0.111173
σχῆμα: K11 ~ SG:Military                          0.423572  0.149222
σχῆμα: K11 ~ SG:Comedy                            0.331957  0.267824
σχῆμα: K11 ~ SG:Hunting                           0.308607  0.304937
σχῆμα: K11 ~ SG:Science                           0.308607  0.304937
σχῆμα: K11 ~ SG:Horsemanship                      0.308607  0.304937
σχῆμα: K11 ~ SG:Biography                         0.282382  0.349905
σχῆμα: K11 ~ SG:Mathematics                       0.244600  0.420588
σχῆμα: K11 ~ SG:Geography                         0.237795  0.434030
σχῆμα: K11 ~ SG:Art History                      -0.235864  0.437882
σχῆμα: K11 ~ SG:Hymns                            -0.231455  0.446742
σχῆμα: K11 ~ SG:Letters                          -0.231455  0.446742
σχῆμα: K11 ~ SG:Homily                           -0.231455  0.446742
σχῆμα: K11 ~ SG:Church history                   -0.231455  0.446742
σχῆμα: K11 ~ SG:Theology                          0.183450  0.548560
σχῆμα: K11 ~ SG:Philosophy                        0.174631  0.568263
σχῆμα: K11 ~ SG:Tragedy                           0.154303  0.614737
σχῆμα: K11 ~ SG:Oratory                           0.128426  0.675852
σχῆμα: K11 ~ SG:Medicine                          0.122300  0.690610
σχῆμα: K11 ~ SG:Narrative                         0.077152  0.802187
σχῆμα: K11 ~ SG:Miscellanea                      -0.077152  0.802187
σχῆμα: K11 ~ SG:Natural History                  -0.077152  0.802187
σχῆμα: K11 ~ SG:Essay                             0.020133  0.947950
σχῆμα: K11 ~ SG:Mythology                         0.000000  1.000000
σχῆμα: K11 ~ SG:Novel                             0.000000  1.000000
σχῆμα: K11 ~ SG:Protreptics                       0.000000  1.000000
σχῆμα: K11 ~ SG:Grammar                           0.000000  1.000000
σχῆμα: K11 ~ SG:Choral                                 NaN       NaN
σχῆμα: K11 ~ SG:Didactic                               NaN       NaN
σχῆμα: K11 ~ SG:Epic                                   NaN       NaN
σχῆμα: K11 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K11 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K11 ~ SG:Politics                               NaN       NaN
σχῆμα: K11 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K12 ~ correlation with genres

                           Spearman's ρ         p
σχῆμα: K12 ~ G:Oratory         0.751764  0.003042
σχῆμα: K12 ~ G:Essays          0.650963  0.015964
σχῆμα: K12 ~ G:Narrative       0.627369  0.021716
σχῆμα: K12 ~ G:Philosophy      0.549901  0.051540
σχῆμα: K12 ~ G:Technical       0.463462  0.110691
σχῆμα: K12 ~ G:Religion        0.409368  0.164814
σχῆμα: K12 ~ G:Letters         0.385758  0.192978
σχῆμα: K12 ~ G:Tragedy        -0.308607  0.304937
σχῆμα: K12 ~ G:Comedy         -0.139771  0.648806
σχῆμα: K12 ~ G:Poetry          0.000000  1.000000


σχῆμα:K12 ~ correlation with subgenres

                                              Spearman's ρ         p
σχῆμα: K12 ~ SG:Oratory                           0.751764  0.003042
σχῆμα: K12 ~ SG:Essay                             0.664385  0.013250
σχῆμα: K12 ~ SG:Geography                         0.620496  0.023649
σχῆμα: K12 ~ SG:Philosophy                        0.549901  0.051540
σχῆμα: K12 ~ SG:Art History                       0.515407  0.071441
σχῆμα: K12 ~ SG:History                           0.479689  0.097155
σχῆμα: K12 ~ SG:Protreptics                       0.462910  0.111173
σχῆμα: K12 ~ SG:Grammar                           0.462910  0.111173
σχῆμα: K12 ~ SG:Novel                             0.462910  0.111173
σχῆμα: K12 ~ SG:Mythology                         0.462910  0.111173
σχῆμα: K12 ~ SG:Military                          0.460728  0.113091
σχῆμα: K12 ~ SG:Mathematics                       0.436785  0.135611
σχῆμα: K12 ~ SG:Rhetoric, poetics, criticism      0.394676  0.182008
σχῆμα: K12 ~ SG:Hymns                             0.385758  0.192978
σχῆμα: K12 ~ SG:Letters                           0.385758  0.192978
σχῆμα: K12 ~ SG:Church history                    0.385758  0.192978
σχῆμα: K12 ~ SG:Homily                            0.385758  0.192978
σχῆμα: K12 ~ SG:Theology                          0.375635  0.205922
σχῆμα: K12 ~ SG:Biography                         0.330684  0.269776
σχῆμα: K12 ~ SG:Natural History                   0.308607  0.304937
σχῆμα: K12 ~ SG:Miscellanea                       0.308607  0.304937
σχῆμα: K12 ~ SG:Tragedy                          -0.308607  0.304937
σχῆμα: K12 ~ SG:Narrative                        -0.154303  0.614737
σχῆμα: K12 ~ SG:Horsemanship                      0.154303  0.614737
σχῆμα: K12 ~ SG:Hunting                           0.154303  0.614737
σχῆμα: K12 ~ SG:Science                           0.154303  0.614737
σχῆμα: K12 ~ SG:Comedy                           -0.139771  0.648806
σχῆμα: K12 ~ SG:Medicine                          0.069886  0.820531
σχῆμα: K12 ~ SG:Bucolic                           0.000000  1.000000
σχῆμα: K12 ~ SG:Choral                                 NaN       NaN
σχῆμα: K12 ~ SG:Didactic                               NaN       NaN
σχῆμα: K12 ~ SG:Epic                                   NaN       NaN
σχῆμα: K12 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K12 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K12 ~ SG:Politics                               NaN       NaN
σχῆμα: K12 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K13 ~ correlation with genres

                           Spearman's ρ         p
σχῆμα: K13 ~ G:Essays          0.516744  0.070583
σχῆμα: K13 ~ G:Oratory         0.454191  0.118970
σχῆμα: K13 ~ G:Narrative       0.401290  0.174133
σχῆμα: K13 ~ G:Technical       0.344770  0.248645
σχῆμα: K13 ~ G:Tragedy         0.308607  0.304937
σχῆμα: K13 ~ G:Comedy          0.244600  0.420588
σχῆμα: K13 ~ G:Philosophy      0.185777  0.543409
σχῆμα: K13 ~ G:Letters         0.154303  0.614737
σχῆμα: K13 ~ G:Poetry         -0.154303  0.614737
σχῆμα: K13 ~ G:Religion        0.134219  0.661995


σχῆμα:K13 ~ correlation with subgenres

                                              Spearman's ρ         p
σχῆμα: K13 ~ SG:Essay                             0.503322  0.079533
σχῆμα: K13 ~ SG:Oratory                           0.454191  0.118970
σχῆμα: K13 ~ SG:Biography                         0.423572  0.149222
σχῆμα: K13 ~ SG:Theology                          0.358164  0.229503
σχῆμα: K13 ~ SG:Tragedy                           0.308607  0.304937
σχῆμα: K13 ~ SG:Medicine                          0.297014  0.324391
σχῆμα: K13 ~ SG:History                           0.294748  0.328272
σχῆμα: K13 ~ SG:Art History                       0.279543  0.354977
σχῆμα: K13 ~ SG:Comedy                            0.244600  0.420588
σχῆμα: K13 ~ SG:Miscellanea                       0.231455  0.446742
σχῆμα: K13 ~ SG:Narrative                        -0.231455  0.446742
σχῆμα: K13 ~ SG:Natural History                   0.231455  0.446742
σχῆμα: K13 ~ SG:Military                          0.226648  0.456498
σχῆμα: K13 ~ SG:Philosophy                        0.185777  0.543409
σχῆμα: K13 ~ SG:Bucolic                          -0.154303  0.614737
σχῆμα: K13 ~ SG:Hymns                             0.154303  0.614737
σχῆμα: K13 ~ SG:Letters                           0.154303  0.614737
σχῆμα: K13 ~ SG:Homily                            0.154303  0.614737
σχῆμα: K13 ~ SG:Church history                    0.154303  0.614737
σχῆμα: K13 ~ SG:Rhetoric, poetics, criticism      0.140956  0.646005
σχῆμα: K13 ~ SG:Geography                         0.115182  0.707883
σχῆμα: K13 ~ SG:Grammar                           0.077152  0.802187
σχῆμα: K13 ~ SG:Protreptics                       0.077152  0.802187
σχῆμα: K13 ~ SG:Mythology                         0.077152  0.802187
σχῆμα: K13 ~ SG:Novel                             0.077152  0.802187
σχῆμα: K13 ~ SG:Mathematics                       0.052414  0.864967
σχῆμα: K13 ~ SG:Hunting                           0.000000  1.000000
σχῆμα: K13 ~ SG:Science                           0.000000  1.000000
σχῆμα: K13 ~ SG:Horsemanship                      0.000000  1.000000
σχῆμα: K13 ~ SG:Choral                                 NaN       NaN
σχῆμα: K13 ~ SG:Didactic                               NaN       NaN
σχῆμα: K13 ~ SG:Epic                                   NaN       NaN
σχῆμα: K13 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K13 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K13 ~ SG:Politics                               NaN       NaN
σχῆμα: K13 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K14 ~ correlation with genres

                           Spearman's ρ         p
σχῆμα: K14 ~ G:Tragedy         0.462910  0.111173
σχῆμα: K14 ~ G:Oratory         0.457323  0.116128
σχῆμα: K14 ~ G:Essays          0.422790  0.150054
σχῆμα: K14 ~ G:Comedy          0.419314  0.153791
σχῆμα: K14 ~ G:Technical       0.378682  0.201971
σχῆμα: K14 ~ G:Philosophy      0.356693  0.231561
σχῆμα: K14 ~ G:Poetry         -0.308607  0.304937
σχῆμα: K14 ~ G:Narrative       0.175211  0.566957
σχῆμα: K14 ~ G:Religion        0.134219  0.661995
σχῆμα: K14 ~ G:Letters        -0.077152  0.802187


σχῆμα:K14 ~ correlation with subgenres

                                              Spearman's ρ         p
σχῆμα: K14 ~ SG:Medicine                          0.628971  0.021283
σχῆμα: K14 ~ SG:Tragedy                           0.462910  0.111173
σχῆμα: K14 ~ SG:Oratory                           0.457323  0.116128
σχῆμα: K14 ~ SG:Theology                          0.445521  0.127078
σχῆμα: K14 ~ SG:Essay                             0.442923  0.129577
σχῆμα: K14 ~ SG:Comedy                            0.419314  0.153791
σχῆμα: K14 ~ SG:Protreptics                       0.385758  0.192978
σχῆμα: K14 ~ SG:Grammar                           0.385758  0.192978
σχῆμα: K14 ~ SG:Novel                             0.385758  0.192978
σχῆμα: K14 ~ SG:Mythology                         0.385758  0.192978
σχῆμα: K14 ~ SG:Philosophy                        0.356693  0.231561
σχῆμα: K14 ~ SG:Mathematics                       0.323221  0.281383
σχῆμα: K14 ~ SG:Bucolic                          -0.308607  0.304937
σχῆμα: K14 ~ SG:Biography                         0.304675  0.311459
σχῆμα: K14 ~ SG:History                           0.239844  0.429960
σχῆμα: K14 ~ SG:Military                          0.237795  0.434030
σχῆμα: K14 ~ SG:Narrative                        -0.231455  0.446742
σχῆμα: K14 ~ SG:Geography                         0.211786  0.487301
σχῆμα: K14 ~ SG:Natural History                   0.154303  0.614737
σχῆμα: K14 ~ SG:Miscellanea                       0.154303  0.614737
σχῆμα: K14 ~ SG:Rhetoric, poetics, criticism     -0.093971  0.760098
σχῆμα: K14 ~ SG:Science                           0.077152  0.802187
σχῆμα: K14 ~ SG:Church history                   -0.077152  0.802187
σχῆμα: K14 ~ SG:Hymns                            -0.077152  0.802187
σχῆμα: K14 ~ SG:Homily                           -0.077152  0.802187
σχῆμα: K14 ~ SG:Letters                          -0.077152  0.802187
σχῆμα: K14 ~ SG:Horsemanship                      0.077152  0.802187
σχῆμα: K14 ~ SG:Hunting                           0.077152  0.802187
σχῆμα: K14 ~ SG:Art History                       0.043679  0.887331
σχῆμα: K14 ~ SG:Choral                                 NaN       NaN
σχῆμα: K14 ~ SG:Didactic                               NaN       NaN
σχῆμα: K14 ~ SG:Epic                                   NaN       NaN
σχῆμα: K14 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K14 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K14 ~ SG:Politics                               NaN       NaN
σχῆμα: K14 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K2 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K2 ~ G:Essays          0.718072  0.005703
σχῆμα: K2 ~ G:Oratory         0.645264  0.017234
σχῆμα: K2 ~ G:Narrative       0.435202  0.137197
σχῆμα: K2 ~ G:Philosophy      0.397564  0.178543
σχῆμα: K2 ~ G:Letters         0.385758  0.192978
σχῆμα: K2 ~ G:Religion        0.241594  0.426499
σχῆμα: K2 ~ G:Poetry         -0.231455  0.446742
σχῆμα: K2 ~ G:Technical       0.226079  0.457661
σχῆμα: K2 ~ G:Comedy         -0.174714  0.568075
σχῆμα: K2 ~ G:Tragedy        -0.154303  0.614737


σχῆμα:K2 ~ correlation with subgenres

                                             Spearman's ρ         p
σχῆμα: K2 ~ SG:Essay                             0.704650  0.007158
σχῆμα: K2 ~ SG:Oratory                           0.645264  0.017234
σχῆμα: K2 ~ SG:Art History                       0.620235  0.023725
σχῆμα: K2 ~ SG:Geography                         0.494168  0.086071
σχῆμα: K2 ~ SG:Natural History                   0.462910  0.111173
σχῆμα: K2 ~ SG:Miscellanea                       0.462910  0.111173
σχῆμα: K2 ~ SG:Philosophy                        0.397564  0.178543
σχῆμα: K2 ~ SG:Church history                    0.385758  0.192978
σχῆμα: K2 ~ SG:Hymns                             0.385758  0.192978
σχῆμα: K2 ~ SG:Letters                           0.385758  0.192978
σχῆμα: K2 ~ SG:Homily                            0.385758  0.192978
σχῆμα: K2 ~ SG:Biography                         0.360408  0.226386
σχῆμα: K2 ~ SG:Theology                          0.331957  0.267824
σχῆμα: K2 ~ SG:Military                          0.315822  0.293173
σχῆμα: K2 ~ SG:Protreptics                       0.308607  0.304937
σχῆμα: K2 ~ SG:Grammar                           0.308607  0.304937
σχῆμα: K2 ~ SG:Mythology                         0.308607  0.304937
σχῆμα: K2 ~ SG:Narrative                        -0.308607  0.304937
σχῆμα: K2 ~ SG:Novel                             0.308607  0.304937
σχῆμα: K2 ~ SG:History                           0.239844  0.429960
σχῆμα: K2 ~ SG:Bucolic                          -0.231455  0.446742
σχῆμα: K2 ~ SG:Comedy                           -0.174714  0.568075
σχῆμα: K2 ~ SG:Rhetoric, poetics, criticism      0.172279  0.573565
σχῆμα: K2 ~ SG:Tragedy                          -0.154303  0.614737
σχῆμα: K2 ~ SG:Mathematics                       0.148507  0.628246
σχῆμα: K2 ~ SG:Medicine                          0.087357  0.776582
σχῆμα: K2 ~ SG:Hunting                          -0.077152  0.802187
σχῆμα: K2 ~ SG:Science                          -0.077152  0.802187
σχῆμα: K2 ~ SG:Horsemanship                     -0.077152  0.802187
σχῆμα: K2 ~ SG:Choral                                 NaN       NaN
σχῆμα: K2 ~ SG:Didactic                               NaN       NaN
σχῆμα: K2 ~ SG:Epic                                   NaN       NaN
σχῆμα: K2 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K2 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K2 ~ SG:Politics                               NaN       NaN
σχῆμα: K2 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K3 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K3 ~ G:Tragedy         0.462910  0.111173
σχῆμα: K3 ~ G:Poetry         -0.385758  0.192978
σχῆμα: K3 ~ G:Comedy          0.366900  0.217516
σχῆμα: K3 ~ G:Philosophy     -0.330684  0.269776
σχῆμα: K3 ~ G:Narrative      -0.310859  0.301237
σχῆμα: K3 ~ G:Technical      -0.124343  0.685676
σχῆμα: K3 ~ G:Letters         0.077152  0.802187
σχῆμα: K3 ~ G:Essays         -0.073821  0.810586
σχῆμα: K3 ~ G:Religion        0.020133  0.947950
σχῆμα: K3 ~ G:Oratory         0.006265  0.983795


σχῆμα:K3 ~ correlation with subgenres

                                             Spearman's ρ         p
σχῆμα: K3 ~ SG:Rhetoric, poetics, criticism     -0.513705  0.072544
σχῆμα: K3 ~ SG:Tragedy                           0.462910  0.111173
σχῆμα: K3 ~ SG:Natural History                  -0.462910  0.111173
σχῆμα: K3 ~ SG:Miscellanea                      -0.462910  0.111173
σχῆμα: K3 ~ SG:Geography                        -0.460728  0.113091
σχῆμα: K3 ~ SG:Bucolic                          -0.385758  0.192978
σχῆμα: K3 ~ SG:Comedy                            0.366900  0.217516
σχῆμα: K3 ~ SG:Philosophy                       -0.330684  0.269776
σχῆμα: K3 ~ SG:History                          -0.320756  0.285280
σχῆμα: K3 ~ SG:Medicine                          0.314485  0.295332
σχῆμα: K3 ~ SG:Art History                      -0.253336  0.403644
σχῆμα: K3 ~ SG:Theology                          0.192186  0.529335
σχῆμα: K3 ~ SG:Narrative                        -0.154303  0.614737
σχῆμα: K3 ~ SG:Grammar                          -0.077152  0.802187
σχῆμα: K3 ~ SG:Protreptics                      -0.077152  0.802187
σχῆμα: K3 ~ SG:Letters                           0.077152  0.802187
σχῆμα: K3 ~ SG:Church history                    0.077152  0.802187
σχῆμα: K3 ~ SG:Homily                            0.077152  0.802187
σχῆμα: K3 ~ SG:Mythology                        -0.077152  0.802187
σχῆμα: K3 ~ SG:Hymns                             0.077152  0.802187
σχῆμα: K3 ~ SG:Novel                            -0.077152  0.802187
σχῆμα: K3 ~ SG:Biography                        -0.066880  0.828144
σχῆμα: K3 ~ SG:Mathematics                      -0.052414  0.864967
σχῆμα: K3 ~ SG:Essay                            -0.040266  0.896089
σχῆμα: K3 ~ SG:Military                         -0.014862  0.961566
σχῆμα: K3 ~ SG:Oratory                           0.006265  0.983795
σχῆμα: K3 ~ SG:Science                           0.000000  1.000000
σχῆμα: K3 ~ SG:Horsemanship                      0.000000  1.000000
σχῆμα: K3 ~ SG:Hunting                           0.000000  1.000000
σχῆμα: K3 ~ SG:Choral                                 NaN       NaN
σχῆμα: K3 ~ SG:Didactic                               NaN       NaN
σχῆμα: K3 ~ SG:Epic                                   NaN       NaN
σχῆμα: K3 ~ SG:Epigrams                               NaN       NaN
σχῆμα: K3 ~ SG:Erotic                                 NaN       NaN
σχῆμα: K3 ~ SG:Politics                               NaN       NaN
σχῆμα: K3 ~ SG:Psalms                                 NaN       NaN


σχῆμα:K4 ~ correlation with genres

                          Spearman's ρ         p
σχῆμα: K4 ~ G:Technical       0.457810  0.115691
σχῆμα: K4 ~ G:Poetry          0.385758  0.192978
σχῆμα: K4 ~ G:Narrative       0.327814  0.274205
σχῆμα: K4 ~ G:Letters         0.308607  0.304937
