1443 documents , 1 concepts , 4228 context features (nlsj107632) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.13455367102049906   T=0,K=0:  22209 (0.034) ; 30885 (0.018) ; 74921 (0.018) ; 84234 (0.016) ; 100965 (0.016) ; 20097 (0.015) ; 57460 (0.015) ; 80043 (0.013) ;  (0.013) ; 67555 (0.012) ; 
0.09915719451128709   T=11,K=2:  45996 (0.022) ; 22209 (0.018) ; 84234 (0.016) ; 28569 (0.014) ; 25120 (0.012) ;  (0.012) ; 64866 (0.011) ; 20621 (0.010) ; 61791 (0.010) ; nlsj7083 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:   (0.017) ; 45996 (0.016) ; 20621 (0.012) ; 84234 (0.012) ; 22209 (0.012) ; 28566 (0.010) ; 25120 (0.009) ; 30866 (0.008) ; 62204 (0.008) ; 68641 (0.008) ; 

0.4585644578302942   T=0,K=3:  116416 (0.039) ; nlsj32160 (0.012) ; 84234 (0.012) ; nlsj96033 (0.012) ;  (0.011) ; 71308 (0.011) ; 72627 (0.010) ; 33751 (0.009) ; 45996 (0.009) ; 75595 (0.009) ; 
0.5265809066660357   T=1,K=3:  116416 (0.050) ;  (0.015) ; 84234 (0.014) ; 71308 (0.010) ; 45996 (0.010) ; 90504 (0.009) ; nlsj32160 (0.009) ; 33304 (0.008) ; nlsj96033 (0.008) ; 19972 (0.007) ; 
0.14615297795049814   T=2,K=3:  116416 (0.029) ;  (0.016) ; 90504 (0.013) ; 84234 (0.013) ; 71308 (0.012) ; 22209 (0.009) ; nlsj96033 (0.009) ; nlsj32160 (0.008) ; 75595 (0.007) ; 72627 (0.007) ; 
0.13810316151383   T=3,K=3:  116416 (0.022) ;  (0.019) ; 22209 (0.016) ; 84234 (0.012) ; 45996 (0.008) ; 26886 (0.008) ; 90504 (0.008) ; 71308 (0.008) ; nlsj32160 (0.008) ; 62204 (0.008) ; 
0.1635108330943602   T=4,K=3:   (0.014) ; 22209 (0.011) ; 71308 (0.011) ; 115887 (0.011) ; 116416 (0.011) ; 62204 (0.010) ; 45996 (0.010) ; 84234 (0.009) ; 15893 (0.009) ; nlsj32160 (0.008) ; 
0.21537976094968242   T=5,K=3:  84234 (0.016) ; 22209 (0.013) ; 71308 (0.011) ; 86184 (0.011) ; 115887 (0.010) ; 116416 (0.010) ; nlsj32160 (0.008) ;  (0.008) ; 63772 (0.008) ; 62204 (0.007) ; 
0.07851636095922734   T=6,K=3:  22209 (0.018) ; 86184 (0.012) ; 84234 (0.012) ; 71308 (0.011) ; 62204 (0.010) ; 115887 (0.010) ; 102000 (0.009) ;  (0.009) ; 63772 (0.009) ; nlsj107632 (0.007) ; 
0.08596398998740919   T=7,K=3:  22209 (0.018) ; 62204 (0.018) ; 84234 (0.013) ;  (0.012) ; 86184 (0.012) ; 19972 (0.011) ; 63772 (0.011) ; 71308 (0.009) ; 102000 (0.008) ; nlsj107632 (0.008) ; 
0.10264932788211122   T=8,K=3:  62204 (0.017) ;  (0.017) ; 84234 (0.015) ; 22209 (0.014) ; 45996 (0.010) ; 102000 (0.008) ; 86184 (0.008) ; 63772 (0.008) ; nlsj107632 (0.008) ; 114548 (0.007) ; 
0.09975344161276606   T=9,K=3:  45996 (0.022) ; 84234 (0.021) ; 22209 (0.019) ;  (0.015) ; nlsj107632 (0.013) ; 62204 (0.011) ; 102000 (0.010) ; 63772 (0.009) ; 115887 (0.008) ; 71308 (0.008) ; 
0.17391916005557914   T=10,K=3:  45996 (0.025) ; 22209 (0.020) ;  (0.016) ; nlsj107632 (0.016) ; 84234 (0.015) ; 72627 (0.011) ; 62204 (0.009) ; 43206 (0.009) ; 66306 (0.009) ; 31565 (0.008) ; 
0.1592799889841657   T=11,K=3:  45996 (0.029) ; nlsj107632 (0.019) ;  (0.017) ; 72627 (0.015) ; 84234 (0.012) ; 22209 (0.010) ; 31565 (0.010) ; 92010 (0.008) ; 111483 (0.007) ; 66306 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  116416 (0.016) ;  (0.014) ; 84234 (0.014) ; 22209 (0.013) ; 45996 (0.013) ; 62204 (0.009) ; 71308 (0.009) ; nlsj107632 (0.008) ; 72627 (0.007) ; 63772 (0.007) ; 

0.06424497536160068   T=0,K=4:  22209 (0.021) ; 85306 (0.017) ; nlsj76838 (0.017) ; 90504 (0.015) ; 260 (0.014) ; 89366 (0.011) ; nlsj65911 (0.010) ; 76910 (0.010) ;  (0.010) ; 106502 (0.009) ; 
0.08781536041024275   T=1,K=4:  22209 (0.018) ; nlsj76838 (0.014) ; 260 (0.010) ; 85306 (0.010) ; 76910 (0.010) ; 106502 (0.009) ; 114548 (0.009) ; 25186 (0.009) ; 112720 (0.009) ; 89366 (0.009) ; 
0.3509516276672983   T=2,K=4:  nlsj76838 (0.020) ; 260 (0.011) ; 85306 (0.011) ; 22209 (0.010) ; 112720 (0.010) ; 76910 (0.009) ;  (0.009) ; 76703 (0.009) ; nlsj65911 (0.009) ; 84234 (0.008) ; 
0.15828944201415246   T=3,K=4:  22209 (0.014) ; 76703 (0.013) ; 76910 (0.012) ; nlsj76838 (0.012) ; nlsj39496 (0.011) ; 84234 (0.009) ; 8665 (0.008) ; 85306 (0.008) ; 112720 (0.007) ; 106502 (0.007) ; 
0.09676268224646159   T=4,K=4:  76703 (0.019) ; 22209 (0.014) ; nlsj76838 (0.012) ; 45996 (0.009) ; 85306 (0.009) ; nlsj39496 (0.008) ; 84494 (0.008) ; 84234 (0.008) ; 112720 (0.008) ; 46646 (0.007) ; 
0.04577422854271035   T=5,K=4:  22209 (0.018) ; 76703 (0.015) ; 84234 (0.012) ; 45996 (0.011) ; nlsj76838 (0.011) ; 85306 (0.009) ; 112720 (0.009) ; 48291 (0.009) ; nlsj39496 (0.008) ; 89877 (0.007) ; 
0.036215218490517065   T=6,K=4:  22209 (0.016) ; 76703 (0.015) ; 84234 (0.012) ; 85306 (0.012) ; nlsj76838 (0.010) ;  (0.010) ; 45996 (0.009) ; 21920 (0.008) ; 48291 (0.007) ; 76910 (0.007) ; 
0.13897464511236776   T=7,K=4:  84234 (0.018) ; 45996 (0.014) ; 22209 (0.013) ; 85306 (0.009) ; 76703 (0.009) ;  (0.009) ; 23658 (0.007) ; 76910 (0.007) ; nlsj76838 (0.007) ; 21920 (0.007) ; 
0.1721808255176636   T=8,K=4:  45996 (0.015) ; 84234 (0.013) ;  (0.011) ; 22209 (0.010) ; 85306 (0.008) ; 76703 (0.008) ; 46646 (0.008) ; 260 (0.007) ; 43206 (0.007) ; nlsj76838 (0.006) ; 
0.15958208711260735   T=9,K=4:  22209 (0.014) ; 84234 (0.011) ; 43206 (0.010) ; 85306 (0.009) ; 45996 (0.009) ;  (0.008) ; 46646 (0.007) ; nlsj76838 (0.007) ; 260 (0.007) ; 62204 (0.006) ; 
0.12844069450622722   T=10,K=4:  22209 (0.011) ; 63772 (0.010) ;  (0.010) ; 84234 (0.008) ; 260 (0.008) ; 113711 (0.007) ; 46646 (0.007) ; 43206 (0.007) ; 45996 (0.007) ; 23658 (0.006) ; 
0.11664174997749101   T=11,K=4:  23658 (0.010) ;  (0.009) ; 45996 (0.009) ; 260 (0.008) ; 43206 (0.008) ; 90504 (0.007) ; 22209 (0.007) ; 63772 (0.007) ; 113711 (0.006) ; 46646 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  22209 (0.014) ; nlsj76838 (0.010) ; 84234 (0.010) ; 76703 (0.010) ; 85306 (0.009) ; 45996 (0.009) ;  (0.008) ; 260 (0.008) ; 76910 (0.007) ; 46646 (0.007) ; 

0.005558687853886757   T=0,K=5:  22825 (0.035) ; 110639 (0.030) ; 86219 (0.027) ; 63772 (0.019) ; 51647 (0.017) ; 83928 (0.015) ; 42827 (0.015) ; 86112 (0.015) ; 44964 (0.014) ;  (0.012) ; 
0.0033877956030219894   T=1,K=5:  110639 (0.025) ; 22825 (0.024) ; 86219 (0.023) ; 51647 (0.019) ;  (0.018) ; 86112 (0.013) ; 22209 (0.013) ; 84494 (0.012) ; 42827 (0.011) ; 45996 (0.010) ; 
0.0261887436611969   T=2,K=5:  110639 (0.032) ; 86219 (0.026) ; 45996 (0.020) ; 51647 (0.019) ; 86112 (0.018) ;  (0.015) ; 22825 (0.014) ; 84434 (0.014) ; 22209 (0.012) ; 112720 (0.012) ; 
0.050210866463832445   T=3,K=5:  45996 (0.020) ; 110639 (0.017) ; 86219 (0.017) ; 51647 (0.016) ; 86112 (0.015) ; 22209 (0.015) ;  (0.015) ; 112720 (0.012) ; 66494 (0.012) ; 22825 (0.012) ; 
0.0764924919602615   T=4,K=5:  51647 (0.021) ; 86112 (0.020) ; 86219 (0.015) ; 45996 (0.015) ; 22209 (0.013) ; 90504 (0.012) ; 112720 (0.011) ; 42827 (0.011) ; 110639 (0.011) ;  (0.010) ; 
0.06328176883917438   T=5,K=5:  86112 (0.018) ; 45996 (0.017) ; 85306 (0.016) ; 112720 (0.011) ; 86219 (0.011) ;  (0.010) ; 51647 (0.010) ; 22825 (0.009) ; 110639 (0.008) ; 22209 (0.008) ; 
0.15895688613308312   T=6,K=5:  85306 (0.019) ; 45996 (0.012) ; 112720 (0.011) ; 22825 (0.010) ; 86112 (0.010) ; 51647 (0.010) ; 8665 (0.010) ;  (0.010) ; 86219 (0.009) ; 110639 (0.008) ; 
0.14951249465222544   T=7,K=5:  85306 (0.023) ; 45996 (0.016) ; 112720 (0.014) ; 51647 (0.011) ;  (0.009) ; 110639 (0.009) ; 8665 (0.009) ; 84234 (0.009) ; 63772 (0.008) ; 90504 (0.008) ; 
0.08936349676172797   T=8,K=5:  85306 (0.017) ; 45996 (0.016) ; 63772 (0.014) ; 112720 (0.014) ;  (0.012) ; 86112 (0.011) ; 84234 (0.010) ; 51647 (0.010) ; 110639 (0.008) ; 8665 (0.008) ; 
0.10909730071983662   T=9,K=5:  45996 (0.020) ; 63772 (0.014) ; 51647 (0.013) ;  (0.013) ; 86112 (0.013) ; 85306 (0.010) ; 8665 (0.010) ; 86219 (0.009) ; 112720 (0.008) ; 72610 (0.007) ; 
0.08877938135001122   T=10,K=5:  45996 (0.015) ; 63772 (0.014) ; 85306 (0.013) ;  (0.012) ; 51647 (0.011) ; 86112 (0.010) ; 86219 (0.009) ; 110639 (0.008) ; nlsj114757 (0.007) ; 8665 (0.007) ; 
0.12089636330940609   T=11,K=5:  63772 (0.034) ; 85306 (0.013) ; 8665 (0.013) ; 86112 (0.012) ; 51647 (0.011) ;  (0.010) ; 74126 (0.009) ; 45996 (0.009) ; 30866 (0.008) ; 37851 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  45996 (0.015) ; 51647 (0.014) ; 110639 (0.014) ; 86219 (0.014) ; 86112 (0.013) ; 85306 (0.012) ;  (0.012) ; 63772 (0.011) ; 22825 (0.011) ; 112720 (0.010) ; 

0.1400455789824725   T=0,K=6:  84234 (0.052) ; 22209 (0.030) ; 72627 (0.013) ; 30569 (0.013) ; 8909 (0.012) ; 114615 (0.010) ;  (0.010) ; 88973 (0.010) ; 46123 (0.009) ; 57881 (0.009) ; 
0.09351453201358273   T=1,K=6:  22209 (0.035) ; 84234 (0.035) ; 8909 (0.014) ; 72627 (0.013) ; 110606 (0.012) ; 57881 (0.011) ; 114615 (0.011) ; 31565 (0.009) ; 46123 (0.009) ; 45948 (0.009) ; 
0.07714064676204752   T=2,K=6:  84234 (0.025) ; 22209 (0.021) ; 110606 (0.014) ; 72627 (0.012) ;  (0.011) ; 84494 (0.011) ; 61791 (0.011) ; 76703 (0.010) ; 114615 (0.010) ; 8909 (0.009) ; 
0.024150141383681687   T=3,K=6:  84234 (0.015) ; 22209 (0.014) ; 84494 (0.014) ; 110606 (0.014) ; 76703 (0.013) ;  (0.011) ; 57881 (0.011) ; 72627 (0.010) ; 85306 (0.009) ; 45948 (0.009) ; 
0.09134624209921553   T=4,K=6:  84494 (0.017) ; 22209 (0.015) ; 84234 (0.013) ; 76703 (0.010) ; 45996 (0.009) ; 61791 (0.008) ; 110606 (0.008) ; 65097 (0.008) ; 85306 (0.008) ;  (0.008) ; 
0.15738559416519166   T=5,K=6:  22209 (0.027) ; 84234 (0.012) ; 61791 (0.011) ; 45996 (0.011) ; 84494 (0.010) ; 22100 (0.010) ; 8909 (0.009) ; 72627 (0.009) ; 85306 (0.009) ; 71308 (0.008) ; 
0.165674974514577   T=6,K=6:  22209 (0.028) ; 85306 (0.016) ; 22100 (0.013) ; 36880 (0.012) ;  (0.010) ; 52571 (0.010) ; 61791 (0.008) ; 84494 (0.008) ; 45996 (0.008) ; 65097 (0.008) ; 
0.0850488000005265   T=7,K=6:  22209 (0.026) ; 85306 (0.015) ; 45996 (0.015) ; 52571 (0.012) ; 84494 (0.011) ; 8909 (0.011) ; 61791 (0.011) ; 36880 (0.010) ; 22100 (0.009) ; 43206 (0.009) ; 
0.0774736567791463   T=8,K=6:  22209 (0.018) ; 85306 (0.015) ; 79223 (0.015) ; 84494 (0.015) ; 61791 (0.014) ; 45996 (0.012) ; 43206 (0.011) ; 52571 (0.011) ; 48291 (0.011) ; 22100 (0.009) ; 
0.09706706646289456   T=9,K=6:  85306 (0.024) ; 22209 (0.019) ; 45996 (0.015) ; 61791 (0.013) ; 79223 (0.012) ; 84494 (0.011) ; 84234 (0.011) ; 43206 (0.009) ; 8909 (0.009) ; 45948 (0.009) ; 
0.10323312532249902   T=10,K=6:  85306 (0.019) ; 79223 (0.015) ; 22209 (0.015) ; 61791 (0.012) ; 43206 (0.011) ; 45996 (0.010) ; 52571 (0.010) ; 48291 (0.010) ; 84234 (0.009) ;  (0.007) ; 
0.10858004110763313   T=11,K=6:  84234 (0.016) ; 85306 (0.016) ; 79223 (0.015) ; 61791 (0.013) ; 43206 (0.011) ; 22209 (0.011) ; 48291 (0.010) ; 8909 (0.009) ; 110639 (0.009) ; 68447 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  22209 (0.022) ; 84234 (0.017) ; 85306 (0.013) ; 84494 (0.010) ; 61791 (0.010) ; 8909 (0.009) ; 45996 (0.009) ;  (0.008) ; 72627 (0.008) ; 79223 (0.008) ; 

0.019009252107421094   T=0,K=7:  86112 (0.041) ; 85306 (0.029) ; 22209 (0.020) ; 75552 (0.018) ; 84234 (0.017) ; 114624 (0.015) ; 84494 (0.015) ; 110639 (0.015) ; 31236 (0.013) ; 15893 (0.011) ; 
0.040130988793995716   T=1,K=7:  85306 (0.028) ; 86112 (0.026) ; 22209 (0.019) ; 31236 (0.015) ; 75552 (0.014) ; 114624 (0.014) ; 84234 (0.014) ; 84494 (0.013) ; 15893 (0.011) ; 110639 (0.010) ; 
0.09547381064880822   T=2,K=7:  31236 (0.020) ; 86112 (0.018) ; 85306 (0.017) ; 84234 (0.016) ; 22209 (0.015) ; 75552 (0.012) ; 39125 (0.011) ; 28566 (0.011) ; 84494 (0.010) ; 7007 (0.010) ; 
0.18874875116345202   T=3,K=7:  85306 (0.017) ; 22209 (0.016) ; 31236 (0.016) ; 84494 (0.012) ; 39125 (0.012) ; 61791 (0.012) ; 84234 (0.011) ; 28566 (0.010) ; 75552 (0.010) ; 86112 (0.010) ; 
0.1556962923700041   T=4,K=7:  31236 (0.020) ; 85306 (0.015) ; 84494 (0.014) ; 75552 (0.013) ; 22209 (0.013) ; 84234 (0.012) ; 35165 (0.010) ; 61791 (0.009) ; 86112 (0.009) ; 62204 (0.008) ; 
0.10391876062184645   T=5,K=7:  84234 (0.017) ; 75552 (0.015) ; 85306 (0.014) ; 31236 (0.012) ; 22209 (0.012) ; 24292 (0.011) ; 84494 (0.010) ; 61791 (0.010) ; nlsj76838 (0.008) ; 43206 (0.008) ; 
0.10280518344565227   T=6,K=7:  84234 (0.016) ; 85306 (0.015) ; 75552 (0.011) ; 35165 (0.010) ; 31236 (0.010) ; nlsj76838 (0.010) ; 22209 (0.010) ; 84494 (0.010) ; 61791 (0.009) ; 43206 (0.009) ; 
0.07840492145059878   T=7,K=7:  84234 (0.017) ; 85306 (0.015) ; 48291 (0.014) ; nlsj76838 (0.012) ; 75552 (0.012) ; 22209 (0.011) ; 31236 (0.011) ; 62204 (0.009) ; 30866 (0.009) ; 35165 (0.008) ; 
0.06752508425743467   T=8,K=7:  84234 (0.020) ; 75552 (0.014) ; 22209 (0.014) ; 62204 (0.013) ; 31236 (0.012) ; 86112 (0.011) ; 48291 (0.009) ; 24292 (0.009) ; 85306 (0.008) ; 43206 (0.008) ; 
0.0688018040168469   T=9,K=7:  84234 (0.020) ; 22209 (0.018) ; 62204 (0.015) ; 48291 (0.014) ; 75552 (0.014) ; 110114 (0.012) ; 86112 (0.010) ; 31236 (0.010) ; 61791 (0.008) ; 24292 (0.008) ; 
0.0875428293172479   T=10,K=7:  22209 (0.031) ; 84234 (0.020) ; 86112 (0.017) ; 62204 (0.014) ; 24292 (0.012) ; 110114 (0.011) ; 31236 (0.011) ; 30866 (0.009) ; 6983 (0.009) ; 61791 (0.009) ; 
0.03071610414859982   T=11,K=7:  86112 (0.033) ; 22209 (0.024) ; 84234 (0.020) ; 62204 (0.012) ; 24292 (0.011) ; 61791 (0.011) ; 110114 (0.009) ; 27847 (0.009) ; 85306 (0.009) ; 15893 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  22209 (0.017) ; 84234 (0.017) ; 86112 (0.016) ; 85306 (0.015) ; 31236 (0.013) ; 75552 (0.012) ; 84494 (0.009) ; 62204 (0.009) ; 61791 (0.009) ; 24292 (0.008) ; 

0.022615425942460535   T=0,K=8:  84494 (0.027) ; 22209 (0.025) ;  (0.020) ; 45996 (0.018) ; 20621 (0.017) ; 260 (0.016) ; 8665 (0.012) ; 76742 (0.011) ; 58429 (0.010) ; 48383 (0.009) ; 
