LEMMA	ID	FREQUENCY
εὖ	43309	4605
ἀνάγκη	6339	4605
Λακεδαιμόνιος	nlsj6956	4596
δόξα	28002	4553
κῦρος	61072	4489
ἔπειτα	38547	4388
ὀρθός	75005	4365
καθά	51647	4360
στρατηγός	97121	4286
ἐνταῦθα	36165	4237
ἀμφότερος	6174	4228
ἡγέομαι	46613	4200
ἀπόλλυμι	13096	4173
ἀξιόω	11072	4150
οἶκος	72357	4147
αἰτία	2764	4143
ὕστερος	109757	4116
χάρις	113388	4109
ὁδός	nlsj75598	4095
ἀποθνήσκω	12641	4081
πάνυ	77699	4076
πλέως	83756	4030
δίκη	26943	4025
μήτηρ	67543	3988
κρατέω	59708	3933
ἀδελφός	1211	3931
Ἀλέξανδρος	nlsj2087	3897
ναός	69714	3865
Καῖσαρ	52048	3852
τέλος	103012	3799
πῦρ	91547	3718
νέος	70364	3711
ἔθνος	30809	3705
δείκνυμι	23658	3699
μανθάνω	64914	3687
νύξ	71314	3684
τεῖχος	102832	3661
μένω	66294	3658
ἀδικέω	1377	3634
ἀφικνέομαι	18334	3633
δέχομαι	24289	3590
οἰκεῖος	72254	3567
νικάω	70839	3560
δεύτερος	24261	3557
φυλάσσω	112559	3557
χράω	114553	3548
γνώμη	22502	3523
ἀποδίδωμι	12485	3504
Ἀθήναια	1984	3491
ἀναιρέω	6616	3469
ἐφίστημι	45794	3465
ἱππεύς	50702	3432
διαφέρω	26197	3414
ἐκεῖ	31945	3404
ὅπλον	74571	3351
νόος	71023	3346
πολίτης	84511	3340
ἑκάτερος	31607	3319
θάνατος	47876	3316
Ἀθηναῖος	nlsj2565	3310
ἀφαιρέω	18107	3300
ἀριθμός	15047	3288
τέχνη	103701	3276
ἐλάσσων	33426	3271
πολλάκις	84534	3256
πρίν	86371	3252
ἄριστος	15133	3226
καταλιμπάνω	54399	3208
θυγάτηρ	49266	3192
εἴτε	31565	3191
βάρβαρος	19346	3180
κρίνω	60003	3179
λαός	61925	3173
ὄρος	75306	3168
αὖθις	17381	3147
φωνή	112833	3144
σώζω	nlsj40132	3144
εἶδος	30866	3140
οἰκία	72287	3125
τελευτάω	102992	3124
τιμή	103975	3119
ἡδονά	nlsj59172	3112
οὐσία	76029	3110
ξένος	71492	3098
στρατιώτης	97132	3087
ζητέω	46249	3082
ἀφίημι	18331	3068
ἀποκτείνω	12973	3050
ἄρχων	16052	3044
τρίτος	105344	3040
προσήκω	89366	3026
ἱκανός	50236	3025
πούς	86108	3021
τύχη	106094	3019
κεφαλή	56991	3013
θαυμάζω	47917	3010
πρᾶξις	86184	3006
παραδίδωμι	77928	3001
ὀνομάζω	74127	2939
μέγεθος	65565	2936
φανερός	110243	2934
ὁμολογέω	73742	2932
τιμάω	103972	2926
δῆλος	24340	2924
χωρίον	115212	2907
ἀγών	1093	2897
στάδιον	96160	2892
σύμμαχος	98358	2879
κομίζω	58790	2851
ἄρος	15345	2849
χαλεπός	112989	2848
διαφθείρω	26207	2830
πολιτεία	84505	2830
ἐχθρός	45948	2812
ταυτός	nlsj65911	2802
δυνατός	28588	2783
πιστεύω	83310	2761
φοβέω	111895	2734
ἡδύς	46712	2733
νῆσος	70768	2725
δείδω	nlsj32167	2705
Φίλιππος	nlsj5408	2702
πρόσωπον	90433	2689
κίνδυνος	57457	2688
ὅσπερ	75555	2677
μιμνήσκω	67868	2674
ἥσσων	47617	2667
θνήσκω	nlsj39949	2665
πλείων	83669	2665
πατρίς	80043	2665
ἱερόν	50073	2664
σοφός	95661	2661
αἴτιος	2777	2654
πολεμέω	84410	2633
Αἴγυπτος	2224	2631
ἦ	46571	2630
ἐπαινέω	37885	2623
βασιλεία	nlsj29289	2622
ἡγεμών	46612	2597
χαίρω	112934	2596
πλέος	83718	2576
καταλαμβάνω	54345	2574
ἔνθα	35541	2564
ἐλπίς	33903	2560
κύκλος	60646	2545
κόσμος	59339	2530
μείς	65757	2520
ἥλιος	46892	2519
στρατία	nlsj100912	2518
ἴσως	51373	2516
ἄλλως	4548	2510
Σωκράτης	101976	2508
παρασκευάζω	78757	2501
βουλεύω	20598	2494
Δίη	nlsj4709	2491
φύω	112794	2481
διδάσκω	26412	2479
ζώιον	nlsj114757	2475
οἰκέω	72273	2470
ἔξω	37720	2456
οὐρανός	75954	2452
ἀφίστημι	18390	2443
λανθάνω	61885	2440
συμφέρω	98894	2440
κτάομαι	60308	2437
πίνω	83231	2435
ἀναγκαῖος	6330	2430
στρατόπεδον	97148	2420
πειράω	80357	2418
οὐκοῦν	nlsj80462	2417
κινέω	57460	2413
πότερος	85982	2412
μάχομαι	65313	2410
μάλα	64757	2396
θυμός	49415	2386
τέσσαρες	103248	2381
ὁρμάω	75152	2375
Ἑλλάς	33791	2372
ἀναγκάζω	6325	2370
παραλαμβάνω	78297	2368
κρείσσων	59794	2354
δηλόω	24342	2342
τρέφω	104690	2326
ἔρομαι	42648	2326
τέκνον	102869	2307
δράω	28360	2304
ἀποστέλλω	13831	2303
ἐργάζομαι	42159	2289
λίθος	63212	2288
πλέω	83754	2275
ἀνίστημι	9082	2274
αἰσχρός	2731	2271
πάθος	76530	2271
βάλλω	19282	2270
ἀποδείκνυμι	12409	2265
τάξις	102381	2262
ὀφθαλμός	76118	2250
κωλύω	61265	2250
σχῆμα	101851	2243
κατέχω	55905	2242
σημεῖον	93812	2238
πονηρός	85654	2238
συνίστημι	100693	2234
στόμα	96981	2233
ὅθεν	72153	2232
εἰρήνη	31192	2231
ἕπομαι	41798	2229
τρεῖς	104655	2224
παρακαλέω	78100	2220
παλαιός	76765	2212
θύω	49589	2207
ὑπολαμβάνω	108660	2187
ἡμέτερος	47030	2185
ἔτος	43291	2181
πεζός	80306	2174
ἔνιοι	35708	2154
ἀποκρίνω	12948	2152
ἐμβάλλω	33956	2150
λείπω	62274	2146
εἰσέρχομαι	31351	2145
μακρός	64703	2140
προστίθημι	90166	2139
ποτός	86083	2126
τοιόσδε	104166	2122
φόβος	111908	2122
κατασκευάζω	55139	2120
στρατός	97150	2116
ῥᾴδιος	92077	2114
ὀργή	74767	2113
σφόδρα	101711	2111
συνάγω	99045	2106
πρέσβυς	86305	2101
δέκα	23799	2098
ἔξεστι	37210	2096
πνεῦμα	84034	2090
πίπτω	83253	2085
φρονέω	112350	2080
ποῖος	84363	2073
αἰσθάνομαι	2665	2071
διώκω	27764	2068
ποιητής	84248	2066
βελτίων	19789	2065
ἀπολείπω	13039	2060
παραγίγνομαι	77847	2055
πέντε	80761	2054
θεῖος	48051	2052
τρέπω	104685	2051
παρέρχομαι	79484	2042
σκοπάω	95100	2039
τύραννος	105974	2036
τάσσω	102515	2036
πλησίος	nlsj87251	2032
κεῖμαι	56393	2027
αἷμα	2392	2027
τρέω	104698	2019
δεξιός	24084	2018
βασιλεύω	19549	2004
ἁλίσκομαι	4274	2004
ὕλη	106601	2003
ὥρα	116293	2002
βοηθέω	20213	2001
ἀλήθεια	4071	1990
εἴκοσι	30989	1987
ἀπαλλάσσω	11305	1983
παύω	80140	1979
μέρα	66295	1979
Αἰγύπτιος	2219	1973
ἕνος	35983	1969
ὄψις	76335	1967
ἀγορά	761	1961
ἰσχυρός	51358	1957
ἀδύνατος	1522	1951
μετέχω	67132	1950
αἰτέω	2754	1947
Ἰουδαῖος	50616	1946
δοῦλος	28188	1945
Ὅμηρος	73492	1938
ἱερός	50093	1933
χρύσεος	114816	1932
ἀκέω	3128	1924
Θηβαῖος	nlsj9582	1923
τολμάω	104225	1911
ἔρως	42840	1908
οἶνον	72522	1902
πορεύω	85734	1897
ὅπου	74631	1896
διαλέγω	25120	1895
πρόσειμι	88971	1888
συμφορά	98925	1886
ὁπόσος	74621	1885
νεκρός	70105	1883
ὧδε	116050	1882
ἐπιχειρέω	41619	1878
φαῦλος	110456	1875
σαφής	93478	1872
Πομπήιος	nlsj9090	1866
ἔπος	41858	1864
ἅπτω	14568	1862
ἱερά	49955	1860
πόνος	85665	1858
σωτηρία	102096	1856
σχεδόν	101822	1852
Κῦρος	61071	1848
ἄνω	10923	1838
στρατεύω	97108	1835
ἀποφαίνω	14181	1834
βλέπω	20097	1833
φιλέω	110979	1832
Πλάτων	83622	1832
ἔτης	43260	1830
ἀρχαῖος	15842	1830
ἀπέχω	12035	1829
κατηγορέω	55910	1819
πίστις	83319	1817
τίκτω	103942	1816
ἑκατόν	31642	1811
Πέρσης	82665	1809
Μακεδών	64597	1808
ἐλεύθερος	33618	1805
ὕπατος	106998	1801
Διόνυσος	27219	1798
ἐρωτάω	42842	1798
Ἀπόλλων	13098	1796
ἑταῖρος	43089	1794
ἀγνοέω	715	1790
πύλη	91489	1789
ἐπιδείκνυμι	39125	1788
δικαστής	26921	1784
κύων	61177	1783
Ἄσιος	nlsj1588	1782
ἁμαρτάνω	4958	1782
θυσία	49561	1782
μεταξύ	66838	1778
ἄδικος	1397	1776
βραχύς	20885	1767
Ἡρακλέης	47513	1767
θηρίον	48760	1757
φάος	110284	1748
ἀργύριον	14835	1744
ἐσθίω	42890	1738
ἀναλαμβάνω	6871	1730
Ἀντώνιος	nlsj2499	1730
χωρίς	115213	1726
λύω	64316	1724
διαιρέω	24847	1719
προερέω	87413	1717
γάμος	21578	1712
ἀπέρχομαι	11970	1708
ἐπιστήμη	41018	1708
νίκη	70840	1700
ἐξέρχομαι	37200	1700
συνεχής	100495	1693
μυρίος	69292	1691
σπουδή	96106	1681
λαμπρός	61855	1680
Ἀθήνη	1989	1678
πάλαι	76742	1678
γράμμα	22739	1671
ὑπομένω	108780	1667
πυνθάνομαι	91516	1666
ἀλλότριος	4509	1661
τριάκοντα	104739	1660
λαλέω	61771	1659
ἄκρος	3630	1652
ἀμύνω	5607	1640
βουλή	20600	1638
νοέω	70910	1638
ἁγέομαι	463	1637
Καρχηδόνιος	nlsj6091	1632
μῆκος	67352	1627
φράζω	112217	1625
αὐτίκα	17595	1619
καρδία	53290	1619
ἐρῆμος	42381	1613
Ἰταλία	51376	1612
φιλία	111023	1611
κίνησις	57466	1609
κάλλος	52774	1608
ἀδελφή	1192	1608
διέρχομαι	26680	1598
ἐκκλησία	32173	1597
καθαρός	51701	1596
Σικελία	94095	1596
μέτριος	67250	1591
ἐμπίτνω	34366	1582
ἱερεύς	50003	1576
κατοικέω	55997	1576
κέω	57039	1575
ὁμοῦ	73881	1573
κάτος	54217	1571
νόσος	71065	1569
ἐλαύνω	33457	1565
πολιτικός	84513	1563
ἰδού	nlsj60710	1562
ἐπιτίθημι	41357	1554
ἐπιτήδειος	41335	1552
προσαγορεύω	88464	1550
φάσκω	110407	1547
μῦθος	69052	1544
ἐπιτρέπω	41416	1544
κινδυνεύω	57456	1544
σύνειμι	99858	1542
τάλαντον	102230	1541
προστάσσω	90122	1540
γεννάω	21902	1539
γένεσις	21872	1538
σοφία	95641	1538
ἡλικία	46858	1529
ταχύς	102736	1528
κόρη	59098	1525
προσφέρω	90305	1524
σχέθω	43056	1522
χαρίζομαι	nlsj43224	1521
δαίμων	23242	1520
ἄμφω	6184	1518
διάνοια	25401	1517
ἀμείνων	5112	1516
πλοῦτος	83987	1516
ἑπτά	41918	1516
ἔθω	30814	1510
ἀήρ	1872	1507
χίλιοι	114005	1507
φιλόσοφος	111490	1504
ἐκβάλλω	31709	1502
βία	19870	1501
χρήσιμος	114651	1499
χωρέω	115201	1497
χείρων	113711	1494
δοκάζω	27842	1491
ἀσφαλής	16864	1482
συγχωρέω	98038	1482
λευκός	nlsj33192	1480
προσέχω	89346	1477
δεσπότης	24206	1474
χρηστός	114706	1472
κρίσις	60034	1467
σημαίνω	93789	1464
ὑμέτερος	106696	1463
ἐπιθυμέω	39482	1458
ἅτε	16986	1455
ἀγαπάω	346	1452
παρίστημι	79634	1448
θεάομαι	47964	1447
δικαιοσύνη	26887	1446
τέλειος	102930	1445
πύθω	91391	1444
ψηφίζομαι	nlsj53326	1442
Ἰησοῦς	50171	1438
χρεία	114558	1429
δῶρον	29828	1426
διαφορά	26226	1420
Ἀθήνευς	nlsj2559	1414
αἴρω	2660	1411
εὐθύς	44000	1410
ἐπέρχομαι	38732	1409
ἀναβαίνω	6224	1406
καρπός	53442	1405
θαρσέω	47897	1402
περιέχω	81343	1398
εὔνοια	44552	1398
Ὀδυσσεύς	72122	1395
ἑτοῖμος	43287	1392
εὔχομαι	45499	1389
προσάγω	88467	1386
χειμών	113556	1385
ἔπειμι	38487	1383
θαυμαστός	47931	1382
ἐξουσία	37650	1381
ἄγαλμα	293	1380
πρέσβις	86297	1380
φόνος	112060	1377
εἰκών	31037	1376
νέμω	70188	1375
αἴσθησις	2668	1373
χρυσός	114972	1372
ἦθος	46782	1370
δέω	24293	1365
ἐπιθυμία	39489	1365
σύμπας	98584	1357
ἑκών	33304	1350
πρόσθεν	89405	1349
μισέω	67974	1347
ἐπάγω	37851	1346
ἐλευθερία	33603	1345
καταλύω	54452	1344
ἡγεμονία	46606	1342
ἐγγύς	30030	1336
μεταβάλλω	66574	1335
ἅγιος	524	1334
ἐντεῦθεν	36229	1331
ἐντός	nlsj553	1329
παραπλήσιος	78607	1329
ἐκπίτνω	32657	1324
ἐνδέχομαι	35165	1324
ἀναγιγνώσκω	6324	1320
ἄπειρος	11760	1319
στάσις	96270	1319
κοσμέω	59295	1314
παντάπασι	77574	1314
αὐξάνω	17478	1310
βουλεύς	20588	1308
πιστός	83324	1307
φυγή	112472	1307
λυπέω	64151	1307
κτείνω	60316	1306
Ἀχαιός	18626	1302
ἑξῆς	37343	1300
ἀγωνίζομαι	1098	1300
ἀνάγω	6396	1299
ἐλπίζω	33902	1299
παρθένος	79595	1295
θεωρέω	48579	1294
συμβάλλω	98241	1290
θύρα	49463	1284
ἄπειμι	11709	1284
πρόσω	90410	1282
ξύλον	71751	1282
ναί	69649	1279
στράτευμα	97103	1275
βαρύς	19477	1273
ἀπαγγέλλω	11175	1266
ὀξύς	74378	1265
θεραπεύω	48383	1265
γέρων	22019	1264
γωνία	23129	1264
σῖτος	94426	1262
ἔθος	30811	1261
ἐνιαυτός	35672	1260
αἰών	2815	1259
ἐντυγχάνω	36345	1259
πέτρα	82758	1258
ὁπότε	74626	1257
μνήμη	68174	1257
ἀπάγω	11206	1256
τροφή	105550	1256
καθόλου	51867	1256
βαδίζω	18980	1255
συντίθημι	101024	1254
κέρας	56730	1254
πλούσιος	83963	1250
προάγω	86429	1248
βωμός	21335	1245
πρόθυμος	87541	1245
συμβουλεύω	98323	1245
λιμήν	63300	1244
βασιλικός	19554	1242
ἡσσάομαι	47614	1242
τέμνω	103052	1240
ῥῆμα	92329	1240
προσέρχομαι	89311	1239
τηλικοῦτος	nlsj106503	1234
οὐδαμός	75759	1232
θερμός	48479	1231
ἄστυ	16686	1228
ἐπιστρέφω	41082	1228
ζωή	46425	1227
δεῖπνον	23762	1226
μάρτυς	65097	1226
τέταρτος	103298	1225
εἰσάγω	31246	1223
ὕβρις	106177	1222
διαβαίνω	24522	1219
ἰσχύς	51366	1217
Ἀφροδίτη	18519	1212
προέρχομαι	87417	1212
στέφανος	96662	1208
ἱστορέω	51256	1208
Ἀχαία	18617	1207
ἕλκω	33770	1207
Ἀχιλλεύς	18714	1205
συλλαμβάνω	98173	1205
μνημονεύω	68185	1205
καταφρονέω	55544	1203
ἀείδω	1587	1201
ἱστορία	51259	1201
βοῦς	20674	1200
πεντήκοντα	80819	1199
ἐπιμελέομαι	40154	1197
πληρόω	83834	1196
λογισμός	63724	1196
ἀνέχω	8575	1195
ἐκλείπω	32333	1193
ἰατρός	49761	1184
ὄχλος	76258	1182
ὅρκος	75127	1181
δόρυ	28101	1179
στρατεία	97101	1178
ἐκπέμπω	32591	1177
ἀπορία	13579	1177
ἀπαντάω	11411	1176
σκηνή	94769	1175
δεῦρο	24226	1173
ὄμνυμι	73530	1172
τετράγωνος	103341	1170
παρασκευή	78765	1170
ψευδής	115471	1166
διαλύω	25194	1164
ἐρέω	42358	1163
Πτολεμαῖος	91220	1162
Δημήτριος	24378	1161
πλευρά	83732	1160
ἐράομαι	nlsj11286	1159
ἄτοπος	17154	1156
τελευταῖος	102991	1155
βέλτιστος	19788	1154
ῥήτωρ	92384	1152
κράτιστος	59735	1151
ἐκεῖθεν	31947	1151
Ἀθήναιος	nlsj2558	1151
ἐνέργεια	35417	1150
γλῶσσα	22425	1148
ἁπλῶς	12227	1146
μέτρον	67260	1144
ὑπόκειμαι	108536	1143
δημόσιος	24444	1143
σπουδάζω	96082	1141
ὁρμή	75156	1140
ἀνδρίς	7949	1137
βλάπτω	20046	1137
ἐξαιρέω	36571	1136
ἐκφέρω	33160	1135
κολάζω	58541	1135
ἀθάνατος	1899	1132
παίω	76678	1132
οὔπω	75907	1130
φθάνω	110655	1126
ὠφελέω	116470	1126
ὑψηλός	109918	1125
γενναῖος	21899	1125
τελευτή	102993	1123
ἥκιστος	46802	1123
ὅρος	75308	1121
πολιορκέω	84475	1119
πάντως	77698	1114
μισθός	68011	1113
τριήρης	104949	1113
ὀστέον	75595	1109
ταύτῃ	nlsj105619	1109
σώφρων	102117	1106
πρέπω	86276	1104
οἴχομαι	72712	1103
Ἀργεῖος	14755	1102
εὐδαίμων	43598	1102
θάπτω	47887	1099
τάχα	102668	1098
μοῖρα	68262	1096
προσπίτνω	89960	1094
ἐοικότως	37777	1094
λέγω	62205	1093
φάρμακον	110341	1092
Σύριος	101257	1092
ἰχθύς	nlsj61217	1089
φιλοσοφία	111486	1087
βαίνω	19123	1086
τάχιστος	nlsj105352	1085
φρήν	112307	1084
μίγνυμι	nlsj39496	1084
ἅρμα	15214	1083
ψεύδω	115586	1080
βέβαιος	19719	1080
τιμωρία	104023	1079
οἰκέτης	72268	1077
μετρέω	67225	1076
φυλή	112563	1076
ἄγγελος	397	1075
Ἑρμῆς	42622	1075
ὄρνις	75263	1074
κόλπος	58718	1074
γαμέω	21556	1073
ὁποῖος	74602	1073
ἰδιώτης	49908	1072
ὁρίζω	75078	1071
πλοῖον	83928	1071
ὑπερβάλλω	107315	1069
ἡσυχία	47629	1065
ἐπιστολή	41045	1065
διανοέομαι	nlsj34252	1064
συνέρχομαι	100410	1059
ἄκρον	3591	1058
συνάπτω	99485	1058
σύμμετρος	98417	1057
ὁπλίτης	74546	1056
μέλας	65934	1055
κακία	52093	1053
καταβαίνω	53651	1050
ἀρκέω	15173	1050
συμμαχία	98354	1049
ἀκολουθέω	3289	1049
σπεύδω	95898	1048
Δαρεῖος	23468	1048
βέλος	19775	1047
τεσσαράκοντα	103221	1041
ὄμμα	73517	1040
ἀπολύω	13150	1037
μιμέομαι	67853	1037
διατρίβω	26116	1035
πρόφασις	90661	1032
ἔμπροσθεν	34522	1032
φυλακή	nlsj57678	1031
ἔνειμι	35360	1030
ἀναφέρω	7724	1025
βάσις	19563	1024
ἄνεμος	8238	1023
βοάω	20195	1023
λίμνη	63314	1023
τάφος	102652	1022
ὑπερβολή	107349	1021
οἰκοδομέω	72321	1020
ἀσπίς	16400	1019
δόμος	27980	1019
λογίζομαι	63713	1018
ταράσσω	102432	1016
πεδίον	nlsj84339	1016
τριακόσιοι	104787	1015
βασίλη	19550	1015
ὑγρός	106263	1014
Λιβύη	63063	1013
ῥίπτω	92532	1012
λέων	62816	1012
ῥητός	92378	1010
ἐλέγχω	33539	1009
μυριάς	69252	1007
ἐνθάδε	35542	1006
ἐξάγω	36505	1006
βιάζω	19871	1005
Πέρσευς	nlsj8671	999
διατίθημι	26061	999
δρόμος	28433	998
συντάσσω	100965	998
ἄπειμι	11710	997
παιδεύω	76586	997
αἰχμάλωτος	2800	996
Τρώς	105816	995
κάθημαι	51800	994
πάτριος	80042	994
ποικίλος	84295	993
Ἀττικός	17281	992
δικαστήριον	26920	992
Ἀντίγονος	9843	992
ἀνατίθημι	7618	991
τυραννίς	105964	990
Πελοπόννησος	80504	989
γαῖα	21401	987
τράπεζα	104538	987
λαγχάνω	61542	985
ἁμαρτία	4965	984
ἑορτή	37799	983
ἔπαινος	37886	982
τῇ	103745	980
περίειμι	81297	980
Δημοσθένης	nlsj4677	980
χάλκεος	113060	979
διαφεύγω	26199	976
βιβλίον	19916	974
προαίρεσις	86453	974
λάπτω	61959	973
πρόειμι	87146	970
Συρακόσιος	nlsj10342	969
ἀνδρεία	7911	969
ἄχρι	18790	965
σελήνη	93634	965
ἐναντίον	34848	964
Ἀντίοχος	nlsj2460	963
ξίφος	71666	962
κενός	56586	960
ἐσθής	42887	960
Κορίνθιος	59117	960
ἔνδον	35267	957
λύπη	64152	957
διάφορος	26233	957
ἱδρύω	49933	956
ἥμισυς	47291	955
εἰσφέρω	31537	954
ἐπιβάλλω	38879	953
ἀσθενής	16171	953
Ἑλληνικός	33822	952
ἔξωθεν	37726	952
περισσός	82190	950
προφήτης	90679	950
ἀναχωρέω	7832	949
ἐπιβουλεύω	38965	949
ἐπιφέρω	41498	948
δωρεά	29787	947
ἱμάτιον	50451	945
Ἰνδός	50512	943
αἰσχύνω	2749	941
κώμη	61291	940
Ἡρώδης	nlsj1151	939
ἐλέφας	33671	938
ἐπέχω	nlsj667	938
πρόνοια	88094	938
ἀγανακτέω	326	938
διακόσιοι	25018	937
διηγέομαι	26757	936
ὑπέχω	108024	935
πρόγονος	86917	932
ἄρτι	15618	931
ἐράω	42155	930
κάλη	52572	929
τάχος	102676	929
ὡσαύτως	116408	929
σάρξ	93388	928
χαλκός	113163	923
εἴσειμι	31333	923
πηρός	83010	922
μειράκιον	65747	922
ἐπιεικής	39331	921
κοινῇ	58386	919
χρυσίον	114842	919
ἐπανέρχομαι	38188	919
πεντακόσιοι	80664	917
Ἥρα	47508	916
πέλαγος	80399	916
νόμιμος	70962	915
φάλαγξ	110166	914
διάκειμαι	24917	913
ἁρμόζω	15274	910
ἁρπάζω	15399	909
παράδειγμα	77895	908
διαβάλλω	24523	907
ἀνοίγνυμι	9146	905
ἀνθρώπινος	8865	905
ἀθρόος	2061	903
ἀοιδός	11106	903
ὑβρίζω	106175	902
ἀφοράω	18445	900
χριστός	114725	899
ἄλογος	4602	899
παράδοξος	77949	899
περιβάλλω	81130	898
κλῆρος	57881	897
Ἠλεῖος	nlsj3359	897
μαρτυρέω	65083	896
τροφεύς	105548	895
δάκρυον	23292	894
ἕξ	36468	893
σεμνός	93711	893
παιδεία	76570	891
κρύπτω	60245	889
ἐπιμέλεια	40153	889
χθών	113963	883
αἰτιάομαι	2767	882
κάμνω	52995	881
τηρέω	103871	880
Ἄρης	14990	879
μεταβολή	66594	878
ἐπικαλέω	39550	878
ῥέω	92316	877
κατάγω	53838	877
παντελής	77603	875
ψήφισμα	115653	875
μόριον	68754	875
θνητός	48910	873
τρίγωνος	104891	873
καινός	51989	870
προσλαμβάνω	89698	870
φῖλος	111462	868
ἐκτός	33059	868
πόθεν	84202	868
πώποτε	91991	863
σκέπτομαι	94711	863
συνθήκη	100597	862
ἀμελέω	5131	860
νυνί	71312	860
ἐξετάζω	37212	858
πικρός	83139	857
ἀποστρέφω	13890	857
δίαιτα	24856	857
κράτος	59741	855
ἄρτος	15763	855
Γαῗος	nlsj5627	855
μέλω	66199	854
θῆλυς	48670	854
ἀθροίζω	2055	854
διατελέω	26046	854
σφέτερος	101655	853
ἐλάχιστος	33494	852
ψυχρός	115972	851
πέδιον	80239	850
ἐπιφανής	41485	850
δικάζω	26857	848
φοβερός	111889	848
ναυτικός	69901	848
ἄναξ	7094	847
ἔται	nlsj744	846
ἐφορεύω	45830	846
ἀπολαμβάνω	13016	846
Ἄρτεμις	15597	845
εἰκάζω	30911	845
κοινωνέω	58444	844
ψῆφος	115675	842
ἄγριος	892	841
φύλαξ	112551	841
γαστήρ	21651	839
ὀπίσω	74523	838
ἐκτείνω	32964	837
ἐπαίρω	37890	837
ὕψος	110012	836
ἀφανίζω	18128	836
συντελέω	100990	836
πηγή	82881	832
σωφροσύνη	102115	831
πολιτεύω	84509	830
βοήθεια	20212	829
φθείρω	110689	828
γνώριμος	22523	828
φρόνησις	112356	827
γενεά	21830	826
δουλεύω	28165	826
ἐπιβαίνω	38876	825
σπέρμα	95853	825
Δελφοί	24003	825
ἐξαπατάω	36827	823
ὑπακούω	106833	822
πολεμικός	84421	822
δένδρον	24044	821
πολιορκία	84480	821
παραγγέλλω	77837	819
