1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.010435741478344555   T=0,K=0:  20215 (0.001) ;  (0.001) ; 16051 (0.001) ; 12035 (0.001) ; 37776 (0.001) ; 2224 (0.001) ; 97133 (0.001) ; 73353 (0.001) ; nlsj84135 (0.001) ; 27371 (0.001) ; 
0.011542150728769322   T=0,K=5:  70839 (0.001) ; 84234 (0.001) ; 92010 (0.001) ; 23675 (0.001) ; 94425 (0.001) ; 106566 (0.001) ; 53207 (0.001) ; 73505 (0.001) ; 42224 (0.001) ; 8741 (0.001) ; 
0.06125424559169525   T=1,K=5:  84234 (0.002) ; 70839 (0.002) ; 8909 (0.002) ; 83718 (0.002) ; 48291 (0.002) ; 51368 (0.002) ; 42224 (0.002) ; 54217 (0.001) ; 33819 (0.001) ; 41345 (0.001) ; 
0.0773226125436108   T=2,K=5:  84234 (0.009) ; 22209 (0.003) ; 70839 (0.003) ; 8909 (0.002) ; 41345 (0.002) ; 33819 (0.002) ; 46500 (0.002) ; 84494 (0.002) ; 12641 (0.002) ; 68641 (0.002) ; 
0.07546853016029607   T=3,K=5:  84234 (0.020) ;  (0.013) ; 22209 (0.011) ; 86112 (0.009) ; 68641 (0.006) ; 84494 (0.006) ; 79223 (0.006) ; nlsj56179 (0.005) ; nlsj76838 (0.005) ; 8665 (0.005) ; 
0.12009258577681703   T=4,K=5:  84234 (0.049) ;  (0.027) ; 86112 (0.026) ; 22209 (0.025) ; 84494 (0.017) ; nlsj56179 (0.016) ; 19546 (0.013) ; 8665 (0.012) ; 79223 (0.012) ; nlsj76838 (0.011) ; 
0.1311793239119218   T=5,K=5:  84494 (0.021) ; nlsj76838 (0.015) ;  (0.014) ; 106974 (0.014) ; 19546 (0.013) ; 22209 (0.012) ; 260 (0.012) ; nlsj56179 (0.010) ; 84234 (0.010) ; 86112 (0.010) ; 
0.10244148526408213   T=6,K=5:  84494 (0.039) ;  (0.024) ; 19546 (0.017) ; 106974 (0.015) ; 22209 (0.012) ; 45996 (0.009) ; 260 (0.009) ; 48291 (0.008) ; 116416 (0.007) ; 84434 (0.007) ; 
0.12726422686333025   T=7,K=5:  45996 (0.030) ;  (0.025) ; 84494 (0.023) ; 48291 (0.018) ; nlsj14967 (0.015) ; 19546 (0.014) ; 22209 (0.012) ; 20621 (0.011) ; 116416 (0.010) ; 75552 (0.009) ; 
0.08965325682956302   T=8,K=5:  48291 (0.059) ; 45996 (0.029) ;  (0.029) ; 22209 (0.025) ; 65552 (0.016) ; 85306 (0.014) ; 84234 (0.014) ; 90504 (0.013) ; 76703 (0.011) ; 75552 (0.011) ; 
0.09658588165359959   T=9,K=5:  22209 (0.036) ; 84234 (0.032) ; 65552 (0.027) ;  (0.026) ; 48291 (0.016) ; 85306 (0.015) ; 45996 (0.014) ; 75552 (0.012) ; 68641 (0.012) ; 26447 (0.011) ; 
0.07215491816923211   T=10,K=5:  84234 (0.026) ;  (0.020) ; 22209 (0.013) ; 85306 (0.011) ; 65552 (0.010) ; 45996 (0.009) ; 75552 (0.009) ; 48291 (0.008) ; 63772 (0.005) ; 15893 (0.005) ; 
0.10399837058981051   T=11,K=5:   (0.023) ; 22209 (0.017) ; 84234 (0.009) ; 85306 (0.009) ; 45996 (0.009) ; 104421 (0.007) ; 48291 (0.007) ; 75552 (0.006) ; 15893 (0.006) ; 63772 (0.005) ; 
0.14251696662243563   T=12,K=5:   (0.026) ; 22209 (0.021) ; 84234 (0.014) ; 85306 (0.013) ; 45996 (0.009) ; 15893 (0.007) ; 103163 (0.007) ; 104421 (0.006) ; 75552 (0.006) ; 2764 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:   (0.018) ; 84234 (0.015) ; 22209 (0.015) ; 48291 (0.010) ; 84494 (0.010) ; 45996 (0.009) ; 65552 (0.006) ; 19546 (0.006) ; 85306 (0.006) ; 75552 (0.005) ; 

0.20451855491198465   T=0,K=6:  55910 (0.002) ; 26046 (0.002) ; 77764 (0.002) ; 11835 (0.001) ; 29883 (0.001) ; 106696 (0.001) ; 1372 (0.001) ; 84234 (0.001) ; 26447 (0.001) ; 112356 (0.001) ; 
0.16779585202548838   T=1,K=6:  52332 (0.002) ; 29883 (0.002) ; 106696 (0.002) ; 45996 (0.002) ;  (0.002) ; 84234 (0.002) ; nlsj4709 (0.002) ; 260 (0.002) ; nlsj71743 (0.001) ; 55910 (0.001) ; 
0.1496540560984489   T=2,K=6:  84234 (0.007) ; 45996 (0.006) ; nlsj71743 (0.005) ; 106696 (0.005) ;  (0.004) ; 46613 (0.004) ; 8909 (0.003) ; 26447 (0.003) ; 84511 (0.003) ; 52332 (0.003) ; 
0.13279666265347992   T=3,K=6:  84234 (0.031) ; nlsj71743 (0.016) ; 45996 (0.009) ; 106696 (0.008) ; 86112 (0.008) ; 8909 (0.007) ;  (0.007) ; 23726 (0.005) ; 1564 (0.005) ; 110639 (0.004) ; 
0.1011825360703997   T=4,K=6:  84234 (0.052) ; 83665 (0.020) ; 45996 (0.019) ;  (0.016) ; 1564 (0.015) ; 110639 (0.012) ; 48291 (0.010) ; 86112 (0.009) ; 23726 (0.009) ; 8665 (0.008) ; 
0.0842355009941366   T=5,K=6:  45996 (0.022) ; 110639 (0.020) ; 84234 (0.018) ;  (0.017) ; 86112 (0.014) ; 48291 (0.010) ; 1564 (0.009) ; 23726 (0.007) ; 84494 (0.006) ; 8665 (0.006) ; 
0.13265996880115277   T=6,K=6:   (0.030) ; 45996 (0.025) ; 110639 (0.023) ; 84234 (0.022) ; 48291 (0.017) ; 86112 (0.014) ; 84494 (0.013) ; 28569 (0.010) ; 6330 (0.006) ; 20621 (0.006) ; 
0.11090334920958805   T=7,K=6:  45996 (0.031) ;  (0.028) ; 28569 (0.020) ; 84234 (0.016) ; 84494 (0.015) ; 48291 (0.015) ; 85306 (0.013) ; 86112 (0.012) ; 52332 (0.008) ; 98894 (0.008) ; 
0.08120401936550238   T=8,K=6:  45996 (0.031) ; 52332 (0.023) ; 48291 (0.019) ;  (0.018) ; nlsj96033 (0.014) ; 85306 (0.012) ; 72627 (0.011) ; 84494 (0.011) ; 116416 (0.011) ; 15893 (0.011) ; 
0.07425639339167274   T=9,K=6:  45996 (0.035) ; 22209 (0.029) ; 15893 (0.028) ; 116416 (0.019) ;  (0.016) ; 52332 (0.015) ; 11583 (0.014) ; 63772 (0.013) ; 84422 (0.012) ; nlsj11198 (0.010) ; 
0.14230874094352342   T=10,K=6:  45996 (0.026) ; 64866 (0.022) ; 26447 (0.022) ; 15893 (0.011) ; 75552 (0.010) ; nlsj11198 (0.009) ; 23726 (0.009) ; 11583 (0.008) ; 22209 (0.008) ; 84422 (0.007) ; 
0.15523429269276792   T=11,K=6:  26447 (0.024) ; 64866 (0.012) ; nlsj61372 (0.011) ; 75552 (0.008) ; 45996 (0.008) ; 23726 (0.007) ; nlsj11198 (0.007) ; 65552 (0.006) ; 11583 (0.006) ; 31236 (0.006) ; 
0.11772138051095002   T=12,K=6:  26447 (0.019) ; 75552 (0.010) ; 45996 (0.009) ; 23726 (0.008) ; 6330 (0.007) ; 65552 (0.007) ; 84234 (0.006) ; 31236 (0.006) ; 64866 (0.006) ; 84422 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  45996 (0.017) ; 84234 (0.014) ;  (0.012) ; 48291 (0.007) ; 26447 (0.007) ; 110639 (0.006) ; 23726 (0.006) ; 86112 (0.006) ; 52332 (0.006) ; 15893 (0.005) ; 

0.03597551012830548   T=0,K=7:  60316 (0.002) ; 52332 (0.002) ; 12973 (0.002) ; 83665 (0.002) ; 4845 (0.001) ; nlsj9608 (0.001) ; 96541 (0.001) ; 82550 (0.001) ; 104015 (0.001) ; 43975 (0.001) ; 
0.031575540025555404   T=1,K=7:  4845 (0.003) ; 52332 (0.003) ; 45996 (0.002) ; 8665 (0.002) ; 60316 (0.002) ; 85665 (0.002) ; 52571 (0.002) ; nlsj76838 (0.002) ; 12035 (0.002) ;  (0.001) ; 
0.04806248594489146   T=2,K=7:  85665 (0.007) ; 8665 (0.006) ; 52571 (0.006) ; 52332 (0.006) ; 15133 (0.005) ; 12035 (0.005) ; nlsj76838 (0.004) ; 45996 (0.004) ; 31161 (0.004) ; 84494 (0.003) ; 
0.12270804534226029   T=3,K=7:  8665 (0.012) ; 31161 (0.012) ; 84494 (0.011) ; 85665 (0.010) ; 85306 (0.008) ; 45996 (0.006) ; 114753 (0.006) ; 84434 (0.006) ; 52332 (0.005) ; nlsj76838 (0.005) ; 
0.07904437142549098   T=4,K=7:  31161 (0.040) ; 84494 (0.031) ; 85306 (0.028) ; 8665 (0.021) ; 90504 (0.016) ; 45996 (0.013) ; 84434 (0.010) ; 15893 (0.009) ; 8909 (0.008) ; 86219 (0.008) ; 
0.09523687701579578   T=5,K=7:  84494 (0.022) ; 90504 (0.020) ; 8665 (0.016) ; 45996 (0.015) ; 8909 (0.010) ; 31161 (0.009) ; 85306 (0.009) ; 63772 (0.007) ; 48051 (0.007) ; 68641 (0.006) ; 
0.21276974078855618   T=6,K=7:  90504 (0.018) ; 45996 (0.018) ; 84494 (0.017) ; 8909 (0.012) ; 8665 (0.011) ; 63772 (0.010) ; 260 (0.008) ; 22209 (0.008) ; 86219 (0.007) ; 85306 (0.007) ; 
